### 术语定义与解释

**假冒 (Impersonation)**
- **功能**：一些IM工具还支持文件传输、多媒体、语音和视频会议等功能。

**综合业务数字网 (Integrated Services Digital Network, ISDN)**
- **定义**：一种数字化的端到端通信机制，由电话公司开发，支持在同一设备和基础设施上进行高速数字通信。

**完整性 (Integrity)**
- **定义**：确信修改不是由未授权用户进行的，并且确保授权用户没有进行未经授权的修改的状态。

**知识产权 (Intellectual Property)**
- **定义**：无形资产，如秘方或生产技术。

**接口测试 (Interface Testing)**
- **定义**：评估模块针对接口规范的性能，确保所有开发工作完成后模块正常工作。

**国际数据加密算法 (International Data Encryption Algorithm, IDEA)**
- **定义**：一种分组密码，针对DES算法密钥长度不足而开发。
- **特点**：在64位明文/密文分组的基础上操作，使用128位密钥。

**国际标准化组织 (International Organization for Standardization, ISO)**
- **定义**：一个独立的监督组织，定义和维护计算机、网络连接、技术标准以及13000多个其他商业、政府和协会国际标准。

**互联网密钥交换 (Internet Key Exchange, IKE)**
- **定义**：一种协议，在IPSec参与方之间提供加密密钥的安全交换。

**网络消息访问协议 (Internet Message Access Protocol, IMAP)**
- **定义**：从电子邮件服务器向电子邮件客户端传送电子邮件的协议。

**物联网 (Internet of Things, IoT)**
- **定义**：能够通过互联网彼此通信或与控制台通信，用来影响和监视现实世界设备的集合。

**互联网安全协会和密钥管理协议 (Internet Security Association and Key Management Protocol, ISAKMP)**
- **定义**：一种协议，为IPSec提供后台的安全支持服务。

**互联网小型计算机系统接口 (Internet Small Computer System Interface, iSCSI)**
- **定义**：基于TCP/IP的网络存储标准，支持位置独立的文件存储、传输和局域网、广域网的检索，或公共互联网连接。
- **特点**：常被认为是光纤通道的一种低成本替代。

**互联网分组交换协议 (Internetwork Packet Exchange, IPX)**
- **定义**：IPX/SPX网络层协议的一部分，主要用于20世纪90年代的Novell NetWare网络。

**解释语言 (Interpreted Languages)**
- **定义**：编程语言在执行时逐条命令转换为机器语言。

**审问 (Interrogation)**
- **定义**：询问涉嫌犯罪的人。

**中断 (Interrupt, IRQ)**
- **定义**：设备或计算机组件用于获取CPU注意的一种机制。

**约谈 (Interview)**
- **定义**：询问某人收集协助犯罪调查的信息。被询问的人不会被怀疑有罪。

**内部网 (Intranet)**
- **定义**：为拥有与互联网相同信息服务而设计的专用网络。

**入侵 (Intrusion)**
- **定义**：威胁主体通过躲过安全控制措施获得访问组织基础设施的权利，直接对资产构成威胁，也称为渗透。

**入侵检测 (Intrusion Detection)**
- **定义**：一种具体的监控形式，记录信息和实时发生的事件，以便检查不期望的系统访问。

**入侵检测系统 (Intrusion Detection System, IDS)**
- **定义**：一种使审计日志和实时系统事件检查自动化的产品，主要用于检测入侵企图，也可用于检测系统故障或评价系统总体性能。

**IP报头协议字段值 (IP Header Protocol Field Value)**
- **定义**：IP包头部的一个元素，确定IP数据包净载中使用的协议（例如，6表示TCP，17表示UDP，1表示ICMP）。

**IP有效载荷压缩协议 (IP Payload Compression, IPComp)**
- **定义**：允许IPSec用户在加密操作之前压缩数据包，以增强性能。

**IP探测 (IP Probes)**
- **定义**：使用自动化工具在一个范围内ping每个地址的攻击技术。对ping请求做出回应的系统被黑客记录，便于进一步分析。无回应的地址被认为不可利用并被忽略。

**IP安全性 (IP Security, IPSec)**
- **定义**：一种基于标准的机制，为点对点的TCP/IP通信提供加密。

**IP欺骗 (IP Spoofing)**
- **定义**：恶意人员通过重新配置系统使其具有可信系统的IP地址，试图访问其他外部资源。

**虹膜扫描 (Iris Scans)**
- **定义**：生物测定学因素之一，通过瞳孔周围有色部分建立身份标识或提供身份认证。

**隔离 (Isolation)**
- **定义**：将不同系统或组件分开，防止相互干扰或影响。
