### 术语表

**可用性 (Availability)**
**二进制数学 (Binary Mathematics)**
- 计算机使用的位和字节的计算规则，也称为布尔运算。

**绑定变量 (Bind Variable)**
- 用于SQL语句中的占位符，例如数字或字符串。

**生物识别因素 (Biometric Factors)**
- 可用于识别或认证任何人的特征。生理生物识别方法包括指纹、面部扫描、视网膜扫描、虹膜扫描、手掌扫描、手部外形和声音模式。行为生物识别方法包括签字力度和击键模式。

**生物测定学 (Biometrics)**
- 将人类的生理或行为特征用作逻辑访问的身份认证因素和物理访问的身份标识。

**生日攻击 (Birthday Attack)**
- 在这种攻击中，恶意者在数字化签名的通信中寻找可以生成相同信息摘要的不同信息，从而维持原有数字签名的有效性。根据统计学原理，如果有23个人，存在两人或更多人生日相同的概率大于50%。

**位翻转 (Bit Flipping)**
- 将位改为相反值的活动，常用于模糊化以轻微修改输入数据的技术。

**位大小 (Bit Size)**
- 值中的二进制数字或位的数量，例如键、块大小或哈希值。

**黑箱测试 (Black-box Testing)**
- 一种程序测试形式，查看程序输入和输出，但不关心内部逻辑结构。

**黑盒 (Black Box)**
- 用于操纵线路电压以窃取长途服务。

**电力中断 (Blackout)**
- 电力的完全丧失。

**分组密码 (Block Cipher)**
- 对整个信息分组同时应用加密算法的密码。换位密码是分组密码的一个例子。

**Blowfish**
- 一种对64位文本分组进行操作的分组密码，使用变长密钥，密钥长度范围从32位到448位。

**蓝盒 (Blue Box)**
- 用于模拟与电话网络主干系统直接互动的2600Hz声音。

**蓝牙窃听 (Blue Bugging)**
- 一种攻击，允许黑客远程控制蓝牙设备的特性和功能，如打开麦克风进行音频监控。

**蓝牙劫持 (Bluejacking)**
- 劫持蓝牙连接以便偷听或抽取信息。

**蓝牙侵吞 (Bluesnarfing)**
- 一种攻击，允许黑客在不知情的情况下配对蓝牙设备并从中提取信息，如联系人列表、数据甚至通话记录。

**蓝牙 802.15**
- 一种通常用于将配件与蜂窝电话或计算机配对的无线标准。

**引导扇区 (Boot Sector)**
- 存储设备的一部分，用于加载操作系统以及病毒攻击加载过程。

**代理 (Bot)**
- 连续漫游多个网站并代表用户执行操作的智能代理。

**僵尸网络控制器 (Botmaster)**
- 控制僵尸网络的黑客，也称为僵尸牧人。

**僵尸网络 (Botnet)**
- 在僵尸网络控制器控制下的互联网上计算机集合，有时涉及数千甚至数百万台计算机。

**界限 (Bounds)**
- 对进程可以访问的内存和资源所做的限制。

**破坏 (Breach)**
- 发生安全机制被威胁主体绕过或阻挠的情况。

**Brewer and Nash 模型 (Chinese Wall)**
- 设计这种模型的目的是允许访问控制基于用户的先前活动动态改变，使其成为一种状态机模型。

**桥 (Bridge)**
- 用于连接速度、线缆类型或拓扑结构不同但协议相同的网络的第2层设备。

**桥接模式 (Bridge Mode)**
- 无线接入点部署的一种形式，用于通过无线桥接将两个有线网络连接在一起。

**自带设备 (Bring Your Own Device, BYOD)**
- 允许员工携带自己的个人移动设备并通过这些设备连接公司网络的策略。尽管设备属于员工，但存储在设备上的组织数据仍是组织的资产。

**宽带 (Broadband)**
- 支持同时传输多个通信信号的通信介质。

**广播 (Broadcast)**
- 向多个未经标识的接收者进行通信传输的形式。

**广播地址 (Broadcast Address)**
- 指定网络分组或容器内所有接收数据的设备的地址。

**广播域 (Broadcast Domain)**
- 一组网络系统，当其中一个成员发送广播包时，其他成员会接收到该广播包。

**广播技术 (Broadcast Technology)**
- 基于或依赖于广播而不是单播信令的通信系统。

**桥式路由器 (Brouter)**
- 首先尝试路由，如果路由失败则默认进行桥接的网络设备。

**降低电压 (Brownout)**
- 电力供应的暂时下降。
