# G0032: Lazarus Group
## Description
The [Lazarus Group](https://attack.mitre.org/groups/G0032) is a threat actor attributed to the North Korean government, as reported by US-CERT in June 2017 (Citation: US-CERT HIDDEN COBRA June 2017). Active since at least 2009, the group has been linked to several high-profile cyberattacks, including the destructive wiper attack on Sony Pictures Entertainment in November 2014, which was part of a campaign named Operation Blockbuster by Novetta. The malware used by the [Lazarus Group](https://attack.mitre.org/groups/G0032) correlates with other campaigns such as Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain (Citation: Novetta Blockbuster). In late 2017, the group employed KillDisk, a disk-wiping tool, in an attack on a Central American online casino (Citation: Lazarus KillDisk).

Definitions of North Korean threat groups often overlap, and the name [Lazarus Group](https://attack.mitre.org/groups/G0032) is sometimes used broadly to encompass a wide range of activities. Some organizations use "Lazarus Group" to refer to any activity attributed to North Korea (Citation: US-CERT HIDDEN COBRA June 2017). Other organizations track specific North Korean clusters or groups, such as Bluenoroff, [APT37](https://attack.mitre.org/groups/G0067), and [APT38](https://attack.mitre.org/groups/G0082), separately (Citation: Kaspersky Lazarus Under The Hood Blog 2017).

## Tactics, Techniques, and Procedures (TTPs)
|Platform|Tactic|Technique|Description|Data Sources|
|Linux, Windows, macOS|[Execution](https://attack.mitre.org/tactics/execution/) |[User Execution](https://attack.mitre.org/techniques/T1204/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) attempts to get users to launch malicious Microsoft Word attachments delivered via spearphishing emails. |Anti-virus, Process command-line parameters, Process monitoring|
|Linux, macOS, Windows|[Defense Evasion, Execution](https://attack.mitre.org/tactics/defense-evasion/, https://attack.mitre.org/tactics/execution/) |[Scripting](https://attack.mitre.org/techniques/T1064/) |A Destover-like variant used by [Lazarus Group](https://attack.mitre.org/groups/G0032) uses a batch file mechanism to delete its binaries from the system. |Process monitoring, File monitoring, Process command-line parameters|
|Windows, macOS, Linux|[Initial Access](https://attack.mitre.org/tactics/initial-access/) |[Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) targets victims with spearphishing emails containing malicious Microsoft Word documents. |File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server|
|Windows|[Discovery](https://attack.mitre.org/tactics/discovery/) |[System Time Discovery](https://attack.mitre.org/techniques/T1124/) |A Destover-like implant used by [Lazarus Group](https://attack.mitre.org/groups/G0032) can obtain the current system time and send it to the C2 server. |Process monitoring, Process command-line parameters, API monitoring|
|Linux, Windows, macOS|[Execution](https://attack.mitre.org/tactics/execution/) |[Exploitation for Client Execution](https://attack.mitre.org/techniques/T1203/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) exploits Adobe Flash vulnerability CVE-2018-4878 for execution. |Anti-virus, System calls, Process monitoring|
|Linux, macOS, Windows|[Defense Evasion, Persistence](https://attack.mitre.org/tactics/defense-evasion/, https://attack.mitre.org/tactics/persistence/) |[Hidden Files and Directories](https://attack.mitre.org/techniques/T1158/) |A [Lazarus Group](https://attack.mitre.org/groups/G0032) VBA Macro sets its file attributes to System and Hidden. |File monitoring, Process monitoring, Process command-line parameters|
|Linux, macOS, Windows|[Command and Control](https://attack.mitre.org/tactics/command-and-control/) |[Data Encoding](https://attack.mitre.org/techniques/T1132/) |A [Lazarus Group](https://attack.mitre.org/groups/G0032) malware sample encodes data with base64. |Packet capture, Process use of network, Process monitoring, Network protocol analysis|
|Linux, macOS, Windows|[Defense Evasion, Privilege Escalation](https://attack.mitre.org/tactics/defense-evasion/, https://attack.mitre.org/tactics/privilege-escalation/) |[Process Injection](https://attack.mitre.org/techniques/T1055/) |A [Lazarus Group](https://attack.mitre.org/groups/G0032) malware sample performs reflective DLL injection. |API monitoring, Windows Registry, File monitoring, DLL monitoring, Process monitoring, Named Pipes|
|Linux, macOS, Windows|[Command and Control](https://attack.mitre.org/tactics/command-and-control/) |[Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) |A [Lazarus Group](https://attack.mitre.org/groups/G0032) malware sample conducts C2 over HTTP. |Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring|
|Windows|[Persistence](https://attack.mitre.org/tactics/persistence/) |[Shortcut Modification](https://attack.mitre.org/techniques/T1023/) |A [Lazarus Group](https://attack.mitre.org/groups/G0032) malware sample adds persistence on the system by creating a shortcut in the user’s Startup folder. |File monitoring, Process monitoring, Process command-line parameters|
|Linux, macOS, Windows|[Command and Control, Defense Evasion](https://attack.mitre.org/tactics/command-and-control/, https://attack.mitre.org/tactics/defense-evasion/) |[Connection Proxy](https://attack.mitre.org/techniques/T1090/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) uses multiple proxies to obfuscate network traffic from victims. |Process use of network, Process monitoring, Netflow/Enclave netflow, Packet capture|
|Windows|[Defense Evasion, Privilege Escalation](https://attack.mitre.org/tactics/defense-evasion/, https://attack.mitre.org/tactics/privilege-escalation/) |[Access Token Manipulation](https://attack.mitre.org/techniques/T1134/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with the API call CreateProcessAsUserA under that user's context. |API monitoring, Access tokens, Process monitoring, Process command-line parameters|
|Linux, macOS, Windows|[Command and Control](https://attack.mitre.org/tactics/command-and-control/) |[Uncommonly Used Port](https://attack.mitre.org/techniques/T1065/) |Some [Lazarus Group](https://attack.mitre.org/groups/G0032) malware uses a list of ordered port numbers to choose a port for C2 traffic, including uncommonly used ports such as 995, 1816, 465, 1521, 3306, and others. |Netflow/Enclave netflow, Process use of network, Process monitoring|
