### DCCS Reviewers

**Authors:**

- Abdelwahed, Sherif
- Di Flora, Cristiano
- Di Giandomenico, Felicita
- Ding, Hui
- Dobre, Dan
- Dondossola, Giovanna
- Dowling, Jim
- Duarte, Jr., Elias P.
- Ebnenasir, Ali
- El Salloum, Christian
- Ellard, Daniel
- Elnozahy, Mootaz
- Elphinstone, Kevin
- Engracia Gomez, Maria
- Eugster, Patrick
- Evans, David
- Ezhilchelvan, Paul D.
- Fabre, Jean-Charles
- Faconti, Giorgio
- Falai, Lorenzo
- Falsafi, Babak
- Fauconnier, Hugues
- Fetzer, Christof
- Ficco, Massimo
- Flammini, Francesco
- Forest, Tom
- Fraikin, Falk
- Frank, Michael P.
- Frazier, Tiffany
- Friedman, Roy
- Fujiwara, Eiji
- Fuller, Eddie
- Furini, Marco
- Gärtner, Felix C.
- Geib, Christopher
- Georgantas, Nikolaos
- Georgiou, Chryssis
- Ghini, Vittorio
- Gil-Vicente, Pedro-Joaquin
- Giordano, Benedetto
- Girault, Alain
- Gnesi, Stefania
- Golle, Philippe
- Goseva-Popstojanova, Katerina
- Gouda, Mohamed
- Grandoni, Fabrizio
- Gu, Weining
- Guerraoui, Rachid
- Gupta, Indranil
- Gupta, Rajiv
- Gurumurthi, Sudhanva
- Haidinger, Wolfgang
- Han, Junghee
- Harrison, Michael
- Hartel, Pieter
- Hayashibara, Naohiro
- Hayes, John P.
- Hedin, Daniel
- Heiner, Günter
- Hiller, Martin
- Hiltunen, Matti
- Hoi, Steven C.H.
- Hornák, Zoltán
- Horst, Robert
- Huang, Yennun
- Huang, Shih-Kun
- Huber, Bernhard
- Ihde, Michael
- Imai, Masashi
- Inoue, Shinji
- Ioannidis, John
- Islam, Shariful
- Issarny, Valerie
- Iyer, Ravishankar
- Jagst, Jürgen
- Jahanian, Farnam
- Jansch-Pôrto, Ingrid
- Jereb, László
- Jerzak, Zbigniew
- Jhumka, Arshad
- Jim, Trevor
- Jimenez-Peris, Ricardo
- Johansson, Andreas
- Jonsson, Erland
- Joshi, Kaustubh R.
- Jung, Eunjin
- Junqueira, Flavio
- Jutman, Artur
- Kaaniche, Mohamed
- Kaiser, Jörg
- Kakuda, Yoshiaki
- Kalbarczyk, Zbigniew
- Kan, Haibin
- Kandemir, M.
- Kanoun, Karama
- Karamanolis, Christos
- Kargl, Frank
- Karlsson, Johan
- Keckler, Steve
- Keidar, Idit
- Kemme, Bettina
- Kikuno, Tohru
- Killijian, Marc-Olivier
- Killourhy, Kevin
- Kintala, Chandra
- Kirner, Raimund
- Kirsch, Jonathan
- KleinOsowski, A.J.
- Knight, John
- Kondo, Masaaki
- Kong, Lei
- Koopman, Philip
- Kopetz, Hermann
- Krieger, Orran
- Kshemkalyani, Ajay
- Kulkarni, Sandeep S.
- Kulkarni, Devdatta
- Kuo, Sy-Yen
- Lala, Jay
- Landwehr, Carl
- Lane, John
- Latronico, Beth
- Lawall, Julia
- Le Lann, Gérard
- Lee, Steven S.W.
- Leveugle, Regis
- Li, Harry
- Lin, Chern Tang
- Lippmann, Lippmann
- Lipson, Howard
- Liu, Zhijun
- Liu, Yan
- Liu, Alex X.
- Lollini, Paolo
- Longstaff, Thomas
- Lonn, Henrik
- Lorch, Jacob
- Loriant, Nicolas
- Lu, Shi
- Lussier, Benjamin
- Lyu, Michael
- Macêdo, Raimundo J. De Araújo
- Maehle, Erik
- Maisonneuve, Julien
- Majzik, István
- Maldonado, Jose Carlos
- Malek, Miroslaw
- Malkhi, Dahlia
- Manimaran, G.
- Manini, Daniele
- Manivannan, D.
- Marmo, Pietro
- Marques, Paulo
- Marti, Antonio
- Martin, Jean-Philippe
- Martinelli, Fabio
- Martinez, Jose F.
- Martins, Eliane
- Martins, Pedro
- Marzullo, Keith
- Masera, Marcelo
- Masuzawa, Toshimitsu
- Mathew, Sunu
- Mauro, James
- Maxino, Theresa
- Maxion, Roy
- Meier, Rene
- Mian, Adnan Noor
- Milani, Alessia
- Milic, Bratislav
- Miller, Bart
- Millsap, Arnie
- Miremadi, Seyed Ghassem
- Mitidieri, Carlos
- Mittal, Neeraj
- Mock, Michael
- Mohapatra, Prasant
- Morales, Ramses
- Morris, Jen
- Moser, Louise
- Mosse, Daniel
- Mostefaoui, Achour
- Mudigonda, Jayaram
- Mukherjee, Shubu
- Muller, Gilles
- Mura, Ivan
- Murphy, Brendan
- Musaloiu-Elefteri, Raluca
- Musman, Scott
- Nakamura, Hiroshi
- Napper, Jeff
- Nett, Edgar
- Neves, Nuno Ferreira
- Nguyen, Thu D.
- Ning, Peng
- Nita-Rotaru, Cristina
- Nowka, Kevin
- Ohta, Tomoyuki
- Oliveira, Rui Carlos
- Olovsson, Tomas
- Orabona, Vincenzo
- Owezarski, Philippe
- Panzieri, Fabio
- Paolillo, Generoso
- Parvedy, Raipin
- Pataricza, András
- Patiño-Martínez, Marta
- Pattabiraman, Karthik
- Paulitsch, Michael
- Pedone, Fernando
- Peh, Li-Shiuan
- Peluso, Lorenzo
- Peti, Philipp
- Petri, Jr., András
- Pfeifer, Gert
- Picariello, Antonio
- Pintér, Gergely
- Piontek, Hubert
- Plank, James
- Pointcheval, David
- Poli, Fabiomassimo
- Polze, Andreas
- Poppe, Andras
- Porcarelli, Stefano
- Pouget, Fabien
- Powell, David
- Tulone, Daniela
- Tutu, Ciprian
- Ubar, Raimund
- Upadhyaya, Shambhu
- Ur, Shmuel
- Urban, Peter
- Uttamchandani, Sandeep
- van Renesse, Robbert
- Varro, Daniel
- Vemu, Ramtilak
- Venkatasubramanian, Rajesh
- Verissimo, Paulo
- Vesonder, Gregg
- Vieira, Marco
- Vieira, Gustavo M.D.
- Vin, Harrick
- Virgillito, Antonino
- Visconti, Ivan
- Voges, Udo
- Waeselynck, Helene
- Wakahara, Yasushi
- Wang, Ke
- Wang, Long
- Wappler, Ute
- Watson, David
- Weber, Stefan
- Weinstock, Charles B.
- Wenzel, Ingomar
- Wespi, Andreas
- Wu, Kaijie
- Würz, Thomas
- Wylie, Jay
- Xu, Jie
- Yalagandula, Praveen
- Yang, Erica Y.
- Yao, Bin
- Yeh, Bob
- Yerramalla, Sampath
- Yokota, Haruo
- Yoneda, Tomohiro
- Younis, Mohamed
- Yu, Haifeng
- Zarras, Apostolos
- Zhang, Dacheng
- Zhou, Yangfan
- Pramanik, Suranjan
- Proenza, Julian
- Puaut, Isabelle
- Qiu, Lili
- Querzoni, Leonardo
- Rajagopalan, Mohan
- Rajwar, Ravi
- Ramasamy, HariGovind
- Ravi, S.
- Ray, Indrajit
- Ray, Justin
- Raynal, Michel
- Rebaudengo, Maurizio
- Rela, Mario
- Rieder, Bernhard
- Riordan, James
- Rodrigues, Luís
- Rodrigues, Rodrigo
- Romano, Luigi
- Romanovsky, Alexander
- Rouvoy, Romain
- Roy, Matthieu
- Rufino, Josè
- Ruiz Garcia, Juan Carlos
- Salfner, Felix
- Samar, Asad
- Sanders, William H.
- Sands, David
- Sankaranarayanan, Vidyaraman
- Sanseviero, Angela
- Sansone, Carlo
- Sarbu, Constantin
- Sarbu, Adina
- Saxena, Nirmal
- Saydjari, Sami
- Schemmer, Stefan
- Schiper, Andre
- Schlichting, Richard
- Schmidt, Rodrigo
- Schneider, Fred B.
- Serafine, Marco
- Sereno, Matteo
- Sha, Lui
- Shaffer, Jeremy
- Shafi, Hazim
- Shelton, Charles
- Shen, Hong
- Shieh, Shiuh-Pyng
- Shrivastava, Santosh
- Shvartsman, Alex
- Siewiorek, Daniel
- Silva, Flávio Assis
- Silva, João Gabriel
- Sima, Dezso
- Simoncini, Luca
- Singh, Sankalp
- Singhal, Mukesh
- Sinha, Sushant
- Smidts, Carol
- Smith, T. Basil
- Sobe, Peter
- Somani, Arun
- Some, Raphael
- Sonza Reorda, Matteo
- Sousa, Paulo
- Spainhower, Lisa
- Stanton, Jonathan
- Steiner, Wilfried
- Steininger, Andreas
- Stolfo, Sal
- Striegel, Aaron
- Strigini, Lorenzo
- Subbiah, Arun
- Suesskraut, Martin
- Suri, Neeraj
- Sziray, József
- Tai, Ann
- Taiani, François
- Tan, Kymie
- Taylor, David
- Temple, Christopher
- Terzis, Andreas
- Tessaro, Stefano
- Townend, Paul
- Townsend, Whitney
- Trikaliotis, Spiro
- Tripathi, Anand
- Tsai, Wei-Tek
- Tsai, Jichiang
- Tucci Piergiovanni, Sara

This list has been formatted for clarity and readability, ensuring that each author's name is presented in a consistent and professional manner.
