### Software Version Distribution and Vulnerability Analysis

#### MovableType
- **Version Distribution (June 18, 2010)**
  - **Generic:** Same code for all apps and plugins.
  - **Fast:** 1-10 seconds, with an average of 6.4 seconds.
  - **Low Resources:** Average 354.2 Kb to fingerprint.
  - **Accurate:** Average 1.66 versions and identifies 98.0% of sites.
  - **Resistant to Hardening/Banner Removal:** Yes.
  - **Easy to Support New Versions/Apps:** Approximately 2 hours to support all available versions of a new app (1 hour if they are packed nicely).

### Sources of Error
- **Common Issues:**
  - Incomplete removal of web applications.
  - Partial or manual upgrades.
  - Changed application root.
  - Static hosting on alternate domains (e.g., Wikipedia).
  - Trivial modifications to static files (rarely done).

### Next Steps
- **Web App Developers:**
  - Consider default deployments that resist fingerprinting.
  - Help create fingerprint files to recognize your app.
- **Site Administrators:**
  - Fingerprint your site to understand what attackers know.
  - Harden your site to resist fingerprinting.
  - Keep your software up to date.
- **Everyone Else:**
  - Try out the tool.
  - Report bugs, contribute signatures, and implement features.

### Contact Information
- **Email:** PI:EMAIL
- **Twitter:** @coffeetocode
- **Website:** http://coffeetocode.net

### Questions?
- Feel free to reach out for any further information or assistance.
