# [](//cloud.google.com)

[ June 05, 2020 ]{.date} [ All services available ]{.status}

-   [Google Cloud Status Dashboard](/)
-   [Incidents](/summary)
-   [Google Cloud Networking](/incident/cloud-networking/19009)

#  Google Cloud Status Dashboard

This page provides status information on the services that are part of
Google Cloud Platform. Check back here to view the current status of the
services listed below. If you are experiencing an issue not listed here,
please [contact Support](//cloud.google.com/support/). Learn more about
what\'s posted on the dashboard in [this
FAQ](//cloud.google.com/support/docs/dashboard). For additional
information on these services, please visit
[cloud.google.com](//cloud.google.com).

# Google Cloud Networking Incident #19009

The network congestion issue in eastern USA, affecting Google Cloud, G
Suite, and YouTube has been resolved for all affected users as of 4:00pm
US/Pacific.

Incident began at **2019-06-02 11:45** and ended at **2019-06-02 15:40**
(all times are **US/Pacific**).

+-----------------+-----------------+-----------------+-----------------+
|                 | Date            | Time            | Description     |
|                 |                 |                 | which depend on |
|                 |                 |                 | Google\'s US    |
|                 |                 |                 | network were    |
|                 |                 |                 | also impacted,  |
|                 |                 |                 | as were several |
|                 |                 |                 | non-Cloud       |
|                 |                 |                 | Google services |
|                 |                 |                 | which could not |
|                 |                 |                 | fully redirect  |
|                 |                 |                 | users to        |
|                 |                 |                 | unaffected      |
|                 |                 |                 | regions.        |
|                 |                 |                 | Customers may   |
|                 |                 |                 | have            |
|                 |                 |                 | experienced     |
|                 |                 |                 | increased       |
|                 |                 |                 | latency,        |
|                 |                 |                 | intermittent    |
|                 |                 |                 | errors, and     |
|                 |                 |                 | connectivity    |
|                 |                 |                 | loss to         |
|                 |                 |                 | instances in    |
|                 |                 |                 | us-central1,    |
|                 |                 |                 | us-east1,       |
|                 |                 |                 | us-east4,       |
|                 |                 |                 | us-west2,       |
|                 |                 |                 | northamer       |
|                 |                 |                 | ica-northeast1, |
|                 |                 |                 | and             |
|                 |                 |                 | sout            |
|                 |                 |                 | hamerica-east1. |
|                 |                 |                 | Google Cloud    |
|                 |                 |                 | instances in    |
|                 |                 |                 | us-west1, and   |
|                 |                 |                 | all European    |
|                 |                 |                 | regions and     |
|                 |                 |                 | Asian regions,  |
|                 |                 |                 | did not         |
|                 |                 |                 | experience      |
|                 |                 |                 | regional        |
|                 |                 |                 | network         |
|                 |                 |                 | congestion.     |
|                 |                 |                 |                 |
|                 |                 |                 | Google Cloud    |
|                 |                 |                 | Platform        |
|                 |                 |                 | services were   |
|                 |                 |                 | affected until  |
|                 |                 |                 | mitigation      |
|                 |                 |                 | completed for   |
|                 |                 |                 | each region,    |
|                 |                 |                 | including:      |
|                 |                 |                 | Google Compute  |
|                 |                 |                 | Engine, App     |
|                 |                 |                 | Engine, Cloud   |
|                 |                 |                 | Endpoints,      |
|                 |                 |                 | Cloud           |
|                 |                 |                 | Interconnect,   |
|                 |                 |                 | Cloud VPN,      |
|                 |                 |                 | Cloud Console,  |
|                 |                 |                 | Stackdriver     |
|                 |                 |                 | Metrics, Cloud  |
|                 |                 |                 | Pub/Sub,        |
|                 |                 |                 | Bigquery,       |
|                 |                 |                 | regional Cloud  |
|                 |                 |                 | Spanner         |
|                 |                 |                 | instances, and  |
|                 |                 |                 | Cloud Storage   |
|                 |                 |                 | regional        |
|                 |                 |                 | buckets. G      |
|                 |                 |                 | Suite services  |
|                 |                 |                 | in these        |
|                 |                 |                 | regions were    |
|                 |                 |                 | also affected.  |
|                 |                 |                 |                 |
|                 |                 |                 | We apologize to |
|                 |                 |                 | our customers   |
|                 |                 |                 | whose services  |
|                 |                 |                 | or businesses   |
|                 |                 |                 | were impacted   |
|                 |                 |                 | during this     |
|                 |                 |                 | incident, and   |
|                 |                 |                 | we are taking   |
|                 |                 |                 | immediate steps |
|                 |                 |                 | to improve the  |
|                 |                 |                 | platform's      |
|                 |                 |                 | performance and |
|                 |                 |                 | availability. A |
|                 |                 |                 | detailed        |
|                 |                 |                 | assessment of   |
|                 |                 |                 | impact is at    |
|                 |                 |                 | the end of this |
|                 |                 |                 | report.         |
|                 |                 |                 |                 |
|                 |                 |                 | # ROOT CAUSE    |
|                 |                 |                 | AND REMEDIATION |
|                 |                 |                 |                 |
|                 |                 |                 | This was a      |
|                 |                 |                 | major outage,   |
|                 |                 |                 | both in its     |
|                 |                 |                 | scope and       |
|                 |                 |                 | duration. As is |
|                 |                 |                 | always the case |
|                 |                 |                 | in such         |
|                 |                 |                 | instances,      |
|                 |                 |                 | multiple        |
|                 |                 |                 | failures        |
|                 |                 |                 | combined to     |
|                 |                 |                 | amplify the     |
|                 |                 |                 | impact.         |
|                 |                 |                 |                 |
|                 |                 |                 | Within any      |
|                 |                 |                 | single physical |
|                 |                 |                 | datacenter      |
|                 |                 |                 | location,       |
|                 |                 |                 | Google\'s       |
|                 |                 |                 | machines are    |
|                 |                 |                 | segregated into |
|                 |                 |                 | multiple        |
|                 |                 |                 | logical         |
|                 |                 |                 | clusters which  |
|                 |                 |                 | have their own  |
|                 |                 |                 | dedicated       |
|                 |                 |                 | cluster         |
|                 |                 |                 | management      |
|                 |                 |                 | software,       |
|                 |                 |                 | providing       |
|                 |                 |                 | resilience to   |
|                 |                 |                 | failure of any  |
|                 |                 |                 | individual      |
|                 |                 |                 | cluster         |
|                 |                 |                 | manager.        |
|                 |                 |                 | Google\'s       |
|                 |                 |                 | network control |
|                 |                 |                 | plane runs      |
|                 |                 |                 | under the       |
|                 |                 |                 | control of      |
|                 |                 |                 | different       |
|                 |                 |                 | instances of    |
|                 |                 |                 | the same        |
|                 |                 |                 | cluster         |
|                 |                 |                 | management      |
|                 |                 |                 | software; in    |
|                 |                 |                 | any single      |
|                 |                 |                 | location,       |
|                 |                 |                 | again, multiple |
|                 |                 |                 | instances of    |
|                 |                 |                 | that cluster    |
|                 |                 |                 | management      |
|                 |                 |                 | software are    |
|                 |                 |                 | used, so that   |
|                 |                 |                 | failure of any  |
|                 |                 |                 | individual      |
|                 |                 |                 | instance has no |
|                 |                 |                 | impact on       |
|                 |                 |                 | network         |
|                 |                 |                 | capacity.       |
|                 |                 |                 |                 |
|                 |                 |                 | Google\'s       |
|                 |                 |                 | cluster         |
|                 |                 |                 | management      |
|                 |                 |                 | software plays  |
|                 |                 |                 | a significant   |
|                 |                 |                 | role in         |
|                 |                 |                 | automating      |
|                 |                 |                 | datacenter      |
|                 |                 |                 | maintenance     |
|                 |                 |                 | events, like    |
|                 |                 |                 | power           |
|                 |                 |                 | infrastructure  |
|                 |                 |                 | changes or      |
|                 |                 |                 | network         |
|                 |                 |                 | augmentation.   |
|                 |                 |                 | Google\'s scale |
|                 |                 |                 | means that      |
|                 |                 |                 | maintenance     |
|                 |                 |                 | events are      |
|                 |                 |                 | globally        |
|                 |                 |                 | common,         |
|                 |                 |                 | although rare   |
|                 |                 |                 | in any single   |
|                 |                 |                 | location. Jobs  |
|                 |                 |                 | run by the      |
|                 |                 |                 | cluster         |
|                 |                 |                 | management      |
|                 |                 |                 | software are    |
|                 |                 |                 | labelled with   |
|                 |                 |                 | an indication   |
|                 |                 |                 | of how they     |
|                 |                 |                 | should behave   |
|                 |                 |                 | in the face of  |
|                 |                 |                 | such an event:  |
|                 |                 |                 | typically jobs  |
|                 |                 |                 | are either      |
|                 |                 |                 | moved to a      |
|                 |                 |                 | machine which   |
|                 |                 |                 | is not under    |
|                 |                 |                 | maintenance, or |
|                 |                 |                 | stopped and     |
|                 |                 |                 | rescheduled     |
|                 |                 |                 | after the       |
|                 |                 |                 | event.          |
|                 |                 |                 |                 |
|                 |                 |                 | Two             |
|                 |                 |                 | normally-benign |
|                 |                 |                 | mis             |
|                 |                 |                 | configurations, |
|                 |                 |                 | and a specific  |
|                 |                 |                 | software bug,   |
|                 |                 |                 | combined to     |
|                 |                 |                 | initiate the    |
|                 |                 |                 | outage:         |
|                 |                 |                 | firstly,        |
|                 |                 |                 | network control |
|                 |                 |                 | plane jobs and  |
|                 |                 |                 | their           |
|                 |                 |                 | supporting      |
|                 |                 |                 | infrastructure  |
|                 |                 |                 | in the impacted |
|                 |                 |                 | regions were    |
|                 |                 |                 | configured to   |
|                 |                 |                 | be stopped in   |
|                 |                 |                 | the face of a   |
|                 |                 |                 | maintenance     |
|                 |                 |                 | event.          |
|                 |                 |                 | Secondly, the   |
|                 |                 |                 | multiple        |
|                 |                 |                 | instances of    |
|                 |                 |                 | cluster         |
|                 |                 |                 | management      |
|                 |                 |                 | software        |
|                 |                 |                 | running the     |
|                 |                 |                 | network control |
|                 |                 |                 | plane were      |
|                 |                 |                 | marked as       |
|                 |                 |                 | eligible for    |
|                 |                 |                 | inclusion in a  |
|                 |                 |                 | particular,     |
|                 |                 |                 | relatively rare |
|                 |                 |                 | maintenance     |
|                 |                 |                 | event type.     |
|                 |                 |                 | Thirdly, the    |
|                 |                 |                 | software        |
|                 |                 |                 | initiating      |
|                 |                 |                 | maintenance     |
|                 |                 |                 | events had a    |
|                 |                 |                 | specific bug,   |
|                 |                 |                 | allowing it to  |
|                 |                 |                 | deschedule      |
|                 |                 |                 | multiple        |
|                 |                 |                 | independent     |
|                 |                 |                 | software        |
|                 |                 |                 | clusters at     |
|                 |                 |                 | once, crucially |
|                 |                 |                 | even if those   |
|                 |                 |                 | clusters were   |
|                 |                 |                 | in different    |
|                 |                 |                 | physical        |
|                 |                 |                 | locations.      |
|                 |                 |                 |                 |
|                 |                 |                 | The outage      |
|                 |                 |                 | progressed as   |
|                 |                 |                 | follows: at     |
|                 |                 |                 | 11:45           |
|                 |                 |                 | US/Pacific, the |
|                 |                 |                 | previ           |
|                 |                 |                 | ously-mentioned |
|                 |                 |                 | maintenance     |
|                 |                 |                 | event started   |
|                 |                 |                 | in a single     |
|                 |                 |                 | physical        |
|                 |                 |                 | location; the   |
|                 |                 |                 | automation      |
|                 |                 |                 | software        |
|                 |                 |                 | created a list  |
|                 |                 |                 | of jobs to      |
|                 |                 |                 | deschedule in   |
|                 |                 |                 | that physical   |
