### Table 56: Enterprise-specific MIBs Supported by Junos OS

| **Enterprise-Specific MIB** | **Description** | **Platforms** |
| **OTN Interface Management MIB** | Defines objects for managing Optical Transport Network (OTN) interfaces on devices running Junos OS. | M Series, MX Series, PTX Series, T Series |
| **Packet Forwarding Engine MIB** | Provides notification statistics for Packet Forwarding Engines. | ACX Series, EX Series, M Series, PTX Series, SRX Series, T Series |
| **Packet Mirror MIB** | Enables you to capture and view packet mirroring-related information. This MIB is currently supported by Junos OS for MX Series routers only. Packet mirroring traps are an extension of the standard SNMP implementation and are only available to SNMPv3 users. | MX Series |
| **PAE Extension MIB** | Extends the standard IEEE 802.1X PAE Extension MIB and contains information for Static MAC Authentication. | EX Series |
| **Passive Monitoring MIB** | Performs traffic flow monitoring and lawful interception of packets transiting between two routers. | M Series, T Series |
| **Ping MIB** | Extends the standard Ping MIB control table (RFC 2925). Items in this MIB are created when entries are created in the `pingCtlTable` of the Ping MIB. Each item is indexed exactly as it is in the Ping MIB. | ACX Series, EX Series, M Series, MX Series, QFX Series, SRX Series, T Series |
| **Policy Objects MIB** | Provides support for monitoring the security policies that control the flow of traffic from one zone to another. | SRX Series |
| **Power Supply Unit MIB** | Enables monitoring and managing the power supply on a device running Junos OS. | EX Series, QFabric system |
| **PPP MIB** | Provides SNMP support for PPP-related information such as the type of authentication used, interface characteristics, status, and statistics. This MIB is supported on Common Edge PPP process, `jpppd`. | M Series, MX Series |
| **PPPoE MIB** | Provides SNMP support for PPPoE-related information such as the type of authentication used, interface characteristics, status, and statistics. This MIB is supported on Common Edge PPPoE process, `jpppoed`. | M Series, MX Series |
| **Pseudowire ATM MIB** | Extends the standard Pseudowire MIB and defines objects used for managing the ATM pseudowires in Juniper products. The enterprise-specific Pseudowire ATM MIB is the Juniper Networks implementation of RFC 5605, Managed Objects for ATM over Packet Switched Networks (PSNs). | M Series, MX Series |
| **Pseudowire TDM MIB** | Extends the standard Pseudowire MIB and contains information about configuration and statistics for specific pseudowire types. The enterprise-specific Pseudowire TDM MIB is the Juniper Networks implementation of the standard Managed Objects for TDM over Packet Switched Network MIB (`draft-ietf-pwe3-tdm-mib-08.txt`). | ACX Series, M Series, T Series |
| **PTP MIB** | Monitors the operation of PTP clocks within the network. | MX Series |
| **Real-Time Performance Monitoring MIB** | Provides real-time performance-related data and enables you to access jitter measurements and calculations using SNMP. | EX Series, M Series, MX Series, SRX Series, T Series |
| **Reverse-Path-Forwarding MIB** | Monitors statistics for traffic that is rejected because of reverse-path-forwarding (RPF) processing. | All platforms |
| **RMON Events and Alarms MIB** | Supports the Junos OS extensions to the standard Remote Monitoring (RMON) Events and Alarms MIB (RFC 2819). The extension augments `alarmTable` with additional information about each alarm. Two new traps are also defined to indicate when problems are encountered with an alarm. | All platforms |
| **RSVP MIB** | Provides information about RSVP-traffic engineering sessions that correspond to MPLS LSPs on transit routers in the service provider core network. | ACX Series, M Series, MX Series, PTX Series, T Series |
| **Service OAM MIB** | The `jnx-soam-pm.mib` MIB provides SNMP support for service OAM performance monitoring functions. | SRX380, SRX300, SRX320, SRX340, SRX345, MX Series |
| **Security Interface Extension Objects MIB** | Provides support for the security management of interfaces. | EX Series, SRX Series, vSRX Virtual Firewall |
| **Security Screening Objects MIB** | Defines the MIB for the Juniper Networks Enterprise Firewall screen functionality. | SRX Series, vSRX Virtual Firewall |
| **Services PIC MIB** | Provides statistics for Adaptive Services (AS) PICs and defines notifications for AS PICs. | M Series, T Series |
| **SNMP IDP MIB** | Contains Juniper Networks' implementation of an enterprise-specific MIB for IDP. | SRX Series, vSRX Virtual Firewall |
| **SONET APS MIB** | Monitors any SONET interface that participates in Automatic Protection Switching (APS). | M Series, T Series |
| **SONET/SDH Interface Management MIB** | Monitors the current alarm for each SONET/SDH interface. | M Series, T Series |
| **Source Class Usage MIB** | Counts packets sent to customers by performing a lookup on the IP source address and the IP destination address. The Source Class Usage (SCU) MIB makes it possible to track traffic originating from specific prefixes on the provider core and destined for specific prefixes on the customer edge. | M Series, T Series, SRX Series |
| **SPU Monitoring MIB** | Provides support for monitoring SPUs on SRX5600 and SRX5800 devices. | SRX Series, vSRX Virtual Firewall |
| **Structure of Management Information MIB** | Explains how the Juniper Networks enterprise-specific MIBs are structured. | ACX Series, EX Series, M Series, MX Series, QFX Series, SRX Series, T Series, vSRX Virtual Firewall |
| **Structure of Management Information MIB for EX Series Ethernet Switches** | Defines a MIB branch for switching-related MIB definitions for the EX Series Ethernet Switches. | EX Series |
| **Structure of Management Information MIB for SRX Series** | Contains object identifiers (OIDs) for the security branch of the MIBs used in Junos OS for SRX Series Firewalls, services, and traps. | SRX Series, vSRX Virtual Firewall |
| **Subscriber MIB** | Provides SNMP support for subscriber-related information. | ACX Series, MX Series, T Series |
| **System Log MIB** | Enables notification of an SNMP trap-based application when an important system log message occurs. | EX Series, M Series, MX Series, PTX Series, QFX Series, SRX Series, T Series |
| **Timing MIB** | Defines Synchronous Ethernet (SyncE) and Precision Time Protocol (PTP) objects, faults, and events. | ACX710 |
| **Traceroute MIB** | Supports the Junos OS extensions of traceroute and remote operations. Items in this MIB are created when entries are created in the `traceRouteCtlTable` of the Traceroute MIB. Each item is indexed exactly the same way as it is in the Traceroute MIB. | EX Series, M Series, MX Series, SRX Series, T Series, vSRX Virtual Firewall |
| **Tunnel Stats MIB** | Supports monitoring of tunnel statistics for IPv4 over IPv6 tunnels. This MIB currently displays three counters: tunnel count in rpd, tunnel count in Kernel, and tunnel count in the Packet Forwarding Engine. | All platforms |
| **Utility MIB** | Provides SNMP support for exposing the Junos OS data and has tables that contain information about each type of data, such as integer and string. | EX Series, M Series, MX Series, QFabric system, QFX Series, SRX Series, T Series, vSRX Virtual Firewall |
| **Virtual Chassis MIB** | Contains information about the virtual chassis on the EX Series Ethernet Switches and the MX Series. | EX Series, MX Series |
| **VLAN MIB** | Contains information about prestandard IEEE 802.10 VLANs and their association with LAN emulation clients. | EX Series, QFX Series |

This table provides a comprehensive overview of the enterprise-specific MIBs supported by Junos OS, along with their descriptions and the platforms they are supported on.
