 c106   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c107   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c108   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c109   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c110   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c111   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c112   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c113   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c114   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c115   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c116   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c117   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c118   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c119   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c120   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c121   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c122   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c123   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c124   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c125   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c126   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c127   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c128   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
Indexes:  
    "test_pkey" PRIMARY KEY, btree (id)  
    "idx_test_39" btree (c39), tablespace "tbs_8001"  
    "idx_test_4" btree (c4), tablespace "tbs_8001"  
    "idx_test_40" btree (c40), tablespace "tbs_8001"  
    "idx_test_41" btree (c41), tablespace "tbs_8001"  
    "idx_test_42" btree (c42), tablespace "tbs_8001"  
    "idx_test_43" btree (c43), tablespace "tbs_8001"  
    "idx_test_44" btree (c44), tablespace "tbs_8001"  
    "idx_test_45" btree (c45), tablespace "tbs_8001"  
    "idx_test_46" btree (c46), tablespace "tbs_8001"  
    "idx_test_47" btree (c47), tablespace "tbs_8001"  
    "idx_test_48" btree (c48), tablespace "tbs_8001"  
    "idx_test_49" btree (c49), tablespace "tbs_8001"  
    "idx_test_5" btree (c5), tablespace "tbs_8001"  
    "idx_test_50" btree (c50), tablespace "tbs_8001"  
    "idx_test_51" btree (c51), tablespace "tbs_8001"  
    "idx_test_52" btree (c52), tablespace "tbs_8001"  
    "idx_test_53" btree (c53), tablespace "tbs_8001"  
    "idx_test_54" btree (c54), tablespace "tbs_8001"  
    "idx_test_55" btree (c55), tablespace "tbs_8001"  
    "idx_test_56" btree (c56), tablespace "tbs_8001"  
    "idx_test_57" btree (c57), tablespace "tbs_8001"  
    "idx_test_58" btree (c58), tablespace "tbs_8001"  
    "idx_test_59" btree (c59), tablespace "tbs_8001"  
    "idx_test_6" btree (c6), tablespace "tbs_8001"  
    "idx_test_60" btree (c60), tablespace "tbs_8001"  
    "idx_test_61" btree (c61), tablespace "tbs_8001"  
    "idx_test_62" btree (c62), tablespace "tbs_8001"  
    "idx_test_63" btree (c63), tablespace "tbs_8001"  
    "idx_test_64" btree (c64), tablespace "tbs_8001"  
    "idx_test_65" btree (c65), tablespace "tbs_8001"  
    "idx_test_66" btree (c66), tablespace "tbs_8001"  
    "idx_test_67" btree (c67), tablespace "tbs_8001"  
    "idx_test_68" btree (c68), tablespace "tbs_8001"  
    "idx_test_69" btree (c69), tablespace "tbs_8001"  
    "idx_test_7" btree (c7), tablespace "tbs_8001"  
    "idx_test_70" btree (c70), tablespace "tbs_8001"  
    "idx_test_71" btree (c71), tablespace "tbs_8001"  
    "idx_test_72" btree (c72), tablespace "tbs_8001"  
    "idx_test_73" btree (c73), tablespace "tbs_8001"  
    "idx_test_74" btree (c74), tablespace "tbs_8001"  
    "idx_test_75" btree (c75), tablespace "tbs_8001"  
    "idx_test_76" btree (c76), tablespace "tbs_8001"  
    "idx_test_77" btree (c77), tablespace "tbs_8001"  
    "idx_test_78" btree (c78), tablespace "tbs_8001"  
    "idx_test_79" btree (c79), tablespace "tbs_8001"  
    "idx_test_8" btree (c8), tablespace "tbs_8001"  
    "idx_test_80" btree (c80), tablespace "tbs_8001"  
    "idx_test_81" btree (c81), tablespace "tbs_8001"  
    "idx_test_82" btree (c82), tablespace "tbs_8001"  
    "idx_test_83" btree (c83), tablespace "tbs_8001"  
    "idx_test_84" btree (c84), tablespace "tbs_8001"  
    "idx_test_85" btree (c85), tablespace "tbs_8001"  
    "idx_test_86" btree (c86), tablespace "tbs_8001"  
    "idx_test_87" btree (c87), tablespace "tbs_8001"  
    "idx_test_88" btree (c88), tablespace "tbs_8001"  
    "idx_test_89" btree (c89), tablespace "tbs_8001"  
    "idx_test_9" btree (c9), tablespace "tbs_8001"  
    "idx_test_90" btree (c90), tablespace "tbs_8001"  
    "idx_test_91" btree (c91), tablespace "tbs_8001"  
    "idx_test_92" btree (c92), tablespace "tbs_8001"  
    "idx_test_93" btree (c93), tablespace "tbs_8001"  
    "idx_test_94" btree (c94), tablespace "tbs_8001"  
    "idx_test_95" btree (c95), tablespace "tbs_8001"  
    "idx_test_96" btree (c96), tablespace "tbs_8001"  
    "idx_test_97" btree (c97), tablespace "tbs_8001"  
    "idx_test_98" btree (c98), tablespace "tbs_8001"  
    "idx_test_99" btree (c99), tablespace "tbs_8001"  
Options: parallel_workers=64  
```  
### 写入性能如何  
当前有129个索引，写入性能如何？  
9505行/s。    
```  
transaction type: ./test.sql
scaling factor: 1
query mode: prepared
number of clients: 24
number of threads: 24
duration: 120 s
number of transactions actually processed: 11433
latency average = 252.195 ms
latency stddev = 70.089 ms
tps = 95.054689 (including connections establishing)
tps = 95.058210 (excluding connections establishing)
statement latencies in milliseconds:
       252.179  insert into test (c1) select random()*100 from generate_series(1,100);
```  
瓶颈，磁盘读写5.5GB/s。    
```  
Total DISK READ :     207.91 K/s | Total DISK WRITE :       3.54 G/s  
Actual DISK READ:     207.91 K/s | Actual DISK WRITE:    2015.64 M/s  
  TID  PRIO  USER     DISK READ  DISK WRITE  SWAPIN     IO>    COMMAND   
55887 be/4 digoal     15.40 K/s  158.54 M/s  0.00 %  1.05 % postgres: postgres postgres [local] INSERT  
55872 be/4 digoal      7.70 K/s  157.62 M/s  0.00 %  0.84 % postgres: postgres postgres [local] INSERT  
55886 be/4 digoal     23.10 K/s  158.78 M/s  0.00 %  0.78 % postgres: postgres postgres [local] INSERT  
55897 be/4 digoal      7.70 K/s  158.79 M/s  0.00 %  0.75 % postgres: postgres postgres [local] INSERT  
55889 be/4 digoal      0.00 B/s  158.72 M/s  0.00 %  0.69 % postgres: postgres postgres [local] INSERT  
55894 be/4 digoal      0.00 B/s  157.25 M/s  0.00 %  0.69 % postgres: postgres postgres [local] INSERT  
55888 be/4 digoal      7.70 K/s  136.26 M/s  0.00 %  0.68 % postgres: postgres postgres [local] INSERT  
55885 be/4 digoal      7.70 K/s  143.24 M/s  0.00 %  0.67 % postgres: postgres postgres [local] INSERT  
55890 be/4 digoal      0.00 B/s  159.07 M/s  0.00 %  0.67 % postgres: postgres postgres [local] INSERT  
55865 be/4 digoal     15.40 K/s  158.27 M/s  0.00 %  0.65 % postgres: postgres postgres [local] INSERT  
55900 be/4 digoal      7.70 K/s  151.00 M/s  0.00 %  0.64 % postgres: postgres postgres [local] INSERT  
55891 be/4 digoal      0.00 B/s  160.40 M/s  0.00 %  0.63 % postgres: postgres postgres [local] INSERT  
55896 be/4 digoal      0.00 B/s  158.79 M/s  0.00 %  0.62 % postgres: postgres postgres [local] INSERT  
55902 be/4 digoal     15.40 K/s  157.65 M/s  0.00 %  0.62 % postgres: postgres postgres [local] INSERT  
55875 be/4 digoal      0.00 B/s  158.52 M/s  0.00 %  0.58 % postgres: postgres postgres [local] INSERT  
55892 be/4 digoal      7.70 K/s  136.20 M/s  0.00 %  0.58 % postgres: postgres postgres [local] INSERT  
55868 be/4 digoal      0.00 B/s  139.10 M/s  0.00 %  0.58 % postgres: postgres postgres [local] INSERT  
55895 be/4 digoal      0.00 B/s  159.75 M/s  0.00 %  0.57 % postgres: postgres postgres [local] INSERT  
55898 be/4 digoal      0.00 B/s  113.43 M/s  0.00 %  0.55 % postgres: postgres postgres [local] INSERT  
55880 be/4 digoal     46.20 K/s  121.68 M/s  0.00 %  0.50 % postgres: postgres postgres [local] INSERT  
55884 be/4 digoal     23.10 K/s  126.35 M/s  0.00 %  0.47 % postgres: postgres postgres [local] INSERT  
55901 be/4 digoal     15.40 K/s  117.46 M/s  0.00 %  0.46 % postgres: postgres postgres [local] INSERT  
55899 be/4 digoal      7.70 K/s  115.13 M/s  0.00 %  0.46 % postgres: postgres postgres [local] INSERT  
```  
瓶颈在读写数据文件  
```  
postgres=# select wait_event_type,wait_event,count(*) from pg_stat_activity where wait_event is not null group by 1,2 order by 3 desc;  
 wait_event_type |     wait_event      | count   
-----------------+---------------------+-------  
 IO              | DataFileWrite       |    15  
 IO              | DataFileRead        |     5  
 Activity        | WalWriterMain       |     1  
 Activity        | LogicalLauncherMain |     1  
 Activity        | CheckpointerMain    |     1  
 Activity        | AutoVacuumMain      |     1  
(6 rows)  
```  
### 任意字段组合查询性能如何  
1、  
```  
postgres=# explain select count(*) from test where c1=2 and c99 between 100 and 1000 and c98 between 100 and 200 and c1=1;  
                                            QUERY PLAN                                               
---------------------------------------------------------------------------------------------------  
 Aggregate  (cost=1201.23..1201.24 rows=1 width=8)  
   ->  Result  (cost=1192.25..1201.22 rows=1 width=0)  
         One-Time Filter: false  
         ->  Bitmap Heap Scan on test  (cost=1192.25..1201.22 rows=1 width=0)  
               Recheck Cond: ((c98 >= 100) AND (c98 = 100) AND (c99 <= 1000))  
               Filter: (c1 = 2)  
