Junos® OS
Network Management and Monitoring
Guide
Published
2023-12-15
ii
Juniper Networks, Inc.
1133 Innovation Way
Sunnyvale, California 94089
USA
408-745-2000
www.juniper.net
Juniper Networks, the Juniper Networks logo, Juniper, and Junos are registered trademarks of Juniper Networks, Inc.
in the United States and other countries. All other trademarks, service marks, registered marks, or registered service
marks are the property of their respective owners.
Juniper Networks assumes no responsibility for any inaccuracies in this document. Juniper Networks reserves the right
to change, modify, transfer, or otherwise revise this publication without notice.
Junos® OS Network Management and Monitoring Guide
Copyright © 2023 Juniper Networks, Inc. All rights reserved.
The information in this document is current as of the date on the title page.
YEAR 2000 NOTICE
Juniper Networks hardware and software products are Year 2000 compliant. Junos OS has no known time-related
limitations through the year 2038. However, the NTP application is known to have some difficulty in the year 2036.
END USER LICENSE AGREEMENT
The Juniper Networks product that is the subject of this technical documentation consists of (or is intended for use
with) Juniper Networks software. Use of such software is subject to the terms and conditions of the End User License
Agreement ("EULA") posted at https://support.juniper.net/support/eula/. By downloading, installing or using such
software, you agree to the terms and conditions of that EULA.
iii
Table of Contents
About This Guide | xxxvi
Disabling an Iterator Profile | 313
Managing Iterator Statistics | 314
Displaying Iterator Statistics | 314
Clearing Iterator Statistics | 321
Configuring a Remote MEP with an Iterator Profile | 322
Configure Ethernet Synthetic Loss Measurements | 324
Guidelines for Configuring ETH-SLM | 324
Starting a Proactive ETH-SLM Session | 326
Configuring MEP Interfaces | 326
Configuring an Iterator Profile for ETH-SLM | 327
Associating the Iterator Profile with MEPs for ETH-SLM | 329
Starting an On-Demand ETH-SLM Session | 331
Managing ETH-SLM Statistics and ETH-SLM Frame Counts | 332
Displaying ETH-SLM Statistics Only | 332
Displaying ETH-SLM Statistics and Frame Counts | 333
Displaying ETH-SLM Frame Counts for MEPs by Enclosing CFM Entity | 335
Displaying ETH-SLM Frame Counts for MEPs by Interface or Domain Level | 336
Clearing ETH-SLM Statistics and Frame Counts | 337
Clearing Iterator Statistics | 338
Troubleshooting Failures with ETH-SLM | 339
Ethernet Alarm Indication | 341
Ethernet Alarm Indication Signal (ETH-AIS) Function Overview | 341
Ethernet Alarm Indication Signal Overview | 346
Configuring ETH-AIS on a CFM MEP | 347
Configuring an Action Profile | 348
Configuring an Action to Be Taken When an AIS Alarm Is Detected | 350
Attaching the Action Profile to a CFM MEP | 351
x
Configuring Alarm Indication Signal on ACX Series Routers | 353
Inline Transmission Mode | 356
Enabling Inline Transmission of Continuity Check Messages for Maximum Scaling | 356
Enabling Inline Transmission of Link Fault Management Keepalives for Maximum Scaling | 357
Enabling Inline Mode Of Performance Monitoring To Achieve Maximum Scaling | 361
Supported Inline CCM and Inline PM Scaling Values | 364
3 Network Monitoring by using SNMP
SNMP Architecture and SNMP MIBs Overview | 369
Understand SNMP Implementation in Junos OS | 371
Loading MIB Files to a Network Management System | 375
Understand the Integrated Local Management Interface | 378
Configure SNMP in Junos OS | 379
Configure SNMP | 379
Configure SNMP Details | 388
Configure the Commit Delay Timer | 391
Configure SNMP on a Device Running Junos OS | 392
Example: Configure SNMP on the QFabric System | 394
Requirements | 394
Overview | 395
Configuration | 395
Configure Options on Managed Devices for Better SNMP Response Time | 399
Enable the stats-cache-lifetime Option | 399
Filter Out Duplicate SNMP Requests | 400
Exclude Interfaces That Are Slow in Responding to SNMP Queries | 400
Enterprise Specific Utility MIB to Enhance SNMP Coverage | 402
Utility MIB | 402
Optimize the Network Management System Configuration for the Best Results | 405
Interfaces to Accept SNMP Requests | 407
xi
Configure the Interfaces on Which SNMP Requests Can Be Accepted | 407
Configure a Proxy SNMP Agent | 407
Example: Configure Secured Access List Checking | 408
Filter Interface Information Out of SNMP Get and GetNext Output | 409
Configure SNMP for Routing Instances | 410
Understand SNMP Support for Routing Instances | 411
SNMPv3 Management Routing Instance | 412
SNMP MIBs Supported for Routing Instances | 413
Support Classes for MIB Objects | 425
SNMP Traps Supported for Routing Instances | 426
Identify a Routing Instance | 427
Enable SNMP Access over Routing Instances | 428
Specify a Routing Instance in an SNMPv1 or SNMPv2c Community | 428
Example: Configure Interface Settings for a Routing Instance | 429
Configure Access Lists for SNMP Access over Routing Instances | 431
Configure SNMP Remote Operations | 432
SNMP Remote Operations Overview | 432
Use the Ping MIB for Remote Monitoring Devices Running Junos OS | 436
Start a Ping Test | 437
Before You Begin | 437
Start a Ping Test | 437
Use Multiple Set PDUs | 438
Use a Single Set PDU | 438
Monitor a Running Ping Test | 438
pingResultsTable | 439
pingProbeHistoryTable | 440
Generate Traps | 441
Gather Ping Test Results | 442
xii
Stop a Ping Test | 444
Interpret Ping Variables | 444
Use the Traceroute MIB for Remote Monitoring Devices Running Junos OS | 445
Start a Traceroute Test | 445
Use Multiple Set PDUs | 446
Use a Single Set PDU | 446
Monitor a Running Traceroute Test | 446
traceRouteResultsTable | 447
traceRouteProbeResultsTable | 448
traceRouteHopsTable | 449
Generate Traps | 450
Monitor Traceroute Test Completion | 450
Gather Traceroute Test Results | 451
Stop a Traceroute Test | 453
Interpret Traceroute Variables | 453
SNMP Traps | 454
Configure SNMP Traps | 454
Configure SNMP Trap Options | 456
Configure the Source Address for SNMP Traps | 457
Configure the Agent Address for SNMP Traps | 460
Add snmpTrapEnterprise Object Identifier to Standard SNMP Traps | 460
Configure SNMP Trap Groups | 461
Configure SNMP Trap Options and Groups on a Device Running Junos OS | 463
Example: Configure SNMP Trap Groups | 464
Manage Traps | 465
SNMP Traps Supported by Junos OS | 467
SNMP Traps Support | 468
Standard SNMP Traps Supported by Junos OS | 487
xiii
Customized SNMP MIBs for Syslog Traps | 498
Overview of Custom SNMP MIBs | 498
Define a Custom MIB for a Syslog Trap | 500
Limitations of Using Custom SNMP Traps | 507
Example Custom Syslog Trap | 507
Trace SNMP Activity | 514
Monitor SNMP Activity and Track Problems That Affect SNMP Performance on a Device Running
Junos OS | 514
Check for MIB Objects Registered with SNMPd | 515
Track SNMP Activity | 516
Monitor SNMP Statistics | 516
Check CPU Utilization | 517
Check Kernel and Packet Forwarding Engine Response | 517
Trace SNMP Activity on a Device Running Junos OS | 518
Configure the Number and Size of SNMP Log Files | 519
Configure Access to the Log File | 519
Configure a Regular Expression for Lines to Be Logged | 520
Configure the Trace Operations | 520
