## Steps to Reproduce
I am trying to hide the underline in a text field by doing something like
this:
        commentTextField = new TextField(
          controller: new TextEditingController(),
          maxLines: 10,
          onChanged: _onDetailsChanged,
          decoration: new InputDecoration(
            hintText: "Tell us more...",
            hideDivider: true,
          ),
        );
When doing a hot reload I get the exception listed below in the logs.
NOTE: This only appears to happen when hot reloading.
## Logs
    Performing hot reload...
    I/flutter (20214): Routes init
    I/flutter (20214): ══╡ EXCEPTION CAUGHT BY WIDGETS LIBRARY ╞═══════════════════════════════════════════════════════════
    I/flutter (20214): The following assertion was thrown building Container(padding: EdgeInsets(0.0, 16.0, 0.0, 1.0),
    I/flutter (20214): margin: EdgeInsets(0.0, 0.0, 0.0, 17.0)):
    I/flutter (20214): 'package:flutter/src/rendering/object.dart': Failed assertion: line 2145 pos 12: '() {
    I/flutter (20214):       final AbstractNode parent = this.parent;
    I/flutter (20214):       if (parent is RenderObject)
    I/flutter (20214):         return parent._needsCompositing;
    I/flutter (20214):       return true;
    I/flutter (20214):     }': is not true.
    I/flutter (20214): 
    I/flutter (20214): Either the assertion indicates an error in the framework itself, or we should provide substantially
    I/flutter (20214): more information in this error message to help you determine and fix the underlying cause.
    I/flutter (20214): In either case, please report this assertion by filing a bug on GitHub:
    I/flutter (20214):   https://github.com/flutter/flutter/issues/new
    I/flutter (20214): 
    I/flutter (20214): When the exception was thrown, this was the stack:
    I/flutter (20214): #2      RenderObject.markNeedsCompositingBitsUpdate (package:flutter/src/rendering/object.dart:2145:12)
    I/flutter (20214): #57     SingleChildRenderObjectElement.update (package:flutter/src/widgets/framework.dart:4545:14)
    I/flutter (20214): #58     Element.updateChild (package:flutter/src/widgets/framework.dart:2692:15)
    I/flutter (20214): #59     SingleChildRenderObjectElement.update (package:flutter/src/widgets/framework.dart:4545:14)
    I/flutter (20214): #60     Element.updateChild (package:flutter/src/widgets/framework.dart:2692:15)
    I/flutter (20214): #61     ComponentElement.performRebuild (package:flutter/src/widgets/framework.dart:3568:16)
    I/flutter (20214): #62     Element.rebuild (package:flutter/src/widgets/framework.dart:3457:5)
    I/flutter (20214): #63     StatelessElement.update (package:flutter/src/widgets/framework.dart:3618:5)
    I/flutter (20214): #64     Element.updateChild (package:flutter/src/widgets/framework.dart:2692:15)
    I/flutter (20214): #65     RenderObjectElement.updateChildren (package:flutter/src/widgets/framework.dart:4272:32)
    I/flutter (20214): #66     MultiChildRenderObjectElement.update (package:flutter/src/widgets/framework.dart:4653:17)
    I/flutter (20214): #67     Element.updateChild (package:flutter/src/widgets/framework.dart:2692:15)
    I/flutter (20214): #68     SingleChildRenderObjectElement.update (package:flutter/src/widgets/framework.dart:4545:14)
    I/flutter (20214): #69     Element.updateChild (package:flutter/src/widgets/framework.dart:2692:15)
    I/flutter (20214): #70     ComponentElement.performRebuild (package:flutter/src/widgets/framework.dart:3568:16)
    I/flutter (20214): #71     Element.rebuild (package:flutter/src/widgets/framework.dart:3457:5)
    I/flutter (20214): #72     StatelessElement.update (package:flutter/src/widgets/framework.dart:3618:5)
