### 1.4 wayVtepIP notify MIB
#### 文件定义
#### 33.3 单节点详细描述
无

#### 33.4 MIB Table 详细描述
##### 33.4.1 hwBDStatTable 详细描述
- **用途**：该表用于查询VXLAN中广播域BD的流量信息。
- **索引**：hwBDStatBDID
- **节点**：
  - **OID**：1.3.6.1.4.1.2011.5.25.336.1.1.1
  - **节点名称**：hwBDStatBDID
  - **数据类型**：Unsigned32
  - **最大访问权限**：not-accessible
  - **含义**：广播域BD ID。
  - **实现规格**：实现与MIB文件定义一致。
  
  - **OID**：1.3.6.1.4.1.2011.5.25.336.1.1.2
  - **节点名称**：hwBDStatInboundPackets
  - **数据类型**：Counter64
  - **最大访问权限**：read-only
  - **含义**：进入广播域BD的报文数。
  - **实现规格**：实现与MIB文件定义一致。
  
  - **OID**：1.3.6.1.4.1.2011.5.25.336.1.1.3
  - **节点名称**：hwBDStatOutboundPackets
  - **数据类型**：Counter64
  - **最大访问权限**：read-only
  - **含义**：离开广播域BD的报文数。
  - **实现规格**：实现与MIB文件定义一致。
  
  - **OID**：1.3.6.1.4.1.2011.5.25.336.1.1.4
  - **节点名称**：hwBDStatInboundBytes
  - **数据类型**：Counter64
  - **最大访问权限**：read-only
  - **含义**：进入广播域BD的字节数。
  - **实现规格**：实现与MIB文件定义一致。
  
  - **OID**：1.3.6.1.4.1.2011.5.25.336.1.1.5
  - **节点名称**：hwBDStatOutboundBytes
  - **数据类型**：Counter64
  - **最大访问权限**：read-only
  - **含义**：离开广播域BD的字节数。
  - **实现规格**：实现与MIB文件定义一致。
  
- **创建约束**：该表不支持创建。
- **修改约束**：该表不支持修改。
- **删除约束**：该表不支持删除。
- **读取约束**：该表无读取约束。

#### 33.5 告警节点详细描述
无

### 34 HUAWEI-FCOE-MIB
**文档版本 06 (2017-09-12) 华为专有和保密信息 413**
版权所有 © 华为技术有限公司
CloudEngine 12800系列交换机
MIB参考 34 HUAWEI-FCOE-MIB

#### 34.1 功能简介
该MIB主要描述了FCoE业务特性的告警。HUAWEI-FCOE-MIB中提供了2个告警节点，用于记录配置FCoE功能的接口和FCoE VLAN的告警信息，并通知网管设备。

**根节点**：
iso(1).org(3).dod(6).internet(1).private(4).enterprises(1).huawei(2011).huaweiMgmt(5).hwDatacomm(25).hwFCoEMIB(303)

#### 34.2 表间关系
无

#### 34.3 单节点详细描述
无

#### 34.4 MIB Table 详细描述
无

#### 34.5 告警节点详细描述
##### 34.5.1 hwFCoEPortLoseVlan 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.303.2.1
- **节点名称**：hwFCoEPortLoseVlan
- **绑定变量**：
  - hwFCoEIfName
  - hwFCoEVlan
- **含义**：当接收FIP Notification报文的接口未加入FCoE VLAN时，上报该告警。
- **实现规格**：实现与MIB文件定义一致。

##### 34.5.2 hwFCoEVLaNError 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.303.2.2
- **节点名称**：hwFCoEVLaNError
- **绑定变量**：
  - hwFCoEIfName
  - hwFCoEVlan
- **含义**：通过侦听FIP Notification报文，检查FCF分配的FCoE VLAN后发现与本设备配置的FCoE VLAN不一致时，上报该告警。
- **实现规格**：实现与MIB文件定义一致。

##### 34.5.3 hwFCoEConnectVfNum 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.303.2.3
- **节点名称**：hwFCoEConnectVfNum
- **绑定变量**：
  - hwFCoEPortResource
- **含义**：当VF类型的FCoE-Port收到ENode发过来的FIP报文后，发现当前系统的VF_Port数量已经达到上限时，上报该告警。
- **实现规格**：实现与MIB文件定义一致。

##### 34.5.4 hwFCoELoginVnNum 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.303.2.4
- **节点名称**：hwFCoELoginVnNum
- **绑定变量**：
  - hwFCoEInstName
  - hwFCoEVFPortNum
  - hwFCoEVNPortNum
- **含义**：接收到ENode发过来的FLOGI/FDISC后，发现当前VF_Port中的VN_Port数目已经达到上限时，上报该告警。
- **实现规格**：实现与MIB文件定义一致。
