	- 9.26 [火眼：《2018上半年电子邮件威胁报告》](https://www.aqniu.com/industry/39170.html)
	- 10.22 [AI与安全的恩怨情仇五部曲“1”：Misuse AI](http://www.freebuf.com/articles/network/186634.html)
	- 10.22 [短网址安全浅谈](http://www.freebuf.com/vuls/186837.html)
	- 10.22 [彪悍的中国大妈写进了《华尔街日报》，但这次她们可能要折戟区块链](http://www.freebuf.com/articles/network/186774.html)
	- 10.22 [马蜂窝被发现大量抓取竞争对手的数据](https://www.solidot.org/story?sid=58304)
	- 10.22 [安全报告 | 从恶意流量看2018十大互联网安全趋势](https://www.secpulse.com/archives/76938.html)
	- 10.22 [不要光看表面 网络犯罪的潜在成本无法计算](https://www.aqniu.com/news-views/39819.html)
	- 10.22 [技术讨论 | 看我如何破解一台自动售货机](http://www.freebuf.com/articles/terminal/186804.html)
	- 10.23 [利用DNS重绑定攻击内网中的IoT设备](http://www.droidsec.cn/利用dns重绑定攻击内网中的iot设备/)
	- 10.23 [NSA新型APT框架曝光：DarkPulsar](http://www.freebuf.com/articles/network/187424.html)
	- 10.23 [Scrounger：一款功能强大的移动端应用程序安全测试套件](http://www.freebuf.com/sectool/186624.html)
	- 10.23 [黑客窃取有无线解锁功能的汽车的7种姿势](http://www.freebuf.com/news/186703.html)
	- 10.23 [Google Play上发现的银行木马可窃取受害者的银行账户](http://www.freebuf.com/articles/system/187236.html)
	- 10.23 [DarkHotel（黑店）APT组织针对朝鲜半岛的精确打击行动](http://www.freebuf.com/articles/network/187067.html)
	- 10.23 [卸载就完事儿了？App照样能追踪你的数据](http://hackernews.cc/archives/24308)
	- 10.24 [室友靠打游戏拿30万offer，秘密竟然是……](https://www.freebuf.com/news/186871.html)
	- 10.24 [Waiting for goDoH](https://sensepost.com/blog/2018/waiting-for-godoh/)
	- 10.24 [针对医疗行业的5大攻击手段](https://www.aqniu.com/learn/39906.html)
	- 10.25 [你的手机在监视你，你也可以监视它](https://www.solidot.org/story?sid=58350)
