 BGP_REACHED_THRESHOLD,BGP.[STRING]: The proportion of prefixes   received from peer [STRING] ([STRING]) to maximum allowed prefixes reached   the threshold value ([UINT32]%).,$1：VPN实例名称。如果是公网内的日志信息，则显示为空   $2：BGP对等体的IP地址   $3：BGP对等体的地址族   $4：接收的路由数量占允许的最大路由数量百分比的阈值,5,BGP/5/BGP_REACHED_THRESHOLD: BGP.vpn1:   The proportion of prefixes received from peer 1.1.1.1 (IPv4-UNC) to maximum   allowed prefixes reached the threshold value (60%).,接收的路由数量占允许的最大路由数量的百分比达到了阈值,检查是否是攻击导致，如果是，需要管理员找到问题原因，对攻击进行防御   否则，查看是否需要增大以下数值：   ·允许的最大路由数量   ·接收的路由数量占允许的最大路由数量百分比的阈值
 CFD_ERROR_CCM,"MEP [UINT16] in SI [INT32] received an   error CCM. It’s SrcMAC is [MAC], SeqNum is [INT32], RMEP is [UINT16], MD ID   is [STRING], MA ID is [STRING].",$1：服务实例的ID   $2：本地MEP的ID   $3：源MAC地址   $4：序列号   $5：远端MEP的ID   $6：MD的ID。如果不存在，会显示“without ID”   $7：MA的ID,6,"CFD/6/CFD_ERROR_CCM: MEP 2 in SI 7   received an error CCM. Its SrcMAC is 0011-2233-4401, SeqNum is 21, RMEP is 2,   MD ID is 7, MA ID is 1.",MEP收到错误的CCM报文，该报文包含错误的MEP ID或生存时间,检查CCM配置。让两端的CC检测周期配置一致，并配置远端MEP ID在本端允许的MEP列表中
 CFD_LOST_CCM,MEP [UINT16] in SI [INT32] failed to   receive CCMs from RMEP [UINT16].,$1：本地MEP的ID   $2：服务实例ID   $3：远端MEP的ID,6,CFD/6/CFD_LOST_CCM: MEP 1 in SI 7 failed   to receive CCMs from RMEP 2.,MEP在3.5个CCM报文发送周期内没有收到CCM报文，可能的原因是链路故障或远端MEP在此期间没有发送CCM报文,检查链路状态和远端MEP的配置。如果链路down了或有其它的故障，例如单通故障，则恢复此链路。如果远端配置了同一服务实例的MEP，则确认两端的CC发送周期是一致的
 CFD_RECEIVE_CCM,MEP [UINT16] in SI [INT32] received CCMs   from RMEP [UINT16],$1：本地MEP的ID   $2：服务实例ID   $3：远端MEP的ID,6,CFD/6/CFD_RECEIVE_CCM: MEP 1 in SI 7   received CCMs from RMEP 2.,MEP收到远端MEP发送的CCM报文,无
 CFGMAN_ARCHIVE_SCP_FAIL,"Archive configuration to SCP server   failed: IP = [STRING], Directory = [STRING], Username = [STRING]",$1：SCP服务器的IP地址   $2：备份配置文件在SCP服务器上的保存目录   $3：登录SCP服务器的用户名,5,"CFGMAN/5/CFGMAN_ARCHIVE_SCP_FAIL: Archive   configuration to SCP server failed: IP = 192.168.21.21, Directory = /test/,   Username = admin",设备向SCP服务器保存配置文件失败时，打印此日志信息,无
 CFGMAN_CFGCHANGED,-EventIndex=[INT32]-CommandSource=[INT32]-ConfigSource=[INT32]-ConfigDestination=[INT32];   Configuration changed.,$1：事件索引，取值范围为1到2147483647   $2：引起配置变化的来源，取值为：   cli：表示引起配置变化的来源为命令行   snmp：表示引起配置变化的来源为MIB   other：表示引起配置变化的来源为其它途径   $3：源配置，取值为：   erase：配置删除或重命名   running：保存正在运行的配置   commandSource：拷贝配置文件   startup：保存运行配置到下次启动配置文件   local：保存运行配置到本地文件   networkFtp：通过FTP方式将网络上的某个配置文件保存到设备作为运行配置或者下次启动配置   hotPlugging：热插拔板卡导致配置被删除或者失效   $4：目的配置，取值为：   erase：配置删除或重命名   running：保存正在运行的配置   commandSource：拷贝配置文件   startup：保存运行配置到下次启动配置文件   local：保存运行配置到本地文件   networkFtp：通过FTP方式将网络上的某个配置文件保存到设备作为运行配置或者下次启动配置   hotPlugging：热插拔板卡导致配置被删除或者失效,5,CFGMAN/5/CFGMAN_CFGCHANGED: -EventIndex=[6]-CommandSource=[snmp]-ConfigSource=[startup]-ConfigDestination=[running];   Configuration changed.,如果配置在过去的十分钟内发生了变化，设备将记录事件索引、引起配置变化的来源、源配置以及目的配置,无
 CFGMAN_EXIT_FROM_CONFIGURE,"Line=[STRING], IP address=[STRING], user=[STRING];   Exit from the system view or a feature view to the user view.",$1：用户线名（如果不涉及该参数，显示为**）   $2：IP地址（如果不涉及该参数，显示为**）   $3：用户名（如果不涉及该参数，显示为**）,5,"CFGMAN/5/CFGMAN_EXIT_FROM_CONFIGURE: Line=con0,   IP address=**, user=**; Exit from the system view or a feature view to the user   view.",记录交互模式下用户从系统视图、功能视图退出到用户视图,无
 CFGMAN_OPTCOMPLETION,-OperateType=[INT32]-OperateTime=[INT32]-OperateState=[INT32]-OperateEndTime=[INT32];   Operation completed.,$1：操作类型，取值为：   running2startup：将运行配置保存为下次启动配置   startup2running：将下次启动配置设置为运行配置   running2net：将运行配置保存到网络   net2running：将网络上的配置文件上传到设备，并作为当前配置运行   net2startup：将网络上的配置文件上传到设备，并保存为下次启动配置文件   startup2net：将下次启动配置文件保存到网络   $2：操作时间   $3：操作状态，取值为：   InProcess：正在执行   success：执行成功   InvalidOperation：无效的操作   InvalidProtocol：无效的协议   InvalidSource：无效的源文件名   InvalidDestination：无效的目的文件名   InvalidServer：无效的服务器地址   DeviceBusy：设备繁忙   InvalidDevice：设备地址无效   DeviceError：设备出错   DeviceNotWritable：设备不可写   DeviceFull：设备的存储空间不足   FileOpenError：文件打开出错   FileTransferError：文件传输出错   ChecksumError：文件校验和错误   LowMemory：没有内存   AuthFailed：用户验证失败   TransferTimeout：传输超时   UnknownError：未知原因   invalidConfig：无效配置   $4：操作结束时间,5,CFGMAN/5/CFGMAN_OPTCOMPLETION:   -OperateType=[running2startup]-OperateTime=[248]-OperateState=[success]-OperateEndTime=[959983];   Operation completed.,操作完成后记录操作的类型、状态以及时间,请根据OperateState的值定位、处理问题
 CONNLMT_IPV4_OVERLOAD,RcvIfName(1023)=[STRING];Protocol(1001)=[STRING];SrcIPAddr(1003)=[IPADDR];DstIPAddr(1007)=[IPADDR];ServicePort(1071)=[UINT16];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];UpperLimit(1049)=[UINT32];LimitRuleNum(1051)=[UINT16];Event(1048)=[STRING];,$1：全局或接口名称   $2：传输层协议类型   $3：源IP地址   $4：目的IP地址   $5：服务端口号   $6：源VPN名称   $7：目的VPN名称   $8：对端隧道ID   $9：上限值   $10：规则ID   $11：Event信息,6,CONNLMT/6/CONNLMT_IPV4_OVERLOAD: RcvIfName(1023)=Global;Protocol(1001)=;SrcIPAddr(1003)=10.10.10.1;DstIPAddr(1007)=;ServicePort(1071)=;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;SndDSLiteTunnelPeer(1041)=;UpperLimit(1049)=1000;LimitRuleNum(1051)=1;Event(1048)=Exceeds   upper threshold;,当连接数的并发数超过策略中配置的上限时触发日志输出,无
 CONNLMT_IPV4_RECOVER,RcvIfName(1023)=[STRING];Protocol(1001)=[STRING];SrcIPAddr(1003)=[IPADDR];DstIPAddr(1007)=[IPADDR];ServicePort(1071)=[UINT16];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];DropPktCount(1052)=[UINT32];LowerLimit(1050)=[UINT32];LimitRuleNum(1051)=[UINT16];Event(1048)=[STRING];,$1：全局或接口名称   $2：传输层协议类型   $3：源IP地址   $4：目的IP地址   $5：服务端口号   $6：源VPN名称   $7：目的VPN名称   $8：对端隧道ID   $9：丢包数   $10：下限值   $11：规则ID   $12：Event信息,6,CONNLMT/6/CONNLMT_IPV4_RECOVER: RcvIfName(1023)=Global;Protocol(1001)=;SrcIPAddr(1003)=10.10.10.1;DstIPAddr(1007)=;ServicePort(1071)=;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;SndDSLiteTunnelPeer(1041)=;DropPktCount(1052)=306004;LowerLimit(1050)=10;LimitRuleNum(1051)=1;Event(1048)=Reduces   below lower threshold;,当连接数的并发数从达到上限恢复到下限时触发日志输出,无
 CONNLMT_IPV6_OVERLOAD,RcvIfName(1023)=[STRING];Protocol(1001)=[STRING];SrcIPv6Addr(1036)=[IPADDR];DstIPv6Addr(1037)=[IPADDR];ServicePort(1071)=[UINT16];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];UpperLimit(1049)=[UINT32];LimitRuleNum(1051)=[UINT16];Event(1048)=[STRING];,$1：全局或接口名称   $2：传输层协议类型   $3：源IPv6地址   $4：目的IPv6地址   $5：服务端口号   $6：源VPN名称   $7：目的VPN名称   $8：对端隧道ID   $9：上限值   $10：规则ID   $11：Event信息,6,CONNLMT/6/CONNLMT_IPV6_OVERLOAD: RcvIfName(1023)=Global;Protocol(1001)=;SrcIPv6Addr(1036)=2001::1;DstIPv6Addr(1037)=;ServicePort(1071)=;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;SndDSLiteTunnelPeer(1041)=;UpperLimit(1049)=1000;LimitRuleNum(1051)=1;Event(1048)=Exceeds   upper threshold;,当连接数的并发数超过策略中配置的上限时触发日志输出,无
