Python 3.8.2
    + pytest-3 -v -k 'not test_send_from_directory_bad_request'
    ========================================================================================= test session starts ==========================================================================================
    platform linux -- Python 3.8.2, pytest-4.6.9, py-1.8.0, pluggy-0.13.1 -- /usr/bin/python3
    cachedir: .pytest_cache
    hypothesis profile 'default' -> database=DirectoryBasedExampleDatabase('/home/tkloczko/rpmbuild/BUILD/Flask-1.1.2/.hypothesis/examples')
    rootdir: /home/tkloczko/rpmbuild/BUILD/Flask-1.1.2, inifile: setup.cfg, testpaths: tests
    plugins: forked-1.1.1, mock-1.10.4, expect-1.1.0, hypothesis-4.23.8, xdist-1.31.0, httpbin-0.3.0, cov-2.8.1, flaky-3.6.1
    collected 542 items
    tests/test_basic.py::test_static_files PASSED                                                                                                                                                    [ 13%]
    tests/test_basic.py::test_static_url_path PASSED                                                                                                                                                 [ 13%]
    tests/test_basic.py::test_static_url_path_with_ending_slash PASSED                                                                                                                               [ 13%]
    tests/test_basic.py::test_static_url_empty_path PASSED                                                                                                                                           [ 14%]
    tests/test_basic.py::test_static_url_empty_path_default PASSED                                                                                                                                   [ 14%]
    tests/test_basic.py::test_static_folder_with_ending_slash PASSED                                                                                                                                 [ 14%]
    tests/test_basic.py::test_static_route_with_host_matching PASSED                                                                                                                                 [ 14%]
    tests/test_basic.py::test_request_locals PASSED                                                                                                                                                  [ 14%]
    tests/test_basic.py::test_server_name_subdomain PASSED                                                                                                                                           [ 14%]
    tests/test_basic.py::test_exception_propagation PASSED                                                                                                                                           [ 15%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-True-True-True] PASSED                                                                                                                [ 15%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-True-True-False] PASSED                                                                                                               [ 15%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-True-False-True] PASSED                                                                                                               [ 15%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-True-False-False] PASSED                                                                                                              [ 15%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-False-True-True] PASSED                                                                                                               [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-False-True-False] PASSED                                                                                                              [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-False-False-True] PASSED                                                                                                              [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[None-False-False-False] PASSED                                                                                                             [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-True-True-True] PASSED                                                                                                                [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-True-True-False] PASSED                                                                                                               [ 16%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-True-False-True] PASSED                                                                                                               [ 17%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-True-False-False] PASSED                                                                                                              [ 17%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-False-True-True] PASSED                                                                                                               [ 17%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-False-True-False] PASSED                                                                                                              [ 17%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-False-False-True] PASSED                                                                                                              [ 17%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[True-False-False-False] PASSED                                                                                                             [ 18%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-True-True-True] PASSED                                                                                                               [ 18%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-True-True-False] PASSED                                                                                                              [ 18%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-True-False-True] PASSED                                                                                                              [ 18%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-True-False-False] PASSED                                                                                                             [ 18%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-False-True-True] PASSED                                                                                                              [ 19%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-False-True-False] PASSED                                                                                                             [ 19%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-False-False-True] PASSED                                                                                                             [ 19%]
    tests/test_basic.py::test_werkzeug_passthrough_errors[False-False-False-False] PASSED                                                                                                            [ 19%]
    tests/test_basic.py::test_max_content_length PASSED                                                                                                                                              [ 19%]
    tests/test_basic.py::test_url_processors PASSED                                                                                                                                                  [ 19%]
    tests/test_basic.py::test_inject_blueprint_url_defaults PASSED                                                                                                                                   [ 20%]
    tests/test_basic.py::test_nonascii_pathinfo PASSED                                                                                                                                               [ 20%]
    tests/test_basic.py::test_debug_mode_complains_after_first_request PASSED                                                                                                                        [ 20%]
    tests/test_basic.py::test_before_first_request_functions PASSED                                                                                                                                  [ 20%]
    tests/test_basic.py::test_before_first_request_functions_concurrent PASSED                                                                                                                       [ 20%]
    tests/test_basic.py::test_routing_redirect_debugging PASSED                                                                                                                                      [ 21%]
    tests/test_basic.py::test_route_decorator_custom_endpoint PASSED                                                                                                                                 [ 21%]
    tests/test_basic.py::test_preserve_only_once PASSED                                                                                                                                              [ 21%]
    tests/test_basic.py::test_preserve_remembers_exception PASSED                                                                                                                                    [ 21%]
    tests/test_basic.py::test_get_method_on_g PASSED                                                                                                                                                 [ 21%]
    tests/test_basic.py::test_g_iteration_protocol PASSED                                                                                                                                            [ 21%]
    tests/test_basic.py::test_subdomain_basic_support PASSED                                                                                                                                         [ 22%]
    tests/test_basic.py::test_subdomain_matching PASSED                                                                                                                                              [ 22%]
    tests/test_basic.py::test_subdomain_matching_with_ports PASSED                                                                                                                                   [ 22%]
    tests/test_basic.py::test_subdomain_matching_other_name[False] PASSED                                                                                                                            [ 22%]
    tests/test_basic.py::test_subdomain_matching_other_name[True] PASSED                                                                                                                             [ 22%]
    tests/test_basic.py::test_multi_route_rules PASSED                                                                                                                                               [ 23%]
    tests/test_basic.py::test_multi_route_class_views PASSED                                                                                                                                         [ 23%]
    tests/test_basic.py::test_run_defaults PASSED                                                                                                                                                    [ 23%]
    tests/test_basic.py::test_run_server_port PASSED                                                                                                                                                 [ 23%]
    tests/test_basic.py::test_run_from_config[None-None-pocoo.org:8080-pocoo.org-8080] PASSED                                                                                                        [ 23%]
    tests/test_basic.py::test_run_from_config[localhost-None-pocoo.org:8080-localhost-8080] PASSED                                                                                                   [ 23%]
    tests/test_basic.py::test_run_from_config[None-80-pocoo.org:8080-pocoo.org-80] PASSED                                                                                                            [ 24%]
    tests/test_basic.py::test_run_from_config[localhost-80-pocoo.org:8080-localhost-80] PASSED                                                                                                       [ 24%]
    tests/test_basic.py::test_run_from_config[localhost-0-localhost:8080-localhost-0] PASSED                                                                                                         [ 24%]
    tests/test_basic.py::test_run_from_config[None-None-localhost:8080-localhost-8080] PASSED                                                                                                        [ 24%]
    tests/test_basic.py::test_run_from_config[None-None-localhost:0-localhost-0] PASSED                                                                                                              [ 24%]
