 MDC_OFFLINE,MDC [UINT16] is offline now.,$1：MDC的编号,5,MDC/5/MDC_OFFLINE: MDC 2 is offline now.,MDC停用了,无
 NAT_ADDR_BIND_CONFLICT,"Failed to activate NAT configuration on   interface [STRING], because global IP addresses already bound to another service   card.",$1：接口名称,4,"NAT/4/NAT_ADDR_BIND_CONFLICT: Failed to   activate NAT configuration on interface Ethernet0/0/2, because global IP   addresses already bound to another service card.",配置中的外网地址绑定指定业务板时发现其已经绑定到其他业务板上，则触发该日志,如果有多个接口引用了相同的外网地址，则这些接口必须指定同一块业务板进行NAT处理。请使用display nat all命令检查配置，并修改配置使引用相同外网地址的接口绑定相同的业务板。另外，由于该绑定冲突，失效配置需要先删除，再重新进行配置
 NAT_FAILED_ADD_FLOW_RULE,Failed to add flow-table due to: [STRING].,$1：失败原因,4,NAT/4/NAT_FAILED_ADD_FLOW_RULE: Failed to   add flow-table due to: Not enough resources are available to complete the   operation.,添加流表失败，可能原因包括硬件资源不足、内存不足等,请联系技术支持
 NAT_FAILED_ADD_FLOW_TABLE,Failed to add flow-table due to [STRING].,$1：失败原因,4,NAT/4/NAT_FAILED_ADD_FLOW_TABLE: Failed   to add flow-table due to no enough resource.,添加流表失败，可能原因包括硬件资源不足、NAT配置地址存在重叠等,对于硬件资源不足情况，请联系技术支持   对于NAT配置地址存在重叠情况，请尽量避免出现部分地址重叠，如果不可避免，请将重叠部分地址和不重叠地址分开，单独配置
 NAT_FLOW,Protocol(1001)=[STRING];SrcIPAddr(1003)=[IPADDR];SrcPort(1004)=[UINT16];NATSrcIPAddr(1005)=[IPADDR];NATSrcPort(1006)=[UINT16];DstIPAddr(1007)=[IPADDR];DstPort(1008)=[UINT16];NATDstIPAddr(1009)=[IPADDR];NATDstPort(1010)=[UINT16];InitPktCount(1044)=[UINT32];InitByteCount(1046)=[UINT32];RplyPktCount(1045)=[UINT32];RplyByteCount(1047)=[UINT32];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];RcvDSLiteTunnelPeer(1040)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];BeginTime_e(1013)=[STRING];EndTime_e(1014)=[STRING];Event(1048)=([UNIT16])[STRING];,$1：协议类型   $2：源IP地址   $3：源端口号   $4：转换后的源IP地址   $5：转换后的源端口号   $6：目的IP地址   $7：目的端口号   $8：转换后的目的IP地址   $9：转换后的目的端口号   $10：入方向的报文总数   $11：入方向的字节总数   $12：出方向的报文总数   $13：出方向的字节总数   $14：源VPN名称   $15：目的VPN名称   $16：源DS-Lite Tunnel   $17：目的DS-Lite Tunnel   $18：创建会话的时间   $19：会话删除时间   $20：日志类型   $21：日志类型描述信息，包括   ·Session created：NAT会话创建日志   ·Active flow threshold：流量或时间阈值日志   ·Normal over：正常流结束，会话删除日志   ·Aged for timeout：会话老化删除日志   ·Aged for reset or config-change：通过配置删除会话日志   ·Other：其他原因删除会话日志，如由其他模块删除,6,NAT/6/NAT_FLOW: Protocol(1001)=UDP;SrcIPAddr(1003)=10.10.10.1;SrcPort(1004)=1024;NATSrcIPAddr(1005)=20.20.20.20;NATSrcPort(1006)=1024;DstIPAddr(1007)=20.20.20.1;DstPort(1008)=21;NATDstIPAddr(1009)=20.20.20.1;NATDstPort(1010)=21;InitPktCount(1044)=1;InitByteCount(1046)=50;RplyPktCount(1045)=0;RplyByteCount(1047)=0;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;RcvDSLiteTunnelPeer(1040)=;SndDSLiteTunnelPeer(1041)=;BeginTime_e(1013)=03182024082546;EndTime_e(1014)=;Event(1048)=(8)Session   created;,创建、删除NAT会话时会发送该日志   NAT会话过程中会定时发送该日志   NAT会话的流量或时间达到指定的阈值时会发送该日志,无
 NAT_SERVER_INVALID,The NAT server with Easy IP is invalid   because its global settings conflict with that of another NAT server on this   interface.,无,4,NAT/4/NAT_SERVER_INVALID: The NAT server with   Easy IP is invalid because its global settings conflict with that of another NAT   server on this interface.,Easy IP方式的NAT服务器配置生效时发现同一个接口下存在其他NAT服务器配置也包含相同的外网信息，则触发该日志,同一个接口下配置的NAT服务器，其协议类型、外网地址和外网端口号的组合必须是唯一的。请修改相应接口的NAT服务器配置
 NAT_SERVICE_CARD_RECOVER_FAILURE,"Failed to recover the configuration of   binding the service card on chassis [UINT16] slot [UINT16] to interface   [STRING], because [STRING].",$1：指定设备在IRF中的成员编号   $2：指定单板所在的槽位号   $3：接口名称   $4：指定接口绑定业务板配置恢复失败的原因   ·NAT addresses already bound to another service   card：NAT地址已经绑定到其他业务板   ·NAT service is not supported on this service card：指定业务板不支持NAT业务   ·the hardware resources are not enough：硬件资源不足   ·unknown error：未知错误,4,"NAT/4/NAT_SERVICE_CARD_RECOVER_FAILURE:   Failed to recover the configuration of binding the service card on chassis 2   slot 3 to interface Ethernet0/0/2, because NAT service is not supported on   this service card.",恢复接口绑定业务板配置失败时触发该日志,·如果提示NAT地址已经绑定到其他业务板，则使用display nat all检查配置，并修改配置使引用相同外网地址的接口绑定相同的业务板   ·如果提示业务板不支持NAT业务、硬件资源不足或者未知错误，请排查业务板的硬件问题
 ND_CONFLICT,[STRING] is inconsistent.,$1：配置类型   ·M_FLAG：被管理地址配置标志位   ·O_FLAG：其他信息配置标志位   ·CUR_HOP_LIMIT：跳数限制   ·REACHABLE TIME：保持邻居可达状态的时间   ·NS INTERVAL：邻居请求消息间隔   ·MTU：发布链路的MTU   ·PREFIX VALID TIME：前缀的有效存活时间   ·PREFIX PREFERRED TIME：前缀用于无状态地址配置的优选项的存活时间,6,ND/6/ND_CONFLICT: PREFIX VALID TIME is   inconsistent.,设备收到一个路由通告消息，导致与邻居路由器上的配置不一致,检查并保证设备与邻居路由器上的配置一致
 ND_DUPADDR,Duplicate address: [STRING] on the   interface [STRING].,$1：将要分配的IPv6地址   $2：接口名称,6,ND/6/ND_DUPADDR: Duplicate address: 33::8   on interface Vlan-interface9.,分配给该接口的地址已经被其他设备使用,分配一个新的IPv6地址
 ND_HOST_IP_CONFLICT,"The host [STRING] connected to interface [STRING]   cannot communicate correctly, because it uses the same IPv6 address as the   host connected to interface [STRING].",$1：IPv6地址   $2：接口名   $3：接口名,4,"ND/4/ND_HOST_IP_CONFLICT: The host 2::2   connected to interface GigabitEthernet1/0/1 cannot communicate correctly,   because it uses the same IPv6 address as the host connected to interface   GigabitEthernet1/0/1.",分配给该接口的地址已经被其他设备使用,分配一个新的IPv6地址。如果非法，需要断开该主机网络
 ND_MAC_CHECK,Packet received on interface [STRING] was   dropped because source MAC [STRING] was inconsistent with link-layer address   [STRING].,$1：接收ND报文的接口名   $2：ND报文中的的源MAC地址   $3：ND报文的链路层源MAC地址,6,ND/6/ND_MAC_CHECK: Packet received on   interface Ethernet2/0/2 was dropped because source MAC 0002-0002-0001 was inconsistent   with link-layer address 0002-0002-0002.,ipv6 nd   mac-check enable命令用来在网关设备上开启ND协议报文源MAC地址一致性检查功能。在网关开启此功能后，会对接收的ND协议报文进行检查，如果ND协议报文中的源MAC地址和源链路层选项地址中的MAC地址不同，则丢弃该报文。若使用ipv6 nd check log enable命令来开启ND日志信息功能，会有相关的log信息输出,检查链路层源MAC对应主机的合法性
