### EDB Postgres Replication Server User’s Guide

**Copyright © 2010 - 2018 EnterpriseDB Corporation. All rights reserved.**

#### 634
For single-master replication systems, as described in Sections 5.2.1 and 5.3.1, you need to update the port numbers stored in the control schema from the old port numbers to 9051 and 9052. Follow these steps:
1. Perform the procedure outlined in Section 7.6.1.2.
2. Then, perform the procedure detailed in Section 5.5.3.

After making these changes, click the "Refresh" button in the xDB Replication Console. The replication tree in the xDB Replication Console should now display the complete set of nodes for the replication systems.

#### 10.3 Resolving Problems
This section provides tips for locating and correcting various issues that may arise.

##### 10.3.1 Error Messages
The following table lists common error messages that can appear in the xDB Replication Console. These messages are organized alphabetically based on the first word after "a," "an," or "the."

When an error message is displayed, it may be followed by a specific reason, such as:
```
Authentication failed. Reason: Invalid user name/password.
```

The table includes only messages that typically involve initial configuration operations requiring additional information for resolution. Messages related to simpler operations are not listed here.

**Table 10-3: xDB Replication Server Error Messages and Resolutions**

| **Error Message** | **Resolution** |
| **Publication cannot be created. Table table_name does not contain a primary key. Transactional replication is not supported for a non-pk table.** | All tables used for synchronization replication must have primary keys. Create a primary key on the table or add the table to a snapshot-only publication. |
| **Publication cannot be created. The publication creation process timed out as one or more tables may be locked by another session. Please retry later.** | For a Postgres publication that is not for snapshot-only, the publication database user must be able to create triggers on the publication tables. The publication database user must have the privilege to execute the `ALTER TABLE` statement on the publication tables and the `CREATE` and `USAGE` privileges on the schema containing the publication tables. Verify that one of the following is true: 1) All the tables in the publication are owned by the publication database user and the user has `CREATE` and `USAGE` privileges on the publication tables’ schemas, or 2) the publication database user is a superuser. |
| **Publication cannot be removed. Reason: Publication publication_name cannot be removed. Reason: Error: cannot drop table _edb_replicator_pub.rrst_schema_table_name because other objects depend on it.** | PL/pgSQL custom conflict handler functions may exist in the master definition node that are dependent upon the publication’s shadow tables. Drop the custom conflict handler functions before deleting the publication. |
| **Publication cannot be updated. Reason: The parent table schema.table_name is selected for removal while it has one or more child tables in the publication list. Make sure that parent-child dependency holds in the publication tables.** | Choose the child tables for removal as well as the parent table. |
| **Publication defined in MMR cluster cannot be subscribed in SMR cluster.** | A given publication cannot be used in both a multi-master replication system and a single-master replication system. |
| **Publication does not exist on the publication server. It might have been removed.** | The publication does not exist for a given subscription. The subscription is no longer usable and must be removed. |
| **Publication having subscription against it, cannot be updated by removing tables from it.** | Remove the subscription, remove tables from the publication, then add the subscription. |
| **The publication schema cannot be created. Reason: ERROR: Permission denied for database db_name.** | This occurs when attempting to create the publication database definition and the specified publication database user does not have the privilege to create a schema in the database. Grant the `CREATE` privilege on the database to the publication database user. |
| **Publication Service connection failure.** | Verify that the publication server is running. See Section 10.3.4.2. Ensure the database server hosting the controller database specified in the xDB Replication Configuration file is running and the publication server is connected to it. See Section 2.3.1.3. |
| **The replication process could not be completed due to a database failure. Check the database state and retry.** | This may be caused by characters in the publication data that are illegal for the character set of the subscription database. Check the snapshot replication failure log file or the database server log file. See Section 10.4.1.2. |
| **Replication server does not support Oracle to Oracle replication.** | See Section 10.1.3 for supported database server configurations. Use Oracle products for Oracle to Oracle replication. |
| **A replication slot is not available on the target database server. Please configure the max_replication_slots GUC on the database server.** | This occurs when attempting to add a publication database definition with the log-based method of synchronization replication, and the `max_replication_slots` configuration parameter in the `postgresql.conf` file is not set to a large enough value to accommodate the additional database. Increase the value of the `max_replication_slots` parameter and restart the database server. See Section 2.2.10 for additional information. |
| **Subscription subscription_name already exists on the subscriber server. Please choose a different name and then proceed.** | Subscription names must be unique within a subscription server. Enter a different subscription name. |

**Copyright © 2010 - 2018 EnterpriseDB Corporation. All rights reserved.**

**EDB Postgres Replication Server User’s Guide**

**639-640**
