## 系统和存储设备日志格式规范

### 物理磁盘信息
| 序号 | 记录项                         |
| 序号 | 记录项                          |
|------|--------------------------------|
| 1    | 事件名称                        |
| 2    | 事件产生时间                    |
| 3    | 设备名称                        |
| 4    | 事件优先级                      |
| 5    | 事件严重等级                    |
| 6    | 事件详细信息                    |
| 7    | 事件分类1                      |
| 8    | 事件分类2                      |
| 9    | 事件进入的字节数                |
| 10   | 事件出去的字节数                |
| 11   | 事件传输协议                    |
| 12   | 事件进入的包数                  |
| 13   | 事件出去的包数                  |
| 14   | 事件发生设备地址                |
| 15   | 事件发生设备名称                |
| 16   | 事件入设备接口                  |
| 17   | 事件出设备接口                  |
| 18   | 事件发生设备厂家                |
| 19   | 事件源地址                      |
| 20   | 事件源端口                      |
| 21   | 事件目的地址                    |
| 22   | 事件目的端口                    |
| 23   | 事件设备进程                    |

### 流量分析日志
| 序号 | 记录项                          |
|------|--------------------------------|
| 1    | 网络镜像文件                    |
| 2    | 获取镜像时间                    |
| 3    | 流公用信息-用户账号长度         |
| 4    | 流公用信息-用户账号             |
| 5    | 流公用信息-BRAS地址长度         |
| 6    | 流公用信息-BRAS地址             |
| 7    | 流公用信息-链路编号             |
| 8    | 流公用信息-包类型               |
| 9    | 流公用信息-包子类型             |
| 10   | 流公用信息-传输协议             |
| 11   | 流公用信息-目的IP长度           |
| 12   | 流公用信息-目的IP               |
| 13   | 流公用信息-目的端口             |
| 14   | 流公用信息-源IP长度             |
| 15   | 流公用信息-源IP                 |
| 16   | 流公用信息-源端口               |
| 17   | 流公用信息-开始时间             |
| 18   | 流公用信息-结束时间             |
| 19   | 流公用信息-持续时间             |
| 20   | 流公用信息-接收字节             |
| 21   | 流公用信息-发送字节             |
| 22   | 流公用信息-接收包数             |
| 23   | 流公用信息-发送包数             |
| 24   | 流公用信息-会话ID               |
| 25   | HTTP流信息-HTTP版本号           |
| 26   | HTTP流信息-用户代理信息长度     |
| 27   | HTTP流信息-用户代理信息(UserAgent) |
| 28   | HTTP流信息-目的网站URL长度      |
| 29   | HTTP流信息-目的网站URL          |
| 30   | HTTP流信息-外部网站域名长度     |
| 31   | HTTP流信息-外部网站域名         |
| 32   | HTTP流信息-主机名长度           |
| 33   | HTTP流信息-主机名               |
| 34   | HTTP流信息-内容大小             |
| 35   | HTTP流信息-内容类型             |
| 36   | HTTP流信息-是否链接             |
| 37   | HTTP流信息-链接源信息长度       |
| 38   | HTTP流信息-链接源信息           |
| 39   | HTTP流信息-HTTP操作类型         |
| 40   | HTTP流信息-HTTP状态码           |
| 41   | HTTP流信息-响应时延             |
| 42   | APT攻击告警-接收时间            |
| 43   | APT攻击告警-事件名称            |
| 44   | APT攻击告警-事件摘要            |
| 45   | APT攻击告警-事件分类            |
| 46   | APT攻击告警-源IP                |
| 47   | APT攻击告警-目的IP              |
| 48   | APT攻击告警-源端口              |
| 49   | APT攻击告警-目的端口            |

---

## 安全类日志格式规范

### 防火墙设备日志
| 序号 | 记录项                          |
|------|--------------------------------|
| 1    | 事件名称                        |
| 2    | 事件时间                        |
| 3    | 设备名称                        |
| 4    | 事件发生防火墙名称              |
| 5    | 事件日志级别                    |
| 6    | 事件日志类型                    |
| 7    | 事件日志详细信息                |
| 8    | 事件传输协议                    |
| 9    | 事件源地址                      |
| 10   | 事件目的地址                    |
| 11   | 事件NAT后的源地址               |
| 12   | 事件NAT后的目的地址             |
| 13   | 事件源端口                      |
| 14   | 事件目的端口                    |
| 15   | 事件NAT后的源端口               |
| 16   | 事件NAT后的目的端口             |
| 17   | 事件接收包数                    |
