11.3.1 创建列表
17.4 构建项目
17.4.1 构建、编译和生成代码
17.4.2 调试版本和发布版本
17.4.3 选择配置
17.4.4 编辑配置
17.5 调试代码
17.5.1 设置断点
17.5.2 使用数据提示和调试器可视化工具
17.5.3 Live Visual Tree
17.5.4 监视和修改变量
17.5.5 异常
17.5.6 多线程
17.6 重构工具
17.7 体系结构工具
17.7.1 代码地图
17.7.2 层关系图
17.8 分析应用程序
17.8.1 诊断工具
17.8.2 Concurrency Visualizer
17.8.3 代码分析器
17.8.4 Code Metrics
17.9 小结
第18章 .NET编译器平台
18.1 简介
18.2 编译器管道
18.3 语法分析
18.3.1 使用查询节点
18.3.2 遍历节点
18.4 语义分析
18.4.1 编译
18.4.2 语义模型
18.5 代码转换
18.5.1 创建新树
18.5.2 使用语法重写器
18.6 Visual Studio Code重构
18.6.1 VSIX包
18.6.2 代码重构提供程序
18.7 小结
第19章 测试
19.1 概述
19.2 使用MSTest进行单元测试
19.2.1 使用MSTest创建单元测试
19.2.2 运行单元测试
19.2.3 使用MSTest预期异常
19.2.4 测试全部代码路径
19.2.5 外部依赖
19.2.6 Fakes Framework
19.2.7 IntelliTest
19.3 使用xUnit进行单元测试
19.3.1 使用xUnit和.NET Core
19.3.2 创建Fact属性
19.3.3 创建Theory属性
19.3.4 用dotnet工具运行单元测试
19.3.5 使用Mocking库
19.4 UI测试
19.5 Web测试
19.5.1 创建Web测试
19.5.2 运行Web测试
19.5.3 Web负载测试
19.6 小结
第20章 诊断和Application Insights
20.1 诊断概述
20.2 使用EventSource跟踪
20.2.1 EventSource的简单用法
20.2.2 跟踪工具
20.2.3 派生自EventSource
20.2.4 使用注释和EventSource
20.2.5 创建事件清单模式
20.2.6 使用活动ID
20.3 创建自定义侦听器
20.4 使用Application Insights
20.4.1 创建通用Windows应用程序
20.4.2 创建Application Insights资源
20.4.3 配置Windows应用程序
20.4.4 使用收集器
20.4.5 编写自定义事件
20.5 小结
第21章 任务和并行编程
21.1 概述
21.2 Parallel类
21.2.1 使用Parallel.For（）方法循环
21.2.2 提前停止Parallel.For
21.2.3 Parallel.For（）的初始化
21.2.4 使用Parallel.ForEach（）方法循环
21.2.5 通过Parallel.Invoke（）方法调用多个方法
21.3 任务
21.3.1 启动任务
21.3.2 Future——任务的结果
21.3.3 连续的任务
21.3.4 任务层次结构
21.3.5 从方法中返回任务
21.3.6 等待任务
21.4 取消架构
21.4.1 Parallel.For（）方法的取消
21.4.2 任务的取消
21.5 数据流
21.5.1 使用动作块
21.5.2 源和目标数据块
21.5.3 连接块
21.6 小结
第22章 任务同步
22.1 概述
22.2 线程问题
22.2.1 争用条件
22.2.2 死锁
22.3 lock语句和线程安全
22.4 Interlocked类
22.5 Monitor类
22.6 SpinLock结构
22.7 WaitHandle基类
22.8 Mutex类
22.9 Semaphore类
22.10 Events类
22.11 Barrier类
22.12 ReaderWriterLockSlim类
22.13 Timer类
22.14 小结
第23章 文件和流
23.1 概述
23.2 管理文件系统
23.2.1 检查驱动器信息
23.2.2 使用Path类
23.2.3 创建文件和文件夹
23.2.4 访问和修改文件的属性
23.2.5 创建简单的编辑器
23.2.6 使用File执行读写操作
23.3 枚举文件
23.4 使用流处理文件
23.4.1 使用文件流
23.4.2 读取流
23.4.3 写入流
23.4.4 复制流
23.4.5 随机访问流
23.4.6 使用缓存的流
23.5 使用读取器和写入器
23.5.1 StreamReader类
23.5.2 StreamWriter类
23.5.3 读写二进制文件
23.6 压缩文件
23.6.1 使用压缩流
23.6.2 压缩文件
23.7 观察文件的更改
23.8 使用内存映射的文件
23.8.1 使用访问器创建内存映射文件
23.8.2 使用流创建内存映射文件
23.9 使用管道通信
23.9.1 创建命名管道服务器
23.9.2 创建命名管道客户端
23.9.3 创建匿名管道
23.10 通过Windows运行库使用文件和流
