## hash join|agg 这样测 - PG 12性能要上天 
### 作者                                                                 
digoal                                                                 
### 日期                                                                 
2019-10-17                                                               
### 标签                                                                 
PostgreSQL , hash , join , agg         
----                                                                 
## 背景        
hash join, hash agg，适用场景：  
分析场景，特点：  
1、运算数据量大  
2、聚合后结果少  
PostgreSQL 有哪些加速特性：hash , jit , parallel , 向量计算 , 列存储 , GPU 加速。   
怎么测？hash , jit , parallel , 向量计算 , 列存都是通用加速能力，普通x86就可以获得，GPU加速加nvidia的卡也能获得（通过pg_strom插件）。    
## 测试例子  
环境：  
32c64ht 512g PostgreSQL 12   
测试表和数据  
```  
create table a(id int, info text, crt_Time timestamp, c1 int);  
insert into a select generate_series(1,100000000),'test',now(),random()*100;  
analyze a;  
postgres=# \dt+ a  
                    List of relations  
 Schema | Name | Type  |  Owner   |  Size   | Description   
--------+------+-------+----------+---------+-------------  
 public | a    | table | postgres | 5746 MB |   
(1 row)  
无索引，拼数据库的硬核计算能力  
```  
开启并行和jit进行测试  
```  
set jit=on;  
set max_parallel_workers_per_gather =32;  
alter table a set (parallel_workers =32);  
set min_parallel_table_scan_size =0;  
set min_parallel_index_scan_size =0;  
set parallel_setup_cost =0;  
set parallel_tuple_cost =0;  
```  
## 测试结果  
### 1、1亿 join 1亿，全匹配，聚合后101条。12.5秒  
```  
postgres=#  select t1.c1,count(*) from a t1 join a t2 using (id) group by t1.c1;  
 c1  |  count    
 99999628 | test | 2019-10-17 15:46:53.730743 |  0  
 99999295 | test | 2019-10-17 15:46:53.730743 |  0  
 99999247 | test | 2019-10-17 15:46:53.730743 |  0  
 99999222 | test | 2019-10-17 15:46:53.730743 |  0  
 99998761 | test | 2019-10-17 15:46:53.730743 |  0  
 99998741 | test | 2019-10-17 15:46:53.730743 |  0  
 99998727 | test | 2019-10-17 15:46:53.730743 |  0  
 99998059 | test | 2019-10-17 15:46:53.730743 |  0  
(10 rows)  
Time: 441.794 ms  
```  
### 4、1亿分组聚合，聚合后101条。693毫秒  
```  
postgres=# select c1,count(*) from a group by c1;  
 c1  |  count    
-----+---------  
   0 |  500349  
   1 |  999967  
   2 |  998609  
   3 |  999403  
   4 | 1000197  
   5 |  999844  
   6 |  997887  
   7 | 1001363  
   8 | 1000188  
   9 | 1001032  
  10 | 1001050  
  11 | 1000779  
  12 |  999791  
  13 |  998404  
  14 | 1000304  
  15 |  999887  
  16 |  999517  
  17 |  999493  
  18 |  999513  
  19 | 1000255  
  20 | 1000588  
  21 |  999592  
  22 | 1000649  
  23 | 1001539  
  24 |  999437  
  25 |  999633  
  26 | 1001389  
  27 |  999672  
  28 |  999556  
  29 |  999234  
  30 | 1000466  
  31 |  999030  
  32 |  999224  
  33 | 1000345  
  34 | 1000335  
  35 | 1001090  
  36 | 1000207  
  37 |  999211  
  38 | 1001367  
  39 |  998481  
  40 | 1001687  
  41 | 1000593  
  42 |  999477  
  43 |  998926  
  44 | 1001033  
  45 | 1000633  
  46 | 1000861  
  47 |  998765  
  48 | 1000326  
  49 |  999152  
  50 |  999082  
  51 | 1000643  
