```
.\" t
.\" (c) 1993 by Thomas Koenig (PI:EMAIL)
.\"
.\" Permission is granted to make and distribute verbatim copies of this
.\" manual provided the copyright notice and this permission notice are
.\" preserved on all copies.
.\"
.\" Permission is granted to copy and distribute modified versions of this
.\" manual under the conditions for verbatim copying, provided that the
.\" entire resulting derived work is distributed under the terms of a
.\" permission notice identical to this one.
.\"
.\" Since the Linux kernel and libraries are constantly changing, this
.\" manual page may be incorrect or out-of-date. The author(s) assume no
.\" responsibility for errors or omissions, or for damages resulting from
.\" the use of the information contained herein. The author(s) may not
.\" have taken the same level of care in the production of this manual,
.\" which is licensed free of charge, as they might when working
.\" professionally.
.\"
.\" Formatted or processed versions of this manual, if unaccompanied by
.\" the source, must acknowledge the copyright and authors of this work.
.\"
.\" Modified Sat Jul 24 17:35:15 1993 by Rik Faith
.\" Modified Sun Feb 19 22:02:32 1995 by Rik Faith
.\" Modified Tue Oct 22 23:28:12 1996 by Eric S. Raymond
.\" Modified Sun Jan 26 21:56:56 1997 by Ralph Schleicher
.\"
.\" Modified Mon Jun 16 20:24:58 1997 by Nicolás Lichtmaier
.\" Modified Sun Oct 18 22:11:28 1998 by Joseph S. Myers
.\" Modified Mon Nov 16 17:24:47 1998 by Andries Brouwer
.\"
.\" 中文版版权所有 redcandle, Laser www.linuxforum.net 2000
.TH SUFFIXES 7 "April 4, 1996" "Linux" "Linux 程序员手册"

.SH NAME
suffixes \- 列出文件后缀

.SH DESCRIPTION [描述]
文件后缀通常位于文件名之后，与文件名之间以点（.）分隔，一般包含一个或多个字母。文件后缀用于描述文件的内容。许多标准实用程序（如编译器）通过文件后缀来识别文件类型。例如，`make(1)` 命令就依赖于文件后缀。

以下是在 Linux 系统中常见的文件后缀及其对应的文件类型：

.nf
 后缀        文件类型
 .m4         `m4(1)` 源代码
 .mac        宏命令文件
 .man        手册页 (通常是源文件，有些是格式化过的)
 .map        map 文件
 .me         使用 me 宏命令包的 Nroff 源文件
 .mf         Metafont (Tex 使用的字体) 资源
 .mm         `groff(1)` 的 mm 格式的文件
 .mo         信息目录二进制文件 (本地化文件)
 .mod        Modula-2 执行模块源代码
 .mov        (quicktime) 电影
 .mp         Metapost 资源
 .mpe        电影
 .o          对象文件
 .old        旧的或备份文件
 .orig       `patch(1)` 产生的备份或原始文件
 .out        输出文件，一般是可执行程序 (a.out)
 .p          Pascal 源代码
 .pag        dbm 数据库数据文件
 .patch      `patch(1)` 用的文件的差别文件
 .pbm        portable bitmap format (可移植位图格式)
 .pcf        X11 字体
 .pdf        Adobe Portable Data Format (用 Acrobat/`acroread` 或 `xpdf` 查看)
 .perl       Perl 源代码
 .pfa        PostScript 字体定义文件, ASCII 格式
 .pfb        PostScript 字体定义文件, 二进制格式
 .pgm        portable greymap format (可移植灰度图格式)
 .pgp        PGP 二进制数据
 .ph         Perl 头文件
 .pid        存储后台程序信息的文件 (e.g. crond.pid)
 .pl         TeX 属性列表 或 Perl 库文件
 .pm         Perl 模块
 .png        Portable Network Graphics file (可移植网络图像文件)
 .po         信息目录资源 (本地化资源文件)
 .pod        `perldoc(1)` 文件
 .ppm        portable pixmap format (可移植点图格式)
 .pr         位图源文件
 .ps         PostScript 文件
 .py         Python 源代码
 .pyc        Python 编译后文件
 .qt         quicktime 电影
 .r          RATFOR 资源 (已过时)
 .rej        `patch(1)` 不能用的补丁
 .rpm        RedHat 软件包
 .rtf        Rich Text Format file (富文本文件)
 .rules      规则文件
 .s          汇编源代码
 .sa         a.out 共享库的存根库
 .sc         `sc(1)` 电子表格命令
 .sgml       SGML 源文件
 .sh         `sh(1)` 脚本
 .shar       `shar(1)` 产生的档案文件
 .so         共享库或动态可载入对象
 .sql        SQL 资源
 .sqml       SQML 结构或查询程序
 .sty        LaTeX 类型文件
 .sym        Modula-2 已编译的定义模块
 .tar        `tar(1)` 产生的档案文件
 .tar.Z      `compress(1)` 压缩的 tar 档案文件
 .tar.bz2    `bzip2(1)` 压缩的 tar 档案文件
 .tar.gz     `gzip(1)` 压缩的 tar 档案文件
 .taz        `compress(1)` 压缩的 tar 档案文件
 .tex        TeX 或 LaTeX 资源
 .texi       等价于 .texinfo
 .texinfo    Texinfo 文档资源
 .text       文本文件
 .tfm        TeX 字体度量文件
 .tgz        `gzip(1)` 压缩的 tar 档案文件
 .tif        TIFF 图像文件 (有些系统扩展名只能三个字符)
 .tiff       Tagged Image File Format (图像文件)
 .tk         Tcl/Tk 脚本
 .tmp        临时文件
 .tmpl       临时文件
 .txt        文本文件
 .uu         等价于 .uue
 .uue        `uuencode(1)` 编码的二进制文件
 .vf         TeX 虚拟字体文件
 .vpl        TeX 虚拟属性列表
 .w          Silvio Levi's CWEB
 .wav        波形声音文件
 .web        Donald Knuth's WEB
 .xbm        X11 位图源文件
 .xml        eXtended Markup Language file (扩展标记语言文件)
 .xsl        XSL 样式表
 .xpm        X11 点图源文件
 .xs         h2xs 生成的 Perl xsub 文件
 .y          `yacc(1)` 或 `bison(1)` (分析器生成器) 文件
 .z          `pack(1)` (或旧版 `gzip(1)`) 产生的压缩文件
 .zip        `zip(1)` 档案文件
 .zoo        `zoo(1)` 档案文件
 ~           Emacs 或 `patch(1)` 备份文件
 rc          开始 ('运行控制') 文件, 如 .newsrc
.fi

.SH "CONFORMS TO [遵循]"
一般 UNIX 约定

.SH BUGS
本列表尚有遗漏

.SH "SEE ALSO [另见]"
.BR file (1), 
.BR make (1)

.SH "[中文版维护人]"
.B RedCandle

.SH "[中文版最新更新]"
.B 2000/11/10

.SH "《中国 Linux 论坛 man 手册页翻译计划》:"
.BI http://cmpp.linuxforum.net
```
