 ATK_IP4_TEARDROP_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING];   AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,3,ATK/3/ATK_IP4_TEARDROP_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Protocol(1001)=TCP; Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=3.,日志聚合开关开启，重叠偏移的报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_FRAGGLE,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_FRAGGLE: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=11.,日志聚合开关开启，满足IPV4源端口为7，目的端口为19的UDP报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_FRAGGLE_RAW,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_FRAGGLE_RAW: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，IPV4源端口为7，目的端口为19的UDP报文首包触发日志；日志聚合开关关闭，每个IPV4源端口为7，目的端口为19的UDP报文触发一个日志,无
 ATK_IP4_UDP_FRAGGLE_RAW_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_FRAGGLE_RAW_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，IPV4源端口为7，目的端口为19的UDP报文首包触发日志；日志聚合开关关闭，每个IPV4源端口为7，目的端口为19的UDP报文触发一个日志,无
 ATK_IP4_UDP_FRAGGLE_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_FRAGGLE_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=11.,日志聚合开关开启，满足IPV4源端口为7，目的端口为19的UDP报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_SNORK,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_SNORK: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=2.,日志聚合开关开启，IPV4源端口为7、19或135，目的端口为135的UDP报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_SNORK_RAW,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_SNORK_RAW: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，IPV4源端口为7、19或135，目的端口为135的UDP报文首包触发日志；日志聚合开关关闭，每个IPV4源端口为7、19或135，目的端口为135的UDP报文触发一个日志,无
 ATK_IP4_UDP_SNORK_RAW_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_SNORK_RAW_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，IPV4源端口为7、19或135，目的端口为135的UDP报文首包触发日志；日志聚合开关关闭，每个IPV4源端口为7、19或135，目的端口为135的UDP报文触发一个日志,无
 ATK_IP4_UDP_SNORK_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_SNORK_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=2.,日志聚合开关开启，IPV4源端口为7、19或135，目的端口为135的UDP报文数超过1，聚合后触发日志,无
 ATK_IP6_ACK_FLOOD,RcvIfName(1023)=[STRING]; DstIPv6Addr(1037)=[IPADDR];   DstPort(1008)=[UINT16]; RcvVPNInstance(1041)=[STRING]; UpperLimit(1048)=[UINT32];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING].,$1：入接口名称   $2：目的IPv6地址   $3：目的端口   $4：VPN名称   $5：速率上限   $6：动作类型   $7：攻击开始时间,3,ATK/3/ATK_IP6_ACK_FLOOD: RcvIfName(1023)=Ethernet0/0/2;   DstIPv6Addr(1037)=2::2; DstPort(1008)=22; RcvVPNInstance(1041)=--; UpperLimit(1048)=10;   Action(1049)=logging; BeginTime_c(1011)=20131009100434.,单位时间内指定目的地址的TCP标志位为ACK的IPV6报文数超过阈值，触发日志,无
 ATK_IP6_ACK_FLOOD_SZ,SrcZoneName(1025)=[STRING]; DstIPv6Addr(1037)=[IPADDR];   DstPort(1008)=[UINT16]; RcvVPNInstance(1041)=[STRING]; UpperLimit(1048)=[UINT32];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING].,$1：入域名称   $2：目的IPv6地址   $3：目的端口   $4：VPN名称   $5：速率上限   $6：动作类型   $7：攻击开始时间,3,ATK/3/ATK_IP6_ACK_FLOOD_SZ: SrcZoneName(1025)=Trust;   DstIPv6Addr(1037)=2::2; DstPort(1008)=22; RcvVPNInstance(1041)=--; UpperLimit(1048)=10;   Action(1049)=logging; BeginTime_c(1011)=20131009100434.,单位时间内指定目的地址的TCP标志位为ACK的IPV6报文数超过阈值，触发日志,无
