Not sure what's up here:
    error: internal compiler error: static call to invalid vtable: VtableObject(VtableObject(object_ty=error::Error + 'static))
    note: the compiler unexpectedly panicked. this is a bug.
    note: we would appreciate a bug report: http://doc.rust-lang.org/complement-bugreport.html
    note: run with `RUST_BACKTRACE=1` for a backtrace
    thread 'rustc' panicked at 'Box', /home/rustbuild/src/rust-buildbot/slave/nightly-dist-rustc-linux/build/src/libsyntax/diagnostic.rs:182
    stack backtrace:
       1:     0x7f5538025ed0 - sys::backtrace::write::hf251c2373d8c39658Rt
      67:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      68:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      69:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      70:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      71:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      72:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      73:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      74:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      75:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      76:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      77:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      78:     0x7f5536fda540 - trans::controlflow::trans_block::h8b9dd08cca7ae2b7C3d
      79:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      80:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      81:     0x7f55370c1b50 - trans::_match::trans_match_inner::h314f750cba3e3179rkx
      82:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      83:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      84:     0x7f5536fda540 - trans::controlflow::trans_block::h8b9dd08cca7ae2b7C3d
      85:     0x7f55370a4530 - trans::base::trans_closure::ha8f0acc2eac303fay0t
      86:     0x7f5536fc5b30 - trans::base::trans_fn::h78aae1b635a8d84cdbu
      87:     0x7f5536fc60d0 - trans::monomorphize::monomorphic_fn::h54cdbc6aa90ad799Fpd
      88:     0x7f5537017ca0 - trans::callee::trans_fn_ref_with_substs::h94b37b44eeb69e4bIxg
      89:     0x7f5537016390 - trans::callee::trans_fn_ref::hdac25cca5dc0cf2bTlg
      90:     0x7f5536ff3220 - trans::meth::trans_method_callee::hfb3e8ff266af00e427y
      91:     0x7f553701e7a0 - trans::callee::trans_call_inner::h8327427649995086115
      92:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      93:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      94:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      95:     0x7f5536fd93b0 - trans::controlflow::trans_stmt_semi::hefd087c89986462fL2d
      96:     0x7f5536fda540 - trans::controlflow::trans_block::h8b9dd08cca7ae2b7C3d
      97:     0x7f55370a4530 - trans::base::trans_closure::ha8f0acc2eac303fay0t
      98:     0x7f5536fc5b30 - trans::base::trans_fn::h78aae1b635a8d84cdbu
      99:     0x7f5536fc0f50 - trans::base::trans_item::h67a6ff1d83b6d458yyu
      100:     0x7f55370ab7d0 - trans::base::trans_crate::h4e60bbd73bda40effuv
     ... 
