以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全日志记录

**日期**: 2023年12月10日  
**时间范围**: 09:11:44 - 09:12:16  
**主机**: LabSZ  
**IP地址**: 103.99.0.122, 185.190.58.151  
**事件类型**: 认证失败与断开连接

#### 详细日志

56. **时间**: 09:12:10  
    **事件**: 输入用户认证请求：无效用户admin [preauth]。

57. **时间**: 09:12:10  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

58. **时间**: 09:12:10  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

59. **时间**: 09:12:12  
    **事件**: 无效用户admin的密码验证失败（来自103.99.0.122端口56901 ssh2）。

60. **时间**: 09:12:12  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

61. **时间**: 09:12:12  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 user=root。

62. **时间**: 09:12:15  
    **事件**: root用户的密码验证失败（来自103.99.0.122端口59841 ssh2）。

63. **时间**: 09:12:15  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

64. **时间**: 09:12:16  
    **事件**: 用户admin无效（来自103.99.0.122）。

65. **时间**: 09:12:16  
    **事件**: 输入用户认证请求：无效用户admin [preauth]。

---

通过这种方式，日志条目变得更加清晰和易于理解。每条日志都包含了时间、事件描述和相关的详细信息。
