### 事件日志格式规范

#### 1. 通用设备日志格式规范
| 序号 | 记录项                         |
| 15   | 流公用信息-源IP                         |
| 16   | 流公用信息-源端口                       |
| 17   | 流公用信息-开始时间                     |
| 18   | 流公用信息-结束时间                     |
| 19   | 流公用信息-持续时间                     |
| 20   | 流公用信息-接收字节                     |
| 21   | 流公用信息-发送字节                     |
| 22   | 流公用信息-接收包数                     |
| 23   | 流公用信息-发送包数                     |
| 24   | 流公用信息-会话ID                       |
| 25   | HTTP流信息-HTTP版本号                   |
| 26   | HTTP流信息-用户代理信息长度             |
| 27   | HTTP流信息-用户代理信息(UserAgent)       |
| 28   | HTTP流信息-目的网站URL长度              |
| 29   | HTTP流信息-目的网站URL                  |
| 30   | HTTP流信息-外部网站域名长度             |
| 31   | HTTP流信息-外部网站域名                 |
| 32   | HTTP流信息-主机名长度                   |
| 33   | HTTP流信息-主机名                       |
| 34   | HTTP流信息-内容大小                     |
| 35   | HTTP流信息-内容类型                     |
| 36   | HTTP流信息-是否链接                     |
| 37   | HTTP流信息-链接源信息长度               |
| 38   | HTTP流信息-链接源信息                   |
| 39   | HTTP流信息-HTTP操作类型                 |
| 40   | HTTP流信息-HTTP状态码                   |
| 41   | HTTP流信息-响应时延                     |
| 42   | APT攻击告警-接收时间                    |
| 43   | APT攻击告警-事件名称                    |
| 44   | APT攻击告警-事件摘要                    |
| 45   | APT攻击告警-事件分类                    |
| 46   | APT攻击告警-源IP                        |
| 47   | APT攻击告警-目的IP                      |
| 48   | APT攻击告警-源端口                      |
| 49   | APT攻击告警-目的端口                    |

### 安全类日志

#### 1. 防火墙设备日志格式规范
| 序号 | 记录项                                 |
|------|----------------------------------------|
| 1    | 事件名称                               |
| 2    | 事件时间                               |
| 3    | 设备名称                               |
| 4    | 事件发生防火墙名称                     |
| 5    | 事件日志级别                           |
| 6    | 事件日志类型                           |
| 7    | 事件日志详细信息                       |
| 8    | 事件传输协议                           |
| 9    | 事件源地址                             |
| 10   | 事件目的地址                           |
| 11   | 事件NAT后的源地址                      |
| 12   | 事件NAT后的目的地址                    |
| 13   | 事件源端口                             |
| 14   | 事件目的端口                           |
| 15   | 事件NAT后的源端口                      |
| 16   | 事件NAT后的目的端口                    |
| 17   | 事件接收包数                           |
| 18   | 事件发送包数                           |
| 19   | 事件发送字节数                         |
| 20   | 事件接收字节数                         |
| 21   | 事件ID                                 |
| 22   | 事件父连接ID                           |
| 23   | 事件操作                               |
| 24   | 事件进接口                             |
| 25   | 事件出接口                             |
| 26   | 事件协议识别分类                       |
| 27   | 事件病毒名称                           |
| 28   | 事件感染文件                           |
| 29   | 事件对病毒的主操作                     |
| 30   | 事件对病毒的次操作                     |
| 31   | 事件收件人                             |
| 32   | 事件发送人                             |
| 33   | 事件主题                               |
| 34   | 事件附件                               |
| 35   | 事件邮件大小                           |
| 36   | 事件源用户名                           |
| 37   | 告警名称                               |
| 38   | 告警时间                               |
| 39   | 告警级别                               |
| 40   | 告警内容                               |
| 41   | 告警位置                               |

#### 2. 入侵防御系统IPS设备日志格式规范
| 序号 | 记录项                                 |
|------|----------------------------------------|
| 1    | 事件名称                               |
| 2    | 事件时间                               |
| 3    | 设备名称                               |
| 4    | 事件发生设备名称                       |
| 5    | 事件日志级别                           |
| 6    | 事件日志类型                           |
| 7    | 事件日志详细信息                       |
| 8    | 事件传输协议                           |
| 9    | 事件源地址                             |
| 10   | 事件目的地址                           |
| 11   | 事件源端口                             |
| 12   | 事件目的端口                           |
| 13   | 事件请求URL                            |
| 14   | 事件操作                               |
| 15   | 事件进接口                             |
| 16   | 事件出接口                             |
