    Warning	C4273	'torch::jit::tracer::addInputs': inconsistent dll linkage	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\tracer.h	299	
    Warning	C4251	'torch::nn::Module::buffers_': class 'torch::OrderedDict' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\module.h	560	
    Warning	C4251	'torch::nn::Module::children_': class 'torch::OrderedDict>' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\module.h	563	
    Warning	C4251	'torch::nn::Module::name_': class 'c10::optional' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\module.h	566	
    Warning	C4251	'torch::nn::BatchNormOptions::momentum_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::BatchNormOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\batchnorm.h	25	
    Warning	C4251	'torch::nn::functional::BatchNormFuncOptions::momentum_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::BatchNormFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\batchnorm.h	56	
    Warning	C4251	'torch::nn::EmbeddingOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	20	
    Warning	C4251	'torch::nn::EmbeddingOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	22	
    Warning	C4251	'torch::nn::EmbeddingFromPretrainedOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingFromPretrainedOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	41	
    Warning	C4251	'torch::nn::EmbeddingFromPretrainedOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingFromPretrainedOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	43	
    Warning	C4251	'torch::nn::functional::EmbeddingFuncOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	58	
    Warning	C4251	'torch::nn::functional::EmbeddingFuncOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	60	
    Warning	C4251	'torch::nn::EmbeddingBagOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	84	
    Warning	C4251	'torch::nn::EmbeddingBagOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	92	
    Warning	C4251	'torch::nn::EmbeddingBagFromPretrainedOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagFromPretrainedOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	112	
    Warning	C4251	'torch::nn::EmbeddingBagFromPretrainedOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagFromPretrainedOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	120	
    Warning	C4251	'torch::nn::functional::EmbeddingBagFuncOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingBagFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	139	
    Warning	C4251	'torch::nn::functional::EmbeddingBagFuncOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingBagFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\embedding.h	147	
    Warning	C4244	'argument': conversion from 'double' to 'float', possible loss of data	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\functional\embedding.h	42	
    Warning	C4244	'argument': conversion from 'T' to 'float', possible loss of data	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\functional\embedding.h	42	
    Warning	C4244	'argument': conversion from 'double' to 'float', possible loss of data	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\functional\embedding.h	109	
    Warning	C4244	'argument': conversion from 'T' to 'float', possible loss of data	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\functional\embedding.h	109	
    Warning	C4251	'torch::nn::FoldOptions::output_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	21	
    Warning	C4251	'torch::nn::FoldOptions::kernel_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	24	
    Warning	C4251	'torch::nn::FoldOptions::dilation_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	28	
    Warning	C4251	'torch::nn::FoldOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	32	
    Warning	C4251	'torch::nn::FoldOptions::stride_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	35	
    Warning	C4251	'torch::nn::UnfoldOptions::kernel_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	48	
    Warning	C4251	'torch::nn::UnfoldOptions::dilation_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	52	
    Warning	C4251	'torch::nn::UnfoldOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	56	
    Warning	C4251	'torch::nn::UnfoldOptions::stride_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\fold.h	59	
    Warning	C4251	'torch::nn::functional::SoftmaxFuncOptions::dtype_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::SoftmaxFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\activation.h	110	
    Warning	C4251	'torch::nn::functional::SoftminFuncOptions::dtype_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::SoftminFuncOptions'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\options\activation.h	138	
