::: itemizedlist
-   `BPF_PROG_TYPE_SOCK_OPS`{.literal}：内核在 TCP `connect`{.literal}
    中调用该程序，并允许在每个套接字设置 TCP 操作。
-   `BPF_PROG_TYPE_CGROUP_SOCK_ADDR`{.literal}：内核在
    `connect`{.literal}、`bind`{.literal}、`sendto`{.literal} 和
    `recvmsg`{.literal} 操作中调用该程序。该程序允许更改 IP 地址和端口。
-   `BPF_PROG_TYPE_CGROUP_SOCKOPT`{.literal}：内核在
    `setsockopt`{.literal} 和 `getsockopt`{.literal}
    操作中调用这个程序并允许修改选项。
-   `BPF_PROG_TYPE_CGROUP_SOCK`{.literal}:
    内核在套接字创建、套接字发布和绑定到地址时调用该程序。您可以使用这些程序来允许或拒绝操作，或者只检查套接字创建统计信息。
-   `BPF_PROG_TYPE_CGROUP_SKB`{.literal}：此程序在入口和出口中过滤独立的数据包，并可以接受或拒绝数据包。
-   `BPF_PROG_TYPE_CGROUP_SYSCTL`{.literal}：该程序允许过滤系统控制（`sysctl`{.literal}）的访问。
-   `BPF_CGROUP_INET4_GETPEERNAME`{.literal}、`BPF_CGROUP_INET6_GETPEERNAME`{.literal}、`BPF_CGROUP_INET4_GETSOCKNAME`{.literal}
    和 `BPF_CGROUP_INET6_GETSOCKNAME`{.literal}
    ：使用这些程序，您可以覆盖 `getsockname`{.literal} 和
    `getpeername`{.literal} 系统调用的结果。当您在 eBPF
    中实施基于套接字的网络地址转换(NAT)时，这很有用。
:::
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#stream_parser}流解析器（Stream Parser）
流解析器在添加到特殊 eBPF 映射中的一组套接字上运行。然后 eBPF
程序处理内核接收的数据包或者在那些套接字上发送。
RHEL 中提供了以下流解析程序 eBPF 程序：
::: itemizedlist
-   `BPF_PROG_TYPE_SK_SKB`{.literal}：eBPF
    程序将从套接字接收的数据包解析到单个消息中，并指示内核丢弃这些信息，或者将其发送到组中的另一套接字。
-   `BPF_PROG_TYPE_SK_MSG`{.literal}：此程序过滤出口信息。eBPF
    程序将数据包解析到单个信息中，并批准或拒绝它们。
:::
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#so_reuseport_socket_selection}SO_REUSEPORT 套接字选择
使用这个套接字选项，您可以绑定多个套接字到相同的 IP 地址和端口。如果没有
eBPF，内核会根据连接散列选择接收套接字。使用
`BPF_PROG_TYPE_SK_REUSEPORT`{.literal}
程序，选择接收套接字可以完全被编程。
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#flow_dissector}dissector 流程
当内核需要在不处理全部协议解码的情况下处理数据包标头时，就会出现
`dissected`{.literal}。例如：这会在 `tc`{.literal}
子系统、多路径路由、绑定或者计算数据包散列时发生。在这种情况下，内核解析数据包的标头，并使用数据包标头中的信息填充内部结构。您可以使用
`BPF_PROG_TYPE_FLOW_DISSECTOR`{.literal}
程序替换这个内部解析。请注意，您只能在 RHEL 的 eBPF 的 IPv4 和 IPv6
上分离 TCP 和 UDP。
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#tcp_congestion_control}TCP 阻塞控制
您可以使用实现了 `struct tcp_congestion_oops`{.literal} 回调的
`BPF_PROG_TYPE_STRUCT_OPS`{.literal} 程序中的一个自定义 TCP
阻塞控制算法编写自定义 TCP
阻塞控制算法。通过这种方式实施的算法可与内置内核算法一起供系统使用。
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#routes_with_encapsulation}带有封装的路由
您可以将以下 eBPF 程序类型之一附加到路由表中作为隧道封装属性的路由：
::: itemizedlist
-   `BPF_PROG_TYPE_LWT_IN`{.literal}
-   `BPF_PROG_TYPE_LWT_OUT`{.literal}
-   `BPF_PROG_TYPE_LWT_XMIT`{.literal}
:::
这样的 eBPF
程序的功能仅限于特定的隧道配置，它不允许创建通用封装或封装解决方案。
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
### []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#socket_lookup}套接字查找
要绕过 `bind`{.literal} 系统调用的限制，请使用
`BPF_PROG_TYPE_SK_LOOKUP`{.literal} 类型的 eBPF
程序。此类程序可以为新的传入 TCP 连接选择侦听套接字，或为 UDP
数据包选择一个未连接的套接字。
在 RHEL 8.4 中，红帽将这个功能作为不受支持的技术预览提供。
:::
::: section
::: titlepage
# []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#ref_overview-of-xdp-features-by-network-cards_assembly_understanding-the-ebpf-features-in-rhel}网卡 XDP 功能概述 {.title}
:::
以下是启用了 XDP 的网卡和您可以使用的 XDP 功能概述：
::: informaltable
+----------+----------+-------+--------+----------+---------+--------+
| 网卡     | 驱动     | Basic | 重定向 | 目标     | HW 卸载 | 零复制 |
|          |          |       |        | hel_conf |         |        |
|          |          |       |        | iguring- |         |        |
|          |          |       |        | and-mana |         |        |
|          |          |       |        | ging-net |         |        |
|          |          |       |        | working. |         |        |
|          |          |       |        | html#ftn |         |        |
|          |          |       |        | .xdp-on- |         |        |
|          |          |       |        | interfac |         |        |
|          |          |       |        | e){.foot |         |        |
|          |          |       |        | noteref} |         |        |
|          |          |       |        | [^\[     |         |        |
|          |          |       |        | b\]^](#a |         |        |
|          |          |       |        | ssembly_ |         |        |
|          |          |       |        | understa |         |        |
|          |          |       |        | nding-th |         |        |
|          |          |       |        | e-ebpf-f |         |        |
|          |          |       |        | eatures- |         |        |
|          |          |       |        | in-rhel_ |         |        |
|          |          |       |        | configur |         |        |
|          |          |       |        | ing-and- |         |        |
|          |          |       |        | managing |         |        |
|          |          |       |        | -network |         |        |
|          |          |       |        | ing.html |         |        |
|          |          |       |        | #ftn.req |         |        |
|          |          |       |        | uires-qu |         |        |
|          |          |       |        | eues-ge- |         |        |
|          |          |       |        | cpu-inde |         |        |
|          |          |       |        | x){.foot |         |        |
|          |          |       |        | noteref} |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| Intel®   | `        | 是    | 是     | 是       | 否      | 是     |
| 10GbE    | ixgbe`{. |       |        | [^\[a\]^ |         |        |
| PCI      | literal} |       |        | ](#assem |         |        |
| Express  |          |       |        | bly_unde |         |        |
| 适配器   |          |       |        | rstandin |         |        |
|          |          |       |        | g-the-eb |         |        |
|          |          |       |        | pf-featu |         |        |
|          |          |       |        | res-in-r |         |        |
|          |          |       |        | hel_conf |         |        |
|          |          |       |        | iguring- |         |        |
|          |          |       |        | and-mana |         |        |
|          |          |       |        | ging-net |         |        |
|          |          |       |        | working. |         |        |
|          |          |       |        | html#ftn |         |        |
|          |          |       |        | .xdp-on- |         |        |
|          |          |       |        | interfac |         |        |
|          |          |       |        | e){.foot |         |        |
|          |          |       |        | noteref} |         |        |
|          |          |       |        | [^\[     |         |        |
|          |          |       |        | b\]^](#a |         |        |
|          |          |       |        | ssembly_ |         |        |
|          |          |       |        | understa |         |        |
|          |          |       |        | nding-th |         |        |
|          |          |       |        | e-ebpf-f |         |        |
|          |          |       |        | eatures- |         |        |
|          |          |       |        | in-rhel_ |         |        |
|          |          |       |        | configur |         |        |
|          |          |       |        | ing-and- |         |        |
|          |          |       |        | managing |         |        |
|          |          |       |        | -network |         |        |
|          |          |       |        | ing.html |         |        |
|          |          |       |        | #ftn.req |         |        |
|          |          |       |        | uires-qu |         |        |
|          |          |       |        | eues-ge- |         |        |
|          |          |       |        | cpu-inde |         |        |
|          |          |       |        | x){.foot |         |        |
|          |          |       |        | noteref} |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| Intel®   | `ix      | 是    | 否     | 否       | 否      | 否     |
| 10GbE    | gbevf`{. |       |        |          |         |        |
| PCI      | literal} |       |        |          |         |        |
| Express  |          |       |        |          |         |        |
| 虚拟功   |          |       |        |          |         |        |
| 能以太网 |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| Mellanox | `ml      | 是    | 否     | 否       | 否      | 否     |
| Tech     | x4_en`{. |       |        |          |         |        |
| nologies | literal} |       |        |          |         |        |
| 1/1      |          |       |        |          |         |        |
| 0/40Gbit |          |       |        |          |         |        |
| Ethernet |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| Mellanox | `mlx5    | 是    | 是     | 是       | 否      | 是     |
| 5th      | _core`{. |       |        | [^\[     |         |        |
| ge       | literal} |       |        | b\]^](#a |         |        |
| neration |          |       |        | ssembly_ |         |        |
| 网络     |          |       |        | understa |         |        |
| 适配器（ |          |       |        | nding-th |         |        |
| ConnectX |          |       |        | e-ebpf-f |         |        |
| 系列）   |          |       |        | eatures- |         |        |
|          |          |       |        | in-rhel_ |         |        |
|          |          |       |        | configur |         |        |
|          |          |       |        | ing-and- |         |        |
|          |          |       |        | managing |         |        |
|          |          |       |        | -network |         |        |
|          |          |       |        | ing.html |         |        |
|          |          |       |        | #ftn.req |         |        |
|          |          |       |        | uires-qu |         |        |
|          |          |       |        | eues-ge- |         |        |
|          |          |       |        | cpu-inde |         |        |
|          |          |       |        | x){.foot |         |        |
|          |          |       |        | noteref} |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| Ne       | `nfp`{.  | 是    | 否     | 否       | 是      | 否     |
| tronome® | literal} |       |        |          |         |        |
| NFP4000  |          |       |        |          |         |        |
| /NFP6000 |          |       |        |          |         |        |
| NIC      |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| QLogic   | `qede`{. | 是    | 是     | 是       | 否      | 否     |
| QED      | literal} |       |        |          |         |        |
| 25/      |          |       |        |          |         |        |
| 40/100Gb |          |       |        |          |         |        |
| Ethernet |          |       |        |          |         |        |
| NIC      |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| So       | `sfc`{.  | 是    | 是     | 是       | 否      | 是     |
| larflare | literal} |       |        | [^\[     |         |        |
| SFC9     |          |       |        | b\]^](#a |         |        |
| 000/SFC9 |          |       |        | ssembly_ |         |        |
| 100/EF10 |          |       |        | understa |         |        |
| 0-family |          |       |        | nding-th |         |        |
|          |          |       |        | e-ebpf-f |         |        |
|          |          |       |        | eatures- |         |        |
|          |          |       |        | in-rhel_ |         |        |
|          |          |       |        | configur |         |        |
|          |          |       |        | ing-and- |         |        |
|          |          |       |        | managing |         |        |
|          |          |       |        | -network |         |        |
|          |          |       |        | ing.html |         |        |
|          |          |       |        | #ftn.req |         |        |
|          |          |       |        | uires-qu |         |        |
|          |          |       |        | eues-ge- |         |        |
|          |          |       |        | cpu-inde |         |        |
|          |          |       |        | x){.foot |         |        |
|          |          |       |        | noteref} |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| M        | `hv_n    | 是    | 否     | 否       | 否      | 否     |
| icrosoft | etvsc`{. |       |        |          |         |        |
| Hyper-V  | literal} |       |        |          |         |        |
| 虚拟网络 |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| 通用     | `tun`{.  | 是    | 是     | 是       | 否      | 否     |
| TUN/TAP  | literal} |       |        |          |         |        |
| 设备     |          |       |        |          |         |        |
+----------+----------+-------+--------+----------+---------+--------+
| 虚拟以太 | `veth`{. | 是    | 是     | 是       | 否      | 否     |
| 网对设备 | literal} |       |        | [^       |         |        |
|          |          |       |        | \[c\]^]( |         |        |
|          |          |       |        | #assembl |         |        |
|          |          |       |        | y_unders |         |        |
|          |          |       |        | tanding- |         |        |
|          |          |       |        | the-ebpf |         |        |
|          |          |       |        | -feature |         |        |
|          |          |       |        | s-in-rhe |         |        |
|          |          |       |        | l_config |         |        |
|          |          |       |        | uring-an |         |        |
|          |          |       |        | d-managi |         |        |
|          |          |       |        | ng-netwo |         |        |
|          |          |       |        | rking.ht |         |        |
|          |          |       |        | ml#ftn.x |         |        |
|          |          |       |        | dp-on-pe |         |        |
|          |          |       |        | er-devic |         |        |
|          |          |       |        | e){#asse |         |        |
|          |          |       |        | mbly_und |         |        |
|          |          |       |        | erstandi |         |        |
|          |          |       |        | ng-the-e |         |        |
|          |          |       |        | bpf-feat |         |        |
