以下是优化后的文本，使其更加清晰、连贯和专业：

| 平台 | 战术 | 技术 | 详细描述 | 检测方法 |
| Linux, macOS, Windows | [执行](https://attack.mitre.org/tactics/execution/) | [命令行接口](https://attack.mitre.org/techniques/T1059/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用命令行接口进行执行。 | 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/) | [禁用安全工具](https://attack.mitre.org/techniques/T1089/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 `appcmd.exe` 禁用了受害者服务器上的日志记录。 | API 监控, 文件监控, 服务, Windows 注册表, 进程命令行参数, 反病毒软件 |
| Linux, macOS, Windows | [收集](https://attack.mitre.org/tactics/collection/) | [自动化收集](https://attack.mitre.org/techniques/T1119/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 运行命令以从受害用户的目录中编译感兴趣的文件类型的存档。 | 文件监控, 数据丢失防护, 进程命令行参数 |
| Linux, macOS, Windows | [外泄](https://attack.mitre.org/tactics/exfiltration/) | [数据传输大小限制](https://attack.mitre.org/techniques/T1030/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 将 RAR 文件分割成多个部分进行外泄。 | 数据包捕获, Netflow/Enclave netflow, 进程网络使用, 进程监控 |
| Linux, macOS, Windows, GCP, AWS, Azure | [收集](https://attack.mitre.org/tactics/collection/) | [本地系统数据](https://attack.mitre.org/techniques/T1005/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 运行命令以从受害用户的目录中编译感兴趣的文件类型的存档。 | 文件监控, 进程监控, 进程命令行参数 |
| Windows | [持久化](https://attack.mitre.org/tactics/persistence/), [初始访问](https://attack.mitre.org/tactics/initial-access/) | [外部远程服务](https://attack.mitre.org/techniques/T1133/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 在操作期间寻找并使用 VPN 配置文件，通过外部 VPN 服务访问网络。 | 认证日志 |
| Linux, macOS, Windows | [命令与控制](https://attack.mitre.org/tactics/command-and-control/), [横向移动](https://attack.mitre.org/tactics/lateral-movement/) | [远程文件复制](https://attack.mitre.org/techniques/T1105/) | 在重新获得对受害者网络的访问后，[威胁组-3390](https://attack.mitre.org/groups/G0027) 下载工具，包括 [gsecdump](https://attack.mitre.org/software/S0008) 和 WCE，这些工具临时托管在之前被攻陷但未使用的网站上。 | 文件监控, 数据包捕获, 进程网络使用, Netflow/Enclave netflow, 网络协议分析, 进程监控 |
| Linux, macOS, Windows | [外泄](https://attack.mitre.org/tactics/exfiltration/) | [数据加密](https://attack.mitre.org/techniques/T1022/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 RAR 压缩、加密并设置密码保护文件，然后进行外泄。 | 文件监控, 进程监控, 进程命令行参数, 二进制文件元数据 |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | [防御规避](https://attack.mitre.org/tactics/defense-evasion/), [持久化](https://attack.mitre.org/tactics/persistence/), [权限提升](https://attack.mitre.org/tactics/privilege-escalation/), [初始访问](https://attack.mitre.org/tactics/initial-access/) | [有效账户](https://attack.mitre.org/techniques/T1078/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 通过各种方法获取合法凭据，并使用它们进一步在受害者网络上进行横向移动。 | AWS CloudTrail 日志, Stackdriver 日志, 认证日志, 进程监控 |
| Linux, macOS, Windows, AWS, GCP, Azure | [收集](https://attack.mitre.org/tactics/collection/) | [数据暂存](https://attack.mitre.org/techniques/T1074/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 将加密的存档暂存在先前被 [中国切刀](https://attack.mitre.org/software/S0020) 攻陷的面向互联网的服务器上，以便外泄。 | 文件监控, 进程监控, 进程命令行参数 |
| Linux, Windows, macOS | [外泄](https://attack.mitre.org/tactics/exfiltration/) | [数据压缩](https://attack.mitre.org/techniques/T1002/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 RAR 压缩、加密并设置密码保护文件，然后进行外泄。 | 二进制文件元数据, 文件监控, 进程命令行参数, 进程监控 |
| Linux, macOS, Windows | [收集](https://attack.mitre.org/tactics/collection/), [凭证访问](https://attack.mitre.org/tactics/credential-access/) | [输入捕获](https://attack.mitre.org/techniques/T1056/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 在 Microsoft Exchange 服务器上安装了凭据记录器。该组织还利用侦察框架 ScanBox 捕获按键。 | Windows 注册表, 内核驱动程序, 进程监控, API 监控 |
| Linux, macOS, Windows | [命令与控制](https://attack.mitre.org/tactics/command-and-control/) | [常用端口](https://attack.mitre.org/techniques/T1043/) | 大多数 [威胁组-3390](https://attack.mitre.org/groups/G0027) 工具的 C2 流量发生在端口号 53、80 和 443 上。 | 数据包捕获, Netflow/Enclave netflow, 进程网络使用, 进程监控 |
| Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/) | [DLL 侧加载](https://attack.mitre.org/techniques/T1073/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 DLL 侧加载，包括使用合法的 Kaspersky 反病毒变体，其中 DLL 作为存根加载器加载并执行 shell 代码。 | 进程网络使用, 进程监控, 加载的 DLL |
| Windows, Linux, macOS | [凭证访问](https://attack.mitre.org/tactics/credential-access/) | [凭证转储](https://attack.mitre.org/techniques/T1003/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 [gsecdump](https://attack.mitre.org/software/S0008) 和修改版的 [Mimikatz](https://attack.mitre.org/software/S0002)（称为 Wrapikatz）来转储凭据。他们还从域控制器中转储凭据。 | API 监控, 进程监控, PowerShell 日志, 进程命令行参数 |
| Windows | [执行](https://attack.mitre.org/tactics/execution/), [持久化](https://attack.mitre.org/tactics/persistence/), [权限提升](https://attack.mitre.org/tactics/privilege-escalation/) | [计划任务](https://attack.mitre.org/techniques/T1053/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 `at` 安排任务运行自解压的 RAR 存档，这些存档在其他受害者网络上安装 [HTTPBrowser](https://attack.mitre.org/software/S0070) 或 [PlugX](https://attack.mitre.org/software/S0013)。 | 文件监控, 进程监控, 进程命令行参数, Windows 事件日志 |
| Linux, Windows, macOS, AWS, GCP, Azure | [发现](https://attack.mitre.org/tactics/discovery/) | [网络服务扫描](https://attack.mitre.org/techniques/T1046/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 Hunter 工具进行网络服务发现，以查找易受攻击的系统。 | Netflow/Enclave netflow, 网络协议分析, 数据包捕获, 进程命令行参数, 进程网络使用 |

希望这对你有帮助！如果有任何进一步的需求，请告诉我。
