| ------------------------------------------------------------ | ------------------------------------------------------------ | -------- | ---------------------------------------- | ------------------------------------------------------------ |
| IPS Intelligence                                             | Italy                                                        | 2000     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/ips/146_ips-visionary-intelligence/146_ips-visionary-intelligence.pdf) |
| Jimmy Sabien                                                 | USA                                                          | –        | Unknown                                  | [WIRED](https://www.wired.com/story/untold-history-americas-zero-day-market/) |
| Kyrus Tech                                                   | USA                                                          | 2009     | Active                                   | [LinkedIn](https://www.linkedin.com/company/kyr-us/about/)   |
| Lench IT Solutions (FinFisher)                               | UK                                                           | 1990     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/FinFisher)         |
| ManTech International                                        | USA                                                          | 1968     | Active                                   | [Vice, Motherboard](https://www.vice.com/en/article/kbzz9v/how-an-fbi-informant-helped-orchestrate-the-hack-of-an-fbi-contractor) |
| Memento Labs                                                 | Italy                                                        | 2019     | Active                                   | [Vice, Motherboard](https://www.vice.com/en/article/xgq3qd/memento-labs-the-reborn-hacking-team-is-struggling) |
| Netragard, Inc                                               | USA                                                          | 2006     | Active                                   | [LIFARS](https://lifars.com/2021/01/current-state-of-zero-day-exploit-market/) |
| NICE                                                         | Israel                                                       | 1986     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/nice/NICE-2011-NiceHoriInsi-en/NICE-2011-NiceHoriInsi-en.pdf) |
| NSO Group                                                    | Israel                                                       | 2010     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/NSO_Group)         |
| ODT (Oday) LLC                                               | Russia                                                       | –        | Unknown                                  | [ZDNet](https://www.zdnet.com/article/hackers-breach-fsb-contractor-and-leak-details-about-iot-hacking-project/) |
| Paragon                                                      | USA                                                          | 2016     | Active                                   | [Schneier.com](https://www.schneier.com/blog/archives/2021/08/paragon-yet-another-cyberweapons-arms-manufacturer.html) |
| Quantum Research Institute                                   | Russia                                                       | –        | Unknown                                  | [BBC](https://www.bbc.com/russian/features-46621322)         |
| Q-Recon                                                      | Israel                                                       | 2018     | Ceased                                   | [Black Hat USA](https://www.blackhat.com/us-19/briefings/schedule/) |
| ReVuln                                                       | Malta                                                        | 2012     | Active                                   | [Krebs on Security](https://krebsonsecurity.com/2013/12/how-many-zero-days-hit-you-today/) |
| Roke Manor Research                                          | UK                                                           | 1956     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/roke-manor-research/ROKEMANOR-2011-CounThreSurv-en/ROKEMANOR-2011-CounThreSurv-en.pdf) |
| Root9b                                                       | USA                                                          | 2011     | Ceased (acquired by Deloitte)            | [Gazette](https://gazette.com/business/root9b-wins-army-cybersecurity-training-contract/article_0450b918-7efd-11e8-bc96-ebf6e5471e4d.html) |
| Saito Tech Ltd.                                              | Israel                                                       | 2020     | Active                                   | [CitizenLab](https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/) |
| Syndis                                                       | Iceland                                                      | 2013     | Active                                   | [DarkReading](https://www.darkreading.com/vulnerabilities-threats/exodus-intelligence-teams-with-syndis-for-zero-day-service-offering) |
| SyTech                                                       | Russia                                                       | –        | –                                        | [ZDNet](https://www.zdnet.com/article/hackers-breach-fsb-contractor-expose-tor-deanonymization-project/) |
| Taveta Ltd.                                                  | Israel                                                       | 2019     | Ceased (succeeded by Saito Tech Ltd.)    | [CitizenLab](https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/) |
| Vupen                                                        | France                                                       | 2004     | Ceased (succeeded by Zerodium)           | [Wikipedia](https://en.wikipedia.org/wiki/Vupen)             |
| WiSpear                                                      | Cyprus                                                       | 2013     | Active                                   | [CyberScoop](https://www.cyberscoop.com/wispear-wifi-interception-israel-unit-8200/) |
| Zerodium                                                     | USA                                                          | 2015     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/Zerodium)          |
| Zeronomicom                                                  | Italy                                                        | 2016     | Active                                   | [LIFARS](https://lifars.com/2021/01/current-state-of-zero-day-exploit-market/) |
| ZeroDay Technology                                           | USA                                                          | –        | Active                                   | [LIFARS](https://lifars.com/2021/01/current-state-of-zero-day-exploit-market/) |
|                                                              |                                                              |          |                                          |                                                              |
| 全球所有参与国家性进攻性网络行动的公开私营公司的集合。他们中的大多数都通过提供诸如软件植入和入侵(例如：零日漏洞利用、漏洞利用框架、安全绕过技术、通信拦截产品等)等功能而参与其中。 | 免责声明：本篇不涉及泄露任何敏感或机密信息，单纯汇总网络已公开可用的开源信息。这就是为什么所有条目都有一个OSINT开源参考信息，该参考信息明确提到该私营公司与该业务有关。 |          |                                          | 10月18日2021年                                               |
## References
\[1] 全球进攻性私营安全公司列表(基于开源)，红数位，https://mp.weixin.qq.com/s/mje4LkRmCAyJlYUeGjVyAg
[2] threat-intelligence, [NewBee119](https://github.com/NewBee119/threat-intelligence/commits?author=NewBee119),https://github.com/NewBee119/threat-intelligence
