 VCF_GET_TEMPLATE,"Phase [STRING], Device [STRING] downloaded template file   [STRING].",$1：阶段   $2：设备的MAC地址   $3：模板文件名,6,"VCF/6/VCF_GET_TEMPLATE: Phase 1.2.1,   Device 0000-0000-0000 downloaded template file   /mnt/flash:/vxlan_spine.template.",将自动部署的模板文件下载到本地设备,无
 VCF_REBOOT,"Phase [STRING], Device [STRING] completed startup image update. The   device will reboot immediately.",$1：阶段   $2：设备的MAC地址,5,"VCF/5/VCF_REBOOT: Phase 1.3.4, Device   0000-0000-0000 completed startup image update. The device will reboot   immediately.",完成新版本升级，重启设备,无
 VCF_SKIP_INSTALL,"Phase [STRING], Device [STRING] skipped automatic version update.",$1：阶段   $2：设备的MAC地址,5,"VCF/5/VCF_SKIP_INSTALL: Phase 1.3.2,   Device 0000-0000-0000 skipped automatic version update.",设备当前运版本与通过模板文件获取的版本一致时，跳过自动更新版本,无
 VCF_STATIC_CMD_ERROR,"Phase [STRING], Device [STRING] failed to automatically execute static command '[STRING]'   in context '[STRING]'.",$1：阶段   $2：设备的MAC地址   $3：自动配置执行失败的命令   $4：执行失败的命令所在的完整片段,4,"VCF/4/VCF_STATIC_CMD_ERROR: Phase 1.2.5,   Device 0000-0000-0000 failed to   automatically execute static command 'port link bridge' in context 'interface   ten-gigabitethernet1/0/1; port link bridge'.",自动部署过程中执行失败的静态命令,管理员查找错误原因，修改错误后需要重新部署
 VCF_UP_LINK,"Phase [STRING], Device [STRING]   discovered uplink interface [STRING].",$1：阶段   $2：设备MAC地址   $3：上行接口名,6,"VCF/6/VCF_UP_LINK: Phase 2.0.9, Device   0000-0000-0000 discovered uplink interface Ten-GigabitEthernet1/0/1.",VCF发现上行接口（Leaf设备上连接Spine的接口），并下发配置,无
 VLAN_FAILED,Failed to add interface [STRING] to the   default VLAN.,$1：接口名称,4,VLAN/4/VLAN_FAILED: Failed to add interface   S-Channel4/2/0/19:100 to the default VLAN.,在硬件资源不足的时候创建一个S-Channel接口。此S-Channel接口不能加入到缺省VLAN,无
 VLAN_VLANMAPPING_FAILED,The configuration failed because of   resource insufficiency or conflicts on [STRING].,$1：接口名称,4,VLAN/4/VLAN_VLANMAPPING_FAILED: The   configuration failed because of resource insufficiency or conflicts on   Ethernet0/0.,因本接口硬件资源不足或者接口加入或离开二层聚合组，所以部分或全部VLAN映射配置丢失,无
 VLAN_VLANTRANSPARENT_FAILED,The configuration failed because of   resource insufficiency or conflicts on [STRING].,$1：接口名称,4,VLAN/4/VLAN_VLANTRANSPARENT_FAILED: The   configuration failed because of resource insufficiency or conflicts on   Ethernet0/0.,因本接口硬件资源不足或者接口加入或离开二层聚合组，所以部分或全部VLAN透传配置丢失,无
 VRRP_STATUS_CHANGE,The status of [STRING] virtual router   [UINT32] (configured on [STRING]) changed from [STRING] to [STRING]:   [STRING].,$1：VRRP协议版本   $2：VRRP备份组号   $3：VRRP备份组所在接口的名称   $4：先前状态   $5：当前状态   $6：状态变化原因：   ·Interface event received：收到接口事件   ·IP address deleted：虚地址删除   ·The status of the tracked object changed：Track对象状态变化   ·VRRP packet received：收到VRRP报文   ·Current device has changed to IP address owner：当前设备成为地址拥有者   ·Master-down-timer expired：Master down定时器超时   ·Zero priority packet received：收到0优先级的报文   ·Preempt：发生了抢占   ·Master group drove：管理备份组驱动,6,VRRP/6/VRRP_STATUS_CHANGE: The status of IPv4   virtual router 10 (configured on Ethernet0/0) changed (from Backup to   Master): Master-down-timer expired.,VRRP备份组中的Master或Backup路由器状态发生变化。可能的原因包括：收到接口事件、虚地址删除、Track对象状态变化、收到VRRP报文、当前设备成为地址拥有者、Master down定时器超时、收到0优先级的报文、发生了抢占或者管理备份组驱动,检查VRRP备份组中的Master或Backup路由器状态，确保备份组工作正常
 VRRP_VF_STATUS_CHANGE,The [STRING] virtual router [UINT32]   (configured on [STRING]) virtual forwarder [UINT32] detected status change   (from [STRING] to [STRING]): [STRING].,$1：VRRP协议版本   $2：VRRP备份组号   $3：VRRP备份组所在接口的名称   $4：VF ID   $5：VF先前状态   $6：VF当前状态   $7：状态变化原因,6,VRRP/6/VRRP_VF_STATUS_CHANGE: The IPv4   virtual router 10 (configured on GigabitEthernet1/0/1) virtual forwarder 2   detected status change (from Active to Initialize): Weight changed.,VRRP虚拟转发器状态发生改变。可能的原因包括权重变化、定时器超时、VRRP备份组Down,检查Track项的状态
 VRRP_VMAC_INEFFECTIVE,The [STRING] virtual router [UINT32] (configured   on [STRING]) failed to add virtual MAC: [STRING].,$1：VRRP协议版本   $2：VRRP备份组号   $3：VRRP备份组所在接口的名称   $4：出现错误的原因,3,VRRP/3/VRRP_VMAC_INEFFECTIVE: The IPv4   virtual router 10 (configured on GigabitEthernet1/0/1) failed to add virtual   MAC: Insufficient hardware resources.,添加虚拟MAC地址失败,确定操作失败的根因并解决
