77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,E58,setTodayTotalDetailSteps=
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,E4,calculateCaloriesWithCache totalCalories=
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,E47,REPORT :    
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,E42,onStandStepChanged 
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,E39,onExtend:   
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,E22,getTodayTotalDetailSteps = ##########
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,E58,setTodayTotalDetailSteps=
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,E4,calculateCaloriesWithCache totalCalories=
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,E47,REPORT :    
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,E42,onStandStepChanged 
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,E39,onExtend:   
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,E22,getTodayTotalDetailSteps = ##########
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,E58,setTodayTotalDetailSteps=
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,E4,calculateCaloriesWithCache totalCalories=
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,E47,REPORT :    
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,E42,onStandStepChanged 
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,E39,onExtend:   
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,E22,getTodayTotalDetailSteps = ##########
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,E58,setTodayTotalDetailSteps=
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,E4,calculateCaloriesWithCache totalCalories=
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,E47,REPORT :    
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,E42,onStandStepChanged 
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,E39,onExtend:   
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,E22,getTodayTotalDetailSteps = ##########
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,E58,setTodayTotalDetailSteps=
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,E4,calculateCaloriesWithCache totalCalories=
