[3.5.1 DBSCAN 聚类 [74](#dbscan-聚类)](\l)
[3.5.2 K-MEANS 聚类算法 [74](#k-means-聚类算法)](\l)
[3.5.3 层次聚类算法（新） [75](#层次聚类算法新)](\l)
[3.5.4 重复二分聚类算法（新） [75](#重复二分聚类算法新)](\l)
[3.6类别预测 [76](#类别预测)](\l)
[3.6.1 NaiveBayes 算法 [76](#naivebayes-算法)](\l)
[3.6.2 ID3 决策树算法 [76](#id3-决策树算法)](\l)
[3.6.3 SVM 分类算法 [76](#svm-分类算法)](\l)
[3.6.4 Xgboost 算法 [77](#xgboost-算法)](\l)
[3.6.5 iForest 算法 [77](#iforest-算法)](\l)
[3.6.6 随机森林 [78](#随机森林)](\l)
[3.6.7 GBDT 算法 [78](#gbdt-算法)](\l)
[3.6.8 BP 算法 [79](#bp-算法)](\l)
[3.6.9 AutoEncoder 算法 [79](#autoencoder-算法)](\l)
[3.6.10 贝叶斯网络算法（新） [80](#贝叶斯网络算法新)](\l)
[3.6.11 朴素贝叶斯分类算法（新） [80](#_Toc6958)](\l)
[3.6.12 Fasttext文本分类算法（新） [81](#fasttext文本分类算法新)](\l)
[3.7回归分析 [81](#回归分析)](\l)
[3.7.1 多元线性回归算法 [81](#多元线性回归算法)](\l)
[3.7.2 简单线性回归算法 [82](#简单线性回归算法)](\l)
[3.7.3 多项式回归算法（新） [82](#多项式回归算法新)](\l)
[3.8 统计分析 [83](#统计分析)](\l)
[3.8.1 数据牛顿插值算法 [83](#数据牛顿插值算法)](\l)
[3.8.2拉格朗日插值算法 [83](#拉格朗日插值算法)](\l)
[3.8.3 熵值法 [84](#熵值法)](\l)
[3.8.4 曲线拟合最小二乘法 [84](#曲线拟合最小二乘法)](\l)
[3.8.5 Z-score 标准化的算法 [84](#z-score-标准化的算法)](\l)
[3.8.6 四分位距算法（新） [85](#四分位距算法新)](\l)
[3.9 优化算法 [85](#优化算法)](\l)
[3.9.1 Ballooning 气球技术 [85](#ballooning-气球技术)](\l)
[3.9.2 Floyd-Warshall 算法 [86](#floyd-warshall-算法)](\l)
[3.9.3 遗传算法（新） [86](#遗传算法新)](\l)
[3.9.4 爬山算法（新） [87](#爬山算法新)](\l)
[3.9.5 粒子群算法（新） [87](#粒子群算法新)](\l)
[3.9.6 蚁群算法（新） [88](#蚁群算法新)](\l)
[]{#_Toc8296 .anchor}**修订历史记录**
+---------+--------------------------------+-----------+--------------+
| 序号    | 修改描述                       | 日期      | 作者         |
|         |                                |           |              |
|         | 5.  效率提升类原有的           |           |              |
|         | 能力维度智能问答中新增智能掌上 |           |              |
|         | 工作台，见2.2.1.1；智能决策中  |           |              |
|         | 新增部件失效影响面分析、微服务 |           |              |
|         | 智能熔断降级、容器亲和度、智能 |           |              |
|         | 工单处理、中间件配置优化、智能 |           |              |
|         | 工单变更、知识图谱，见2.2.2.1  |           |              |
|         | 、2.2.2.2、2.2.2.3、2.2.2.4、2 |           |              |
|         | .2.2.5、2.2.2.6、2.2.2.7；智能 |           |              |
|         | 变更中新增IT组织智能变更、变更 |           |              |
|         | 质量评估、全生命周期智能变更， |           |              |
|         | 见2.2.3.1、2.2.3.2、2.2.3.3；  |           |              |
|         |                                |           |              |
|         | 6.  成本管理类原有             |           |              |
|         | 的能力维度资源优化中新增分布式 |           |              |
