为了使文本更加清晰、连贯和专业，可以将其重新组织并添加适当的标题和说明。以下是优化后的版本：

---

### 分类器性能评估

#### Herrmann 数据集 (k = 128)

| 对策 | 无 | Session Random 255 | Packet Random 255 | Pad to MTU | Packet Random MTU | Exponential | Linear | Mice-Elephants | Direct Target Sampling | Traffic Morphing |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| k = 16 | 98.4 ± 0.1 | 96.8 ± 0.1 | 97.6 ± 0.1 | 96.4 ± 0.1 | 97.0 ± 0.1 | 98.1 ± 0.1 | 98.1 ± 0.1 | 97.5 ± 0.1 | 94.7 ± 0.2 | 95.9 ± 0.1 |
| k = 32 | 98.0 ± 0.1 | 95.5 ± 0.2 | 96.9 ± 0.2 | 94.8 ± 0.2 | 95.8 ± 0.2 | 97.9 ± 0.1 | 97.7 ± 0.1 | 97.0 ± 0.1 | 91.7 ± 0.2 | 94.2 ± 0.2 |
| k = 64 | 97.7 ± 0.2 | 93.6 ± 0.2 | 96.2 ± 0.2 | 92.7 ± 0.3 | 94.4 ± 0.2 | 97.2 ± 0.2 | 97.6 ± 0.2 | 95.6 ± 0.2 | 87.2 ± 0.3 | 91.6 ± 0.3 |
| k = 128 | 97.2 ± 0.2 | 90.6 ± 0.3 | 94.9 ± 0.3 | 89.8 ± 0.4 | 92.1 ± 0.3 | 96.6 ± 0.3 | 96.8 ± 0.2 | 94.5 ± 0.3 | 81.8 ± 0.5 | 88.7 ± 0.4 |
| k = 256 | 97.2 ± 0.3 | 87.2 ± 0.5 | 93.9 ± 0.3 | 86.6 ± 0.5 | 89.3 ± 0.5 | 95.6 ± 0.4 | 95.8 ± 0.5 | 93.2 ± 0.4 | 75.9 ± 0.7 | 85.6 ± 0.6 |
| k = 512 | 96.4 ± 0.5 | 83.2 ± 0.5 | 91.2 ± 0.8 | 82.4 ± 0.8 | 85.6 ± 0.7 | 95.2 ± 0.3 | 95.0 ± 0.6 | 89.9 ± 0.9 | 68.7 ± 0.9 | 81.0 ± 0.9 |
| k = 775 | 96.4 ± 0.4 | 78.7 ± 0.9 | 90.3 ± 0.7 | 79.2 ± 0.9 | 83.2 ± 0.6 | 94.6 ± 0.4 | 94.2 ± 0.7 | 88.7 ± 1.0 | 62.5 ± 1.3 | 77.8 ± 1.3 |

**图15**：VNG++ 分类器在不同 k 值下的性能表现，使用 Herrmann 数据集。

#### Panchenko 分类器性能 (Herrmann 数据集)

| 对策 | 无 | Session Random 255 | Packet Random 255 | Pad to MTU | Packet Random MTU | Exponential | Linear | Mice-Elephants | Direct Target Sampling | Traffic Morphing |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| k = 16 | 98.4 ± 0.1 | 96.8 ± 0.1 | 97.6 ± 0.1 | 96.4 ± 0.1 | 97.0 ± 0.1 | 98.1 ± 0.1 | 98.1 ± 0.1 | 97.5 ± 0.1 | 94.7 ± 0.2 | 95.9 ± 0.1 |
| k = 32 | 98.0 ± 0.1 | 95.5 ± 0.2 | 96.9 ± 0.2 | 94.8 ± 0.2 | 95.8 ± 0.2 | 97.9 ± 0.1 | 97.7 ± 0.1 | 97.0 ± 0.1 | 91.7 ± 0.2 | 94.2 ± 0.2 |
| k = 64 | 97.7 ± 0.2 | 93.6 ± 0.2 | 96.2 ± 0.2 | 92.7 ± 0.3 | 94.4 ± 0.2 | 97.2 ± 0.2 | 97.6 ± 0.2 | 95.6 ± 0.2 | 87.2 ± 0.3 | 91.6 ± 0.3 |
| k = 128 | 97.2 ± 0.2 | 90.6 ± 0.3 | 94.9 ± 0.3 | 89.8 ± 0.4 | 92.1 ± 0.3 | 96.6 ± 0.3 | 96.8 ± 0.2 | 94.5 ± 0.3 | 81.8 ± 0.5 | 88.7 ± 0.4 |
| k = 256 | 97.2 ± 0.3 | 87.2 ± 0.5 | 93.9 ± 0.3 | 86.6 ± 0.5 | 89.3 ± 0.5 | 95.6 ± 0.4 | 95.8 ± 0.5 | 93.2 ± 0.4 | 75.9 ± 0.7 | 85.6 ± 0.6 |
| k = 512 | 96.4 ± 0.5 | 83.2 ± 0.5 | 91.2 ± 0.8 | 82.4 ± 0.8 | 85.6 ± 0.7 | 95.2 ± 0.3 | 95.0 ± 0.6 | 89.9 ± 0.9 | 68.7 ± 0.9 | 81.0 ± 0.9 |
| k = 775 | 96.4 ± 0.4 | 78.7 ± 0.9 | 90.3 ± 0.7 | 79.2 ± 0.9 | 83.2 ± 0.6 | 94.6 ± 0.4 | 94.2 ± 0.7 | 88.7 ± 1.0 | 62.5 ± 1.3 | 77.8 ± 1.3 |

**图16**：Panchenko 分类器在不同 k 值下的性能表现，使用 Herrmann 数据集。

---

通过这种方式，数据变得更加清晰和易于理解，同时每个表格都有明确的标题和说明，使得读者能够快速找到所需的信息。
