567,10.30 20:42:33,YodaoDict.exe,oimagea5.ydstatic.com:80 error : A connection request was canceled before the completion.,E7,: error : A connection request was canceled before the completion.
586,10.30 20:42:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:03",E8," close,  bytessent,  bytesreceived, lifetime "
587,10.30 20:42:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
588,10.30 20:42:47,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 555 bytes sent, 400 bytes received, lifetime 00:04",E8," close,  bytessent,  bytesreceived, lifetime "
589,10.30 20:42:49,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
590,10.30 20:42:49,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 935 bytes sent, 6675 bytes (6.51 KB) received, lifetime  close,  bytessent,  bytesreceived, lifetime "
591,10.30 20:42:49,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1205 bytes (1.17 KB) sent, 391 bytes received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
592,10.30 20:42:49,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
593,10.30 20:42:49,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
594,10.30 20:42:50,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 7437 bytes (7.26 KB) sent, 2235596 bytes (2.13 MB) received, lifetime 00:07",E8," close,  bytessent,  bytesreceived, lifetime "
595,10.30 20:42:50,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
596,10.30 20:43:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
597,10.30 20:43:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 634 bytes sent, 538 bytes received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
598,10.30 20:43:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
599,10.30 20:43:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
600,10.30 20:43:43,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
601,10.30 20:43:44,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
602,10.30 20:43:45,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3254 bytes (3.17 KB) sent, 5295 bytes (5.17 KB) received, lifetime 00:04",E8," close,  bytessent,  bytesreceived, lifetime "
603,10.30 20:43:45,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 553 bytes sent, 1424 bytes (1.39 KB) received, lifetime  close,  bytessent,  bytesreceived, lifetime "
604,10.30 20:43:45,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3205 bytes (3.12 KB) sent, 15704 bytes (15.3 KB) received, lifetime  close,  bytessent,  bytesreceived, lifetime "
605,10.30 20:43:45,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
606,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1341 bytes (1.30 KB) sent, 290 bytes received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
607,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
608,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1023 bytes sent, 4076 bytes (3.98 KB) received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
609,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
610,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 553 bytes sent, 28794 bytes (28.1 KB) received, lifetime  close,  bytessent,  bytesreceived, lifetime "
611,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
612,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 996 bytes sent, 367 bytes received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
613,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1536 bytes (1.50 KB) sent, 5325 bytes (5.20 KB) received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
614,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
615,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
616,10.30 20:43:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime  close,  bytessent,  bytesreceived, lifetime "
617,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
618,10.30 20:43:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
619,10.30 20:43:47,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
620,10.30 20:43:47,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
621,10.30 20:43:47,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
622,10.30 20:43:47,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
623,10.30 20:43:49,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:02",E8," close,  bytessent,  bytesreceived, lifetime "
624,10.30 20:43:50,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
625,10.30 20:44:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2735 bytes (2.67 KB) sent, 79708 bytes (77.8 KB) received, lifetime 00:55",E8," close,  bytessent,  bytesreceived, lifetime "
626,10.30 20:44:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 6996 bytes (6.83 KB) sent, 2055 bytes (2.00 KB) received, lifetime 00:57",E8," close,  bytessent,  bytesreceived, lifetime "
627,10.30 20:44:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1522 bytes (1.48 KB) sent, 1765 bytes (1.72 KB) received, lifetime 00:53",E8," close,  bytessent,  bytesreceived, lifetime "
628,10.30 20:44:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 5992 bytes (5.85 KB) sent, 74512 bytes (72.7 KB) received, lifetime 00:51",E8," close,  bytessent,  bytesreceived, lifetime "
629,10.30 20:44:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
