|                           6257/UDP                           | [WinMX](https://zh.wikipedia.org/wiki/WinMX) （参见6699端口） | 非官方 |
|                           6697/TCP                           | [IRC](https://zh.wikipedia.org/wiki/IRC) SSL （安全互联网中继聊天） - 通常使用的端口 | 非官方 |
|                           6699/TCP                           | [WinMX](https://zh.wikipedia.org/wiki/WinMX) （参见6257端口） | 非官方 |
|                      6881-6999/TCP,UDP                       | [BitTorrent](https://zh.wikipedia.org/wiki/BitTorrent_(协议)) 通常使用的端口 | 非官方 |
|                      6891-6900/TCP,UDP                       | [Windows Live Messenger](https://zh.wikipedia.org/wiki/Windows_Live_Messenger) （文件传输） |  官方  |
|                         6901/TCP,UDP                         | [Windows Live Messenger](https://zh.wikipedia.org/wiki/Windows_Live_Messenger) （语音） |  官方  |
|                           6969/TCP                           | [acmsoda](https://zh.wikipedia.org/w/index.php?title=Acmsoda&action=edit&redlink=1) |  官方  |
|                           6969/TCP                           | [BitTorrent](https://zh.wikipedia.org/wiki/BitTorrent_(协议)) tracker port | 非官方 |
|                           7000/TCP                           | Default port for [Azureus](https://zh.wikipedia.org/wiki/Vuze)'s built in [超文本传输安全协议](https://zh.wikipedia.org/wiki/超文本传输安全协议) [BitTorrent tracker](https://zh.wikipedia.org/wiki/BitTorrent_tracker) | 非官方 |
|                           7001/TCP                           | Default port for [BEA](https://zh.wikipedia.org/wiki/BEA_Systems) [WebLogic Server](https://zh.wikipedia.org/wiki/WebLogic)'s [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) server - though often changed during installation | 非官方 |
|                           7002/TCP                           | Default port for [BEA](https://zh.wikipedia.org/wiki/BEA_Systems) [WebLogic Server](https://zh.wikipedia.org/wiki/WebLogic)'s [超文本传输安全协议](https://zh.wikipedia.org/wiki/超文本传输安全协议) server - though often changed during installation | 非官方 |
|                         7005/TCP,UDP                         | Default port for [BMC软件公司](https://zh.wikipedia.org/wiki/BMC软件公司) CONTROL-M/Server and CONTROL-M/Agent's - Agent to Server port though often changed during installation | 非官方 |
|                         7006/TCP,UDP                         | Default port for [BMC软件公司](https://zh.wikipedia.org/wiki/BMC软件公司) CONTROL-M/Server and CONTROL-M/Agent's - Server to Agent port though often changed during installation | 非官方 |
|                           7010/TCP                           | Default port for Cisco AON AMC (AON Management Console) [[4\]](https://zh.wikipedia.org/zh-sg/TCP/UDP端口列表#cite_note-4) | 非官方 |
|                           7025/TCP                           |        Zimbra - lmtp [mailbox] - local mail delivery         | 非官方 |
|                           7047/TCP                           |                  Zimbra - conversion server                  | 非官方 |
|                           7171/TCP                           | [Tibia](https://zh.wikipedia.org/w/index.php?title=Tibia_(computer_game)&action=edit&redlink=1) |        |
|                           7306/TCP                           |                   Zimbra - mysql [mailbox]                   | 非官方 |
|                           7307/TCP                           |               Zimbra - mysql [logger] - logger               | 非官方 |
|                           7312/UDP                           | [Sibelius](https://zh.wikipedia.org/w/index.php?title=Sibelius_notation_program&action=edit&redlink=1) License Server port | 非官方 |
|                           7670/TCP                           | [BrettSpielWelt](https://zh.wikipedia.org/wiki/BrettSpielWelt) BSW Boardgame Portal | 非官方 |
|                           7680/TCP                           | 适用于[Windows 10](https://zh.wikipedia.org/wiki/Windows_10)更新的[传递优化](https://zh.wikipedia.org/w/index.php?title=传递最佳化&action=edit&redlink=1) |  官方  |
|                           7777/TCP                           |    Default port used by Windows backdoor program tini.exe    | 非官方 |
|                           8000/TCP                           | [iRDMI](https://zh.wikipedia.org/w/index.php?title=IRDMI&action=edit&redlink=1) - often mistakenly used instead of port 8080 (The Internet Assigned Numbers Authority (iana.org) officially lists this port for iRDMI protocol) |  官方  |
|                           8000/TCP                           | Common port used for internet radio streams such as those using [SHOUTcast](https://zh.wikipedia.org/wiki/SHOUTcast) | 非官方 |
|                           8002/TCP                           |     Cisco Systems Unified Call Manager Intercluster Port     |        |
|                           8008/TCP                           | [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) 替代端口 |  官方  |
|                           8008/TCP                           | [IBM HTTP Server](https://zh.wikipedia.org/w/index.php?title=IBM_HTTP_Server&action=edit&redlink=1) 默认管理端口 | 非官方 |
|                           8009/TCP                           | [阿帕契族](https://zh.wikipedia.org/wiki/阿帕契族) [JServ](https://zh.wikipedia.org/w/index.php?title=JServ&action=edit&redlink=1) 协议 v13 (ajp13) 例如：Apache mod_jk [Tomcat](https://zh.wikipedia.org/wiki/Apache_Tomcat)会使用。 | 非官方 |
|                           8010/TCP                           | [XMPP/Jabber](https://zh.wikipedia.org/wiki/Jabber) 文件传输 | 非官方 |
|                           8074/TCP                           | [Gadu-Gadu](https://zh.wikipedia.org/w/index.php?title=Gadu-Gadu&action=edit&redlink=1) | 非官方 |
|                           8080/TCP                           | [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) 替代端口 （http_alt） - commonly used for [代理服务器](https://zh.wikipedia.org/wiki/代理服务器) and [caching](https://zh.wikipedia.org/w/index.php?title=Caching&action=edit&redlink=1) server, or for running a web server as a non-[Root](https://zh.wikipedia.org/wiki/Root) user |  官方  |
|                           8080/TCP                           | [Apache Tomcat](https://zh.wikipedia.org/wiki/Apache_Tomcat) | 非官方 |
|                           8086/TCP                           | [HELM](https://zh.wikipedia.org/w/index.php?title=HELM&action=edit&redlink=1) Web Host Automation Windows Control Panel | 非官方 |
|                           8086/TCP                           | [Kaspersky](https://zh.wikipedia.org/wiki/Kaspersky) AV Control Center TCP Port | 非官方 |
|                           8087/TCP                           | [Hosting Accelerator](https://zh.wikipedia.org/w/index.php?title=Hosting_Accelerator&action=edit&redlink=1) Control Panel | 非官方 |
|                           8087/UDP                           | [Kaspersky](https://zh.wikipedia.org/wiki/Kaspersky) AV Control Center UDP Port | 非官方 |
|                           8087/TCP                           |     [英迈](https://zh.wikipedia.org/wiki/英迈) 控制面板      | 非官方 |
|                           8090/TCP                           | Another [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) Alternate (http_alt_alt) - used as an alternative to port 8080 | 非官方 |
|                           8118/TCP                           | [Privoxy](https://zh.wikipedia.org/wiki/Privoxy) web proxy - advertisements-filtering web proxy |  官方  |
|                           8123/TCP                           | Dynmap[[5\]](https://zh.wikipedia.org/zh-sg/TCP/UDP端口列表#cite_note-5)默认网页端口号(Minecraft在线地图) | 非官方 |
|                           8200/TCP                           | [GoToMyPC](https://zh.wikipedia.org/w/index.php?title=GoToMyPC&action=edit&redlink=1) | 非官方 |
|                           8220/TCP                           |     [Bloomberg](https://zh.wikipedia.org/wiki/彭博终端)      | 非官方 |
|                             8222                             | [VMware](https://zh.wikipedia.org/wiki/VMware)服务器管理用户界面(不安全网络界面)[[6\]](https://zh.wikipedia.org/zh-sg/TCP/UDP端口列表#cite_note-#1-6)。参见 8333端口 | 非官方 |
|                           8291/TCP                           | Winbox - Default port on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS | 非官方 |
|                           8294/TCP                           |     [Bloomberg](https://zh.wikipedia.org/wiki/彭博终端)      | 非官方 |
|                             8333                             | [VMware](https://zh.wikipedia.org/wiki/VMware) 服务器管理用户界面（安全网络界面）[[6\]](https://zh.wikipedia.org/zh-sg/TCP/UDP端口列表#cite_note-#1-6)。参见8222端口 | 非官方 |
|                             8400                             | [Commvault](https://zh.wikipedia.org/w/index.php?title=Commvault&action=edit&redlink=1) Unified Data Management |  官方  |
|                           8443/TCP                           |   [英迈](https://zh.wikipedia.org/wiki/英迈) Control Panel   | 非官方 |
|                           8500/TCP                           | [Adobe ColdFusion](https://zh.wikipedia.org/wiki/Adobe_ColdFusion) Macromedia/Adobe ColdFusion default Webserver port | 非官方 |
|                           8501/UDP                           | [毁灭公爵3D](https://zh.wikipedia.org/wiki/毁灭公爵3D) - Default Online Port |  官方  |
|                           8767/UDP                           | [TeamSpeak](https://zh.wikipedia.org/wiki/TeamSpeak) - Default UDP Port | 非官方 |
|                             8880                             | [IBM WebSphere Application Server](https://zh.wikipedia.org/wiki/IBM_WebSphere_Application_Server) [简单对象访问协议](https://zh.wikipedia.org/wiki/简单对象访问协议) Connector port |        |
|                           8881/TCP                           | [Atlasz Informatics Research Ltd](https://zh.wikipedia.org/w/index.php?title=Atlasz_Informatics_Research_Ltd&action=edit&redlink=1) Secure Application Server | 非官方 |
|                           8882/TCP                           | [Atlasz Informatics Research Ltd](https://zh.wikipedia.org/w/index.php?title=Atlasz_Informatics_Research_Ltd&action=edit&redlink=1) Secure Application Server | 非官方 |
|                         8888/TCP,UDP                         | [NewsEDGE](https://zh.wikipedia.org/w/index.php?title=NewsEDGE&action=edit&redlink=1) server |  官方  |
|                           8888/TCP                           | [Sun Answerbook](https://zh.wikipedia.org/w/index.php?title=Sun_Answerbook&action=edit&redlink=1) [网页服务器](https://zh.wikipedia.org/wiki/网页伺服器) server (deprecated by [docs.sun.com](https://web.archive.org/web/20080222182837/http://docs.sun.com/app/docs)) | 非官方 |
|                           8888/TCP                           | [GNUmp3d](https://zh.wikipedia.org/w/index.php?title=GNUmp3d&action=edit&redlink=1) HTTP music streaming and web interface port | 非官方 |
|                           8888/TCP                           | [英雄大作战](https://zh.wikipedia.org/wiki/英雄大作战) Network Game Server | 非官方 |
|                           9000/TCP                           |                Buffalo LinkSystem web access                 | 非官方 |
|                           9000/TCP                           | [DBGp](https://zh.wikipedia.org/w/index.php?title=DBGp&action=edit&redlink=1) | 非官方 |
|                           9000/UDP                           | [UDPCast](https://zh.wikipedia.org/w/index.php?title=UDPCast&action=edit&redlink=1) | 非官方 |
|                             9000                             |      [PHP](https://zh.wikipedia.org/wiki/PHP) - php-fpm      | 非官方 |
|                             9001                             |              cisco-xremote router configuration              | 非官方 |
|                             9001                             | [Tor](https://zh.wikipedia.org/wiki/Tor) network default port | 非官方 |
|                           9001/TCP                           | [DBGp](https://zh.wikipedia.org/w/index.php?title=DBGp&action=edit&redlink=1) Proxy | 非官方 |
|                             9002                             | Default [ElasticSearch](https://zh.wikipedia.org/w/index.php?title=ElasticSearch&action=edit&redlink=1) port |        |
|                         9009/TCP,UDP                         | [Pichat Server](https://zh.wikipedia.org/w/index.php?title=Pichat&action=edit&redlink=1) - Peer to peer chat software |  官方  |
|                           9043/TCP                           | [IBM WebSphere Application Server](https://zh.wikipedia.org/wiki/IBM_WebSphere_Application_Server) Administration Console secure port |        |
|                           9060/TCP                           | [IBM WebSphere Application Server](https://zh.wikipedia.org/wiki/IBM_WebSphere_Application_Server) Administration Console |        |
|                           9100/TCP                           | [Jetdirect](https://zh.wikipedia.org/w/index.php?title=Jetdirect&action=edit&redlink=1) HP Print Services |  官方  |
|                           9110/UDP                           | [SSMP](https://zh.wikipedia.org/w/index.php?title=SSMP&action=edit&redlink=1) Message protocol | 非官方 |
|                             9101                             | [Bacula](https://zh.wikipedia.org/w/index.php?title=Bacula&action=edit&redlink=1) Director |  官方  |
|                             9102                             | [Bacula](https://zh.wikipedia.org/w/index.php?title=Bacula&action=edit&redlink=1) File Daemon |  官方  |
|                             9103                             | [Bacula](https://zh.wikipedia.org/w/index.php?title=Bacula&action=edit&redlink=1) Storage Daemon |  官方  |
|                         9119/TCP,UDP                         | [Mxit](https://zh.wikipedia.org/wiki/Mxit) Instant Messenger |  官方  |
|                           9535/TCP                           |                    man, Remote Man Server                    |        |
|                             9535                             |          mngsuite - Management Suite Remote Control          |  官方  |
|                         9800/TCP,UDP                         | [基于Web的分布式编写和版本控制](https://zh.wikipedia.org/wiki/基于Web的分布式编写和版本控制) Source Port |  官方  |
|                             9800                             | [WebCT](https://zh.wikipedia.org/wiki/WebCT) e-learning portal | 非官方 |
|                             9999                             | [Hydranode](https://zh.wikipedia.org/w/index.php?title=Hydranode&action=edit&redlink=1) - edonkey2000 telnet control port | 非官方 |
|                             9999                             |                     Urchin Web Analytics                     | 非官方 |
|                            10000                             | [Webmin](https://zh.wikipedia.org/w/index.php?title=Webmin&action=edit&redlink=1) - web based Linux admin tool | 非官方 |
|                            10000                             | [BackupExec](https://zh.wikipedia.org/w/index.php?title=BackupExec&action=edit&redlink=1) | 非官方 |
