---
title: ASCII Code
date: 2023-01-05 12:44:21
tags:
    - ASCII
    - code
    - Table
categories:
  - Other
intro: |
  This cheatsheet is a complete list of ASCII Code Table with their numbers and names.
---
ASCII Code Table {.cols-1}
---------------
### ASCII Code Table
| Symbol                             | Dec  | Oct  | Hex  | Bin      |
| )                                  | 41   | 51   | 29   | 101001   |
| *                                  | 42   | 52   | 2A   | 101010   |
| +                                  | 43   | 53   | 2B   | 101011   |
| ,                                  | 44   | 54   | 2C   | 101100   |
| -                                  | 45   | 55   | 2D   | 101101   |
| .                                  | 46   | 56   | 2E   | 101110   |
| /                                  | 47   | 57   | 2F   | 101111   |
| 0                                  | 48   | 60   | 30   | 110000   |
| 1                                  | 49   | 61   | 31   | 110001   |
| 2                                  | 50   | 62   | 32   | 110010   |
| 3                                  | 51   | 63   | 33   | 110011   |
| 4                                  | 52   | 64   | 34   | 110100   |
| 5                                  | 53   | 65   | 35   | 110101   |
| 6                                  | 54   | 66   | 36   | 110110   |
| 7                                  | 55   | 67   | 37   | 110111   |
| 8                                  | 56   | 70   | 38   | 111000   |
| 9                                  | 57   | 71   | 39   | 111001   |
| :                                  | 58   | 72   | 3A   | 111010   |
| ;                                  | 59   | 73   | 3B   | 111011   |
| &lt;                               | 60   | 74   | 3C   | 111100   |
| =                                  | 61   | 75   | 3D   | 111101   |
| &gt;                               | 62   | 76   | 3E   | 111110   |
| ?                                  | 63   | 77   | 3F   | 111111   |
| @                                  | 64   | 100  | 40   | 1000000  |
| A                                  | 65   | 101  | 41   | 1000001  |
| B                                  | 66   | 102  | 42   | 1000010  |
| C                                  | 67   | 103  | 43   | 1000011  |
| D                                  | 68   | 104  | 44   | 1000100  |
| E                                  | 69   | 105  | 45   | 1000101  |
| F                                  | 70   | 106  | 46   | 1000110  |
| G                                  | 71   | 107  | 47   | 1000111  |
| H                                  | 72   | 110  | 48   | 1001000  |
| I                                  | 73   | 111  | 49   | 1001001  |
| J                                  | 74   | 112  | 4A   | 1001010  |
| K                                  | 75   | 113  | 4B   | 1001011  |
| L                                  | 76   | 114  | 4C   | 1001100  |
| M                                  | 77   | 115  | 4D   | 1001101  |
| N                                  | 78   | 116  | 4E   | 1001110  |
| O                                  | 79   | 117  | 4F   | 1001111  |
| P                                  | 80   | 120  | 50   | 1010000  |
| Q                                  | 81   | 121  | 51   | 1010001  |
| R                                  | 82   | 122  | 52   | 1010010  |
| S                                  | 83   | 123  | 53   | 1010011  |
| T                                  | 84   | 124  | 54   | 1010100  |
| U                                  | 85   | 125  | 55   | 1010101  |
| V                                  | 86   | 126  | 56   | 1010110  |
| W                                  | 87   | 127  | 57   | 1010111  |
| X                                  | 88   | 130  | 58   | 1011000  |
| Y                                  | 89   | 131  | 59   | 1011001  |
| Z                                  | 90   | 132  | 5A   | 1011010  |
| [                                  | 91   | 133  | 5B   | 1011011  |
| \                                  | 92   | 134  | 5C   | 1011100  |
| ]                                  | 93   | 135  | 5D   | 1011101  |
| ^                                  | 94   | 136  | 5E   | 1011110  |
| _                                  | 95   | 137  | 5F   | 1011111  |
| \`                    | 96   | 140  | 60   | 1100000  |
| a                                  | 97   | 141  | 61   | 1100001  |
| b                                  | 98   | 142  | 62   | 1100010  |
| c                                  | 99   | 143  | 63   | 1100011  |
| d                                  | 100  | 144  | 64   | 1100100  |
| e                                  | 101  | 145  | 65   | 1100101  |
| f                                  | 102  | 146  | 66   | 1100110  |
| g                                  | 103  | 147  | 67   | 1100111  |
| h                                  | 104  | 150  | 68   | 1101000  |
| i                                  | 105  | 151  | 69   | 1101001  |
| j                                  | 106  | 152  | 6A   | 1101010  |
| k                                  | 107  | 153  | 6B   | 1101011  |
| l                                  | 108  | 154  | 6C   | 1101100  |
| m                                  | 109  | 155  | 6D   | 1101101  |
| n                                  | 110  | 156  | 6E   | 1101110  |
| o                                  | 111  | 157  | 6F   | 1101111  |
| p                                  | 112  | 160  | 70   | 1110000  |
| q                                  | 113  | 161  | 71   | 1110001  |
| r                                  | 114  | 162  | 72   | 1110010  |
| s                                  | 115  | 163  | 73   | 1110011  |
| t                                  | 116  | 164  | 74   | 1110100  |
| u                                  | 117  | 165  | 75   | 1110101  |
| v                                  | 118  | 166  | 76   | 1110110  |
| w                                  | 119  | 167  | 77   | 1110111  |
