    Warning	C4244	'argument': conversion from 'double' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\embedding.h	108	
    Warning	C4251	'torch::nn::PoissonNLLLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::PoissonNLLLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	251	
    Warning	C4251	'torch::nn::MarginRankingLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::MarginRankingLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	265	
    Warning	C4251	'torch::nn::NLLLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::NLLLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	284	
    Warning	C4251	'torch::nn::CrossEntropyLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::CrossEntropyLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	302	
    Warning	C4251	'torch::nn::BCEWithLogitsLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::BCEWithLogitsLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	316	
    Warning	C4251	'torch::nn::LayerNormOptions::normalized_shape_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::nn::LayerNormOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\normalization.h	16	
    Warning	C4251	'torch::nn::functional::LayerNormFuncOptions::normalized_shape_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::LayerNormFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\normalization.h	33	
    Warning	C4251	'torch::nn::functional::NormalizeFuncOptions::out_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::NormalizeFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\normalization.h	95	
    Warning	C4251	'torch::nn::ReflectionPadOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::ReflectionPadOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	22	
    Warning	C4251	'torch::nn::ReplicationPadOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::ReplicationPadOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	44	
    Warning	C4251	'torch::nn::ZeroPad2dOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::ZeroPad2dOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	65	
    Warning	C4251	'torch::nn::ConstantPadOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::ConstantPadOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	81	
    Warning	C4251	'torch::nn::functional::PadFuncOptions::pad_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::PadFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	111	
    Warning	C4251	'torch::nn::functional::PadFuncOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::PadFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\padding.h	114	
    Warning	C4244	'initializing': conversion from '_Ty' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\pooling.h	651	
    Warning	C4244	'initializing': conversion from '_Ty' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\pooling.h	652	
