## PolarDB 开源版 通过rdkit 支撑生物、化学分子结构数据存储与计算、分析   
### 作者                  
digoal                  
### 日期                  
2022-12-28                  
### 标签                  
PostgreSQL , PolarDB , rdkit , 生物 , 化学 , 分子 , 图 , 计算 , 索引 , 分析 , 查询           
----                  
## 背景    
PolarDB 的云原生存算分离架构, 具备低廉的数据存储、高效扩展弹性、高速多机并行计算能力、高速数据搜索和处理; PolarDB与计算算法结合, 将实现双剑合璧, 推动业务数据的价值产出, 将数据变成生产力.                  
本文将介绍PolarDB 开源版 通过rdkit 支撑生物、化学分子结构数据存储与计算、分析    
测试环境为macOS+docker, PolarDB部署请参考下文:                  
- [《如何用 PolarDB 证明巴菲特的投资理念 - 包括PolarDB简单部署》](../202209/20220908_02.md)       
## rdkit 介绍
分子具有连接、分形、图、组合的特征, 低级生命组成高级生命, 众多高级生命组成社会, 众多低维生物通过分形组成高维生物.     
- [《用PostgreSQL 递归SQL与plpgsql函数 绘制分形图 - 曼德勃罗集(Mandelbrot-上帝的指纹) 和 Julia 集 - `z->z^2+c`》](../202208/20220818_02.md)    
https://www.rdkit.org/docs/Overview.html  
- Business-friendly BSD license  
- Core data structures and algorithms in C++  
- Python 3.x wrappers generated using Boost.Python  
- Java and C# wrappers generated with SWIG  
- 2D and 3D molecular operations  
- Descriptor generation for machine learning  
- Molecular database cartridge for PostgreSQL  
- Cheminformatics nodes for KNIME (distributed from the KNIME community site: https://www.knime.com/rdkit)  
PolarDB 通过rdkit插件实现生物、化学分子结构数据存储与计算、分析. (相似搜索、子结构或精确匹配搜索、分子比较等)  
https://www.rdkit.org/docs/Cartridge.html  
数据类型  
```  
postgres=#  \dT  
        List of data types  
 Schema |   Name    | Description   
--------+-----------+-------------  
 public | bfp       | a bit vector fingerprint   
 public | _internal |   
 public | mol       | an rdkit molecule.  
 public | qmol      | an rdkit molecule containing query features  
 public | reaction  |   
 public | sfp       | a sparse count vector fingerprint   
(6 rows)  
```  
操作符  
```  
postgres=# \do+  
                                            List of operators  
 Schema | Name | Left arg type | Right arg type |   Result type    |        Function        | Description   
--------+------+---------------+----------------+------------------+------------------------+-------------  
 public | #    | bfp           | bfp            | boolean          | public.dice_sml_op     |   
 public | #    | sfp           | sfp            | boolean          | public.dice_sml_op     |   
 public | %    | bfp           | bfp            | boolean          | public.tanimoto_sml_op |   
 public | %    | sfp           | sfp            | boolean          | public.tanimoto_sml_op |   
 public |   | bfp           | bfp            | double precision | dice_dist              |   
 public |   | bfp           | bfp            | double precision | tanimoto_dist          |   
 public |    | bfp           | bfp            | boolean          | bfp_ne                 |   
 public | <>   | mol           | mol            | boolean          | mol_ne                 |   
 public | <>   | reaction      | reaction       | boolean          | reaction_ne            |   
 public | <>   | sfp           | sfp            | boolean          | sfp_ne                 |   
 public |     | bfp           | bfp            | boolean          | bfp_gt                 |   
 public | >    | mol           | mol            | boolean          | mol_gt                 |   
 public | >    | sfp           | sfp            | boolean          | sfp_gt                 |   
 public | >=   | bfp           | bfp            | boolean          | bfp_ge                 |   
 public | >=   | mol           | mol            | boolean          | mol_ge                 |   
 public | >=   | sfp           | sfp            | boolean          | sfp_ge                 |   
 public | ?   | reaction      | reaction       | boolean          | substructfp            |   
 public | @=   | mol           | mol            | boolean          | mol_eq                 |   
 public | @=   | reaction      | reaction       | boolean          | reaction_eq            |   
 public | @>   | mol           | mol            | boolean          | public.substruct       |   
 public | @>   | mol           | qmol           | boolean          | public.substruct       |   
 public | @>   | reaction      | reaction       | boolean          | public.substruct       |   
(36 rows)  
```  
函数  
```  
postgres=# \df  
                                                                             List of functions  
 Schema |             Name             | Result data type |                                           Argument data types                                            | Type   
 public | gslfp_picksplit              | internal         | internal, internal                                                                                       | func  
 public | gslfp_same                   | internal         | bytea, bytea, internal                                                                                   | func  
 public | gslfp_union                  | integer[]        | bytea, internal                                                                                          | func  
 public | has_reaction_substructmatch  | SETOF reaction   | queryreaction character, tablename regclass, columnname text                                             | func  
 public | is_valid_ctab                | boolean          | cstring                                                                                                  | func  
 public | is_valid_mol_pkl             | boolean          | bytea                                                                                                    | func  
 public | is_valid_smarts              | boolean          | cstring                                                                                                  | func  
 public | is_valid_smiles              | boolean          | cstring                                                                                                  | func  
 public | layered_fp                   | bfp              | mol                                                                                                      | func  
 public | maccs_fp                     | bfp              | mol                                                                                                      | func  
 public | mol_adjust_query_properties  | mol              | mol, cstring DEFAULT ''::cstring                                                                         | func  
 public | mol_adjust_query_properties  | qmol             | qmol, cstring DEFAULT ''::cstring                                                                        | func  
 public | mol_amw                      | real             | mol                                                                                                      | func  
 public | mol_chi0n                    | real             | mol                                                                                                      | func  
 public | mol_chi0v                    | real             | mol                                                                                                      | func  
 public | mol_chi1n                    | real             | mol                                                                                                      | func  
 public | mol_chi1v                    | real             | mol                                                                                                      | func  
 public | mol_chi2n                    | real             | mol                                                                                                      | func  
