 	- 5.27 [Samba远程代码执行漏洞(CVE-2017-7494)-SambaCry分析报告](http://bobao.360.cn/learning/detail/3915.html)
	- 7.17 [利用qq钓鱼或者定位女友是否回家](http://www.freebuf.com/articles/web/140111.html)
	- 7.17 [(New) Become A Professional Hacker — 9 Online Training Courses](http://thehackernews.com/2017/07/ethical-hacking-online-training.html)
	- 7.18 [macOS软件安全工程师技能表](http://www.52pojie.cn/thread-624911-1-1.html)
	- 7.18 [iOS软件安全工程师技能表](http://www.52pojie.cn/thread-624909-1-1.html)
	- 7.18 [跨平台恶意软件Adwind卷土重来，这一次倒霉的是航空航天领域](http://www.freebuf.com/articles/system/140200.html)
	- 7.18 [对某品牌无人机的研究与劫持实验](http://www.freebuf.com/news/140453.html)
	- 7.18 [Malware Targets NAS Devices Via SambaCry Exploit](http://www.securityweek.com/malware-targets-nas-devices-sambacry-exploit)
	- 7.18 [Q1 2017 Mobile Threat Intelligence Report – 10 Years of (Hacking) iOS](https://www.skycure.com/resource/threat-reports/q1-2017-mobile-threat-intelligence-report-10-years-of-hacking-ios/)
	- 7.18 [Migrating an embedded Android setup: HAL (Part 3)](https://www.inovex.de/blog/migrating-an-embedded-android-setup-hal/)
	- 7.18 [Android as we know it is dead, but it's not going to go away](http://www.zdnet.com/article/android-as-we-know-it-is-dead-but-its-not-going-to-go-away/)
	- 7.18 [Hacker Uses A Simple Trick to Steal $7 Million Worth of Ethereum Within 3 Minutes](http://thehackernews.com/2017/07/ethereum-cryptocurrency-heist.html)
	- 7.18 [​FBI to parents: Beware, your kid's smart toy could be a security risk](http://www.zdnet.com/article/fbi-to-parents-beware-your-kids-smart-toy-could-be-a-security-risk/)
	- 7.19 [2017年全球数据泄露成本研究报告解读](http://www.freebuf.com/news/140456.html)
	- 7.19 [重放攻击无线键盘实验，篡改你的输入信息](http://www.freebuf.com/geek/140837.html)
	- 7.19 [WinPayloads：一个可以绕过安全检查的Windowspayload生成器](http://www.freebuf.com/sectool/140794.html)
	- 7.19 [如何通过结合威胁情报实施情报驱动的防御](https://www.sec-un.org/%e5%a6%82%e4%bd%95%e9%80%9a%e8%bf%87%e7%bb%93%e5%90%88%e5%a8%81%e8%83%81%e6%83%85%e6%8a%a5%e5%ae%9e%e6%96%bd%e6%83%85%e6%8a%a5%e9%a9%b1%e5%8a%a8%e7%9a%84%e9%98%b2%e5%be%a1/)
	- 7.19 [Google introduces new protections to prevent app-based account compromise](https://www.helpnetsecurity.com/2017/07/19/google-introduces-new-protections/)
	- 7.19 [苹果新专利：通过指纹识别悄悄报警](http://www.pingwest.com/wire/touch-id-emergency-call/)
	- 7.20 [Vault 7 系列“阴影”项目曝光：雷神公司暗中为 CIA 提供恶意程序分析](http://www.freebuf.com/news/141003.html)
	- 7.19 [Targeted, custom ransomware menace rears its ugly head](https://www.theregister.co.uk/2017/07/19/custom_ransomware/)
	- 7.20 [A King’s Ransom It is Not](http://securelist.com/a-kings-ransom-it-is-not/79057/)
	- 7.20 [【木马分析】顺藤摸瓜：一个专黑建筑行业的QQ黏虫团伙现形记](http://bobao.360.cn/learning/detail/4130.html)
	- 7.20 [Rurktar - Spyware under Construction](https://www.gdatasoftware.com/blog/2017/07/29896-rurktar-spyware-under-construction)
	- 7.20 [Zimperium zLabs iOS Security Advisories](https://blog.zimperium.com/zimperium-zlabs-ios-security-advisories/)
	- 7.20 [身份互联网(IoI)来了 IAM将大放异彩](http://www.aqniu.com/learn/26776.html)
	- 7.20 [No one still thinks iOS is invulnerable to malware, right? Well, knock it off](https://www.theregister.co.uk/2017/07/20/ios_security_skycure/)
	- 7.20 [Hackers are using hotel Wi-Fi to spy on guests, steal data](http://www.zdnet.com/article/hackers-are-using-hotel-wi-fi-to-spy-on-guests-steal-data/)
	- 7.21 [移动互联网勒索现象研究报告](http://www.freebuf.com/news/140553.html)
