23.10.1 Windows应用程序编辑器
32.3.4 XAML视图
32.3.5 延迟加载
32.4 命令
32.5 已编译的数据绑定
32.5.1 已编译绑定的生命周期
32.5.2 给已编译的数据模板使用资源
32.6 控件
32.6.1 TextBox控件
32.6.2 AutoSuggest
32.6.3 Inking
32.6.4 读写笔触的选择器
32.7 小结
第33章 高级Windows应用程序
33.1 概述
33.2 应用程序的生命周期
33.3 应用程序的执行状态
33.4 导航状态
33.4.1 暂停应用程序
33.4.2 激活暂停的应用程序
33.4.3 测试暂停
33.4.4 页面状态
33.5 共享数据
33.5.1 共享源
33.5.2 共享目标
33.6 应用程序服务
33.6.1 创建模型
33.6.2 为应用程序服务连接创建后台任务
33.6.3 注册应用程序服务
33.6.4 调用应用程序服务
33.7 相机
33.8 Geolocation和MapControl
33.8.1 使用MapControl
33.8.2 使用Geolocator定位信息
33.8.3 街景地图
33.8.4 继续请求位置信息
33.9 传感器
33.9.1 光线
33.9.2 罗盘
33.9.3 加速计
33.9.4 倾斜计
33.9.5 陀螺仪
33.9.6 方向
33.9.7 Rolling Marble示例
33.10 小结
第34章 带WPF的Windows桌面应用程序
34.1 概述
34.2 控件
34.2.1 简单控件
34.2.2 内容控件
34.2.3 带标题的内容控件
34.2.4 项控件
34.2.5 带标题的项控件
34.2.6 修饰
