 PEX_AUTOCONFIG_BAGG_CREATE,[STRING] was created by the PEX   auto-config feature.,$1：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_BAGG_CREATE:   Bridge-Aggregation10 was created by the PEX auto-config feature.,父设备运行IRF3.1系统自动配置功能时，自动创建二层聚合接口用来作级联接口,不需要处理
 PEX_AUTOCONFIG_NUMBER_ASSIGN,Virtual slot number [UINT32] was assigned   on [STRING].（集中式）   Virtual chassis number [UINT32] was assigned   on [STRING].（分布式）,$1：虚拟槽位号（集中式）   $1：虚拟框号（分布式）   $2：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_NUMBER_ASSIGN: Virtual   slot number 100 was assigned on Bridge-Aggregation 10.（集中式）   PEX/5/PEX_AUTOCONFIG_NUMBER_ASSIGN: Virtual   chassis number 100 was assigned on Bridge-Aggregation 10.（分布式）,父设备运行IRF3.1系统自动配置功能时，在连接PEX的二层聚合接口上，自动为PEX分配虚拟框号/虚拟槽位号,不需要处理
 PEX_LLDP_DISCOVER,"Discover peer device on interface   [STRING]: MAC=STRING, priority=UINT32.",$1：接口名称   $2：对端MAC地址    $3：PEX设备上行口的优先级,5,"PEX/5/PEX_LLDP_DISCOVER: Discover peer   device on interface Ten-GigabitEthernet1/0/1: MAC=20f4-9cb6-0100, priority=0.",父设备或PEX设备通过LLDP协议发现对端,正常状态，无需任何处理
 PEX_MEMBERID_EXCEED,"To use the IRF fabric connected to   interface %s as a PEX, the IRF member ID must be in the range of 1 to 4.",$1：接口名称,4,"PEX/4/PEX_MEMBERID_EXCEED: To use the IRF   fabric connected to interface Bridge-Aggregation1 as a PEX, the IRF member ID   must be in the range of 1 to 4.",设备作为PEX加入IRF3.1系统时，PEX设备的IRF成员编号必须在1~4范围以内,请检查PEX设备的IRF成员编号是否在1～4范围之内。如果不是，用户可登录PEX设备，用irf member renumber命令修改PEX设备的成员编号
 PEX_PECSP_OPEN_RCVD,Received a CSP Open message on interface   [STRING].,$1：接口名称,5,PEX/5/PEX_PECSP_OPEN_RCVD: Received a CSP   Open message on interface Bridge-Aggregation1.,接口收到PE   CSP协议的OPEN报文，表示对端请求建立连接。如果双方均能在发送请求后60秒内接收到对端回复的OPEN报文，则父设备和PEX之间的连接建立成功,正常状态，无需任何处理
 PEX_PECSP_OPEN_SEND,Sent a CSP Open message on interface   [STRING].,$1：接口名称,5,PEX/5/PEX_PECSP_OPEN_SEND: Sent a CSP Open   message on interface Bridge-Aggregation1.,父设备级联口或PEX设备上行口发送PE CSP协议的OPEN报文，表示请求与对方建立连接。如果双方均能在发送请求后60秒内接收到对端回复的OPEN报文，则父设备和PEX之间的连接建立成功,正常状态，无需任何处理
 PEX_PECSP_TIMEOUT,PE CSP timed out on interface [STRING].,$1：接口名称,4,PEX/4/PEX_PECSP_TIMEOUT: PE CSP timed out   on interface Bridge-Aggregation1.,PE CSP协议超时，PEX设备和父设备无法建立连接,请检查父设备和PEX之间链路和IRF3.1相关配置
 PFILTER_GLB_RES_CONFLICT,Failed to apply or refresh [STRING] ACL [UINT]   to the [STRING] direction globally. [STRING] ACL [UINT] has already been   applied globally.,$1：ACL版本   $2：ACL编号   $3：流量方向   $4：ACL类型   $5：ACL编号,3,PFILTER/3/PFILTER_GLB_RES_CONFLICT: Failed   to apply or refresh IPv6 ACL 2000 to the inbound direction globally. IPv6 ACL   3000 has already been applied globally.,IPv4、IPv6、MAC类型的ACL在某方向上全局应用了，系统无法在此方向上全局应用或更新相同类型的ACL规则,删除相同类型的ACL
 PFILTER_GLB_IPV4_DACT_NO_RES,Failed to apply or refresh the IPv4   default action to the [STRING] direction globally. The resources are   insufficient.,$1：流量方向,3,PFILTER/3/PFILTER_GLB_IPV4_DACT_NO_RES:   Failed to apply or refresh the IPv4 default action to the inbound direction   globally. The resources are insufficient.,因硬件资源不足，系统无法在某个方向上全局应用或更新IPv4缺省动作,使用display qos-acl resource命令检查硬件资源使用情况
 PFILTER_GLB_IPV4_DACT_UNK_ERR,Failed to apply or refresh the IPv4   default action to the [STRING] direction globally.,$1：流量方向,3,PFILTER/3/PFILTER_GLB_IPV4_DACT_UNK_ERR:   Failed to apply or refresh the IPv4 default action to the inbound direction   globally.,因故障导致系统无法在某个方向上全局应用或更新IPv4缺省动作,无
 PFILTER_GLB_IPV6_DACT_NO_RES,Failed to apply or refresh the IPv6   default action to the [STRING] direction globally. The resources are   insufficient.,$1：流量方向,3,PFILTER/3/PFILTER_GLB_IPV6_DACT_NO_RES:   Failed to apply or refresh the IPv6 default action to the inbound direction   globally. The resources are insufficient.,因硬件资源不足，系统无法在某个方向上全局应用或更新IPv6缺省动作,使用display   qos-acl resource命令检查硬件资源使用情况
