对设备是否加入了严格的权限控制，防止攻击者对设备进行连接调试，分析转账中功能实现部分，交易过程中本地数据读取等。
3.2.2 是否允许用户对设备存储区进行读写
对于设备存储区，是否有做严格加密，对存储区的权限控制是否严格，如不严格，则会被黑客进行拆机对存储区做分析提取数据。
3.2.3 是否允许用户对设备内存进行转储分析
对设备被调试是否有做检测，防止内存数据泄露，如未做相关设计，则会导致黑客进行数据采集和逆向分析。
3.2.4 是否采用加密芯片
私钥存储是否采用加密芯片保存相关信息，运行系统和私钥存储是否分离，如未采用，则安全性相对会低。
### 3.3业务功能实现机制
3.3.1设备使用密码设置
是否提醒用户设置解锁密码，解锁手势或指纹解锁，错误密码解锁时间周期，设备交易密码强度是否为较高，如未有完善的密码设置控制，则在设备丢失后无法被人直接进入查看个人隐私信息，进行交易。
3.3.2创建钱包助记词安全
新用户使用钱包时创建助记词，私钥过程是否安全，是否本地保存，本地保存如何来做，如相关功能设计未考虑安全性，则会导致相关数据被逆向调试分析泄露，对用户钱财造成损失。
3.3.3交易过程安全
对于收账地址是否完全显示，是否有验证地址被修改，如未校验，则容易使用户转账转错，钱财受到损失。。
3.3.4数据存储安全
有哪些数据是保存在存储设备上，私钥储存方式如何，是否保存在设备存储卡上，被外部获取，如相关功能设计不完善，则容易被黑客攻击。
3.3.5系统完整性安全
设备系统是否有严格的完整性校验，用于自检设备是否被人刷机，正品保障，否则容易在设备出厂经销地方被黑客或攻击者进行篡改。
## 四、总结
现阶段，市面上有大量良莠不齐的数字货币钱包存在，而不少开发团队在以业务优先的原则下，暂时对自身钱包产品的安全性并未做到足够的防护，一旦出现安全性问题会导致大量用户出现账户货币被盗，而由于数字货币实现的特殊性，被盗资产非常难以追回，因此钱包的安全性是至关重要的。我们团队会不断跟进钱包安全，为区块链生态安全贡献一份力量。
对于漏洞等级的相关说明，我们做了一下总结，如下表：
名称
| 等级 | 危害  
云服务器未做访问控制 | 中级 | 服务器未做访问控制  
服务器未进行日志审计 | 中级 | 服务器未定期审计日志可能会导致黑客长期控制服务器  
核心代码泄露 | 中级 | 服务器和数字钱包核心代码泄露容易被黑客获取到审计出漏洞  
服务器应用存在漏洞 | 中级 | 存在漏洞的服务器容易被黑客攻击，泄露用户敏感数据  
服务器未实行环境隔离 | 中级 | 服务器未实现运行环境隔离可能会导致其它恶意应用窃取到用户敏感数据  
云存储不安全配置 | 中级 | 使用第三方云存储上存储数字钱包数据时需做严格权限控制  
硬件钱包无丢失应急机制 | 中级 | 当用户丢失硬件钱包，如无丢失应急机制，可能导致账户被盗  
硬件钱包可调式 | 中级 | 硬件钱包可调式可导致程序运行时关键数据泄露  
硬件钱包固件可读写 | 中级 | 攻击者可以通过芯片引脚进行固件的提取，导致固件被逆向分析  
硬件钱包芯片未加密 | 中级 | 未加密的芯片降低了被逆向分析的难度  
硬件钱包未设置密码 | 中级 | 硬件钱包未设置密码可能在丢失后被直接用于转账，令用户处于极高的风险下  
硬件钱包存储不安全 | 中级 | 如果存储设备可读写会导致敏感信息的泄露  
硬件钱包固件完整性未校验 | 中级 | 未检测固件完整性，可能导致固件被篡改，植入恶意代码导致交易风险  
https证书不严格校验 | 中级 |
证书不严格校验可导致中间人攻击  
图：4-1 漏洞风险等级列表
## 五、关于我们
360信息安全部致力于保护内部安全和业务安全，抵御外部恶意网络攻击，并逐步形成了一套自己的安全防御体系，积累了丰富的安全运营和对突发安全事件应急处理经验，建立起了完善的安全应急响应系统，对安全威胁做到早发现，早解决，为安全保驾护航。技术能力处于业内领先水平，培养出了较多明星安全团队及研究员，研究成果多次受国内外厂商官方致谢，如微软、谷歌、苹果等，多次受邀参加国内外安全大会议题演讲。目前主要研究方向有[区块链安全](https://bcsec.360.cn)、WEB安全、移动安全（Android、iOS）、网络安全、云安全、IOT安全、等多个方向，基本覆盖互联网安全主要领域。
**区块链生态安全解决方案，了解更多请点击** ——360区块链安全：
