 DOT1X_SMARTON_FAILURE,-IfName=[STRING]-MACAddr=[STRING]; User   failed SmartOn authentication because [STRING].,$1：接口名   $2：MAC地址   $3：失败原因，包括如下取值：   ·the password was wrong.：密码错误   ·the switch ID was wrong.：Switch ID错误,6,DOT1X/6/DOT1X_SMARTON_FAILURE:-IfName=GigabitEthernet1/0/4-MACAddr=0010-8400-22b9;   User failed SmartOn authentication because the password is mismatched.,SmartOn认证失败，及其原因,根据失败原因修改相关配置
 DRNI_IFEVENT_IPP_DOWN,IPP [STRING] went down.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_IPP_DOWN: IPP Bridge-Aggregation1   went down.,IPP口变为DOWN状态，触发该日志的原因为DR系统两端不能正常收发Drcp协议报文,·检查DR设备的系统配置，系统优先级、系统MAC地址、系统编号，是否已配置且一致   ·检查配置为IPP口的二层聚合接口状态
 DRNI_IFEVENT_IPP_UNBIND,Configuration for IPP [UINT16] was   removed from interface [STRING].,$1：IPP口编号   $2：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_IPP_UNBIND: Configuration   for IPP 1 was removed from interface Bridge-Aggregation1.,删除IPP口，触发该日志的原因为用户设置,无
 DRNI_IFEVENT_IPP_UP,IPP [STRING] came up.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_IPP_UP: IPP Bridge-Aggregation1   came up.,IPP口变为UP状态，触发该日志的原因为DR系统两端能正常收发Drcp协议报文,无
 DRNI_IPP_BLOCK,The status of IPP [STRING] changed to   blocked.,$1：二层聚合接口,6,DRNI/6/DRNI_IPP_BLOCK: -MDC=1; The status   of IPP Bridge-Aggregation20 changed to blocked.,IPP口变为阻塞状态，该状态下IPP口仅能收发协议报文，不能收发数据报文。触发该日志的原因为当设备有角色且IPP口down时，IPP口变为阻塞状态,·检查IPL连接线缆是否正常   ·检查IPL两端配置是否一致
 DRNI_IPP_UNBLOCK,The status of IPP [STRING] changed to   unblocked.,$1：二层聚合接口,6,DRNI/6/DRNI_IPP_UNBLOCK: -MDC=1; The   status of IPP Bridge-Aggregation20 changed to unblocked.,IPP口变为非阻塞状态，该状态下IPP口可以正常收发协议报文和数据报文。触发该日志的原因为当设备有角色且IPP口up时，IPP口变为非阻塞状态,无
 DRNI_KEEPALIVEINTERVAL_MISMATCH,Keepalive interval on the local DR device   was different than on the neighbor.,无,6,DRNI/6/DRNI_KEEPALIVEINTERVAL_MISMATCH: Keepalive   interval on the local DR device was different than on the neighbor.,DR系统两端的Keepalive报文发包间隔配置的不一致，会导致一端快速超时，出现误检测，触发该日志的原因为DR系统两端配置的Keepalive报文发包间隔不一致,将DR系统两端的Keepalive报文发包间隔配置一致
 DRNI_KEEPALIVELINK_DOWN,Keepalive link went down.,无,6,DRNI/6/DRNI_KEEPALIVELINK_DOWN: Keepalive   link went down.,KEEPALIVE链路变为DOWN状态，触发该日志的原因为DR系统两端不能正常收发Keepalive协议报文,·检查所选取的三层链路状态   ·检查DR设备的Keepalive配置，两端源IP、目的IP是否匹配
 DRNI_KEEPALIVELINK_UP,Keepalive link came up.,无,6,DRNI/6/DRNI_KEEPALIVELINK_UP: Keepalive   link came up.,KEEPALIVE链路变为UP状态，触发该日志的原因为DR系统两端能正常收发Keepalive协议报文,无
 DRNI_SECONDARY_MADDOWN,All service interfaces on the secondary   device changed to the MAD ShutDown state because the IPL went down. Please   check the settings on the DR devices on both ends of the IPL.,无,4,DRNI/6/DRNI_SECONDARY_MADDOWNN: All   service interfaces on the secondary device changed to the MAD ShutDown state   because the IPL went down. Please check the settings on the DR devices on   both ends of the IPL.,IPL down时，Secondary设备会关闭所有业务接口,检查IPL两端配置
 DRNI_SYSEVENT_DEVICEROLE_CHANGE,Device role changed from [STRING] to [STRING].,$1：旧的设备角色   $2：新的设备角色,6,DRNI/6/DRNI_SYSEVENT_DEVICEROLR_CHANGE: Device   role changed from Secondary to Primary.,分布式聚合系统设备角色变化，触发该日志的原因为用户设置,无
