::: titlepage
# []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#ref_overview-of-xdp-features-by-network-cards_assembly_understanding-the-ebpf-features-in-rhel}网卡的 XDP 功能概述 {.title}
:::
以下是支持 XDP 的网卡概述以及您可以在它们中使用的 XDP 功能：
::: informaltable
+---------+---------+-------+--------+---------+---------+---------+
| 网卡    | 驱动    | Basic | 重定向 | 目标    | HW      | Ze      |
|         |         |       |        | mbly_un |         |         |
|         |         |       |        | derstan |         |         |
|         |         |       |        | ding-th |         |         |
|         |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
|         |         |       |        | -and-ma |         |         |
|         |         |       |        | naging- |         |         |
|         |         |       |        | network |         |         |
|         |         |       |        | ing.htm |         |         |
|         |         |       |        | l#ftn.r |         |         |
|         |         |       |        | equires |         |         |
|         |         |       |        | -queues |         |         |
|         |         |       |        | -ge-cpu |         |         |
|         |         |       |        | -index) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `       | 是    | 是     | yes     | 否      | 否      |
| PCI     | igb`{.l |       |        | [^\     |         |         |
| Express | iteral} |       |        | [a\]^]( |         |         |
| Gigabit |         |       |        | #assemb |         |         |
| 适配器  |         |       |        | ly_unde |         |         |
|         |         |       |        | rstandi |         |         |
|         |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | ftn.xdp |         |         |
|         |         |       |        | -on-int |         |         |
|         |         |       |        | erface) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `       | 是    | 是     | 是      | 否      | 是      |
| E       | igc`{.l |       |        |         |         |         |
| thernet | iteral} |       |        |         |         |         |
| Con     |         |       |        |         |         |         |
| troller |         |       |        |         |         |         |
| I225    |         |       |        |         |         |         |
| Family  |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `ix     | 是    | 是     | yes     | 否      | 是      |
| 10GbE   | gbe`{.l |       |        | [^\     |         |         |
| PCI     | iteral} |       |        | [a\]^]( |         |         |
| Express |         |       |        | #assemb |         |         |
| 适配器  |         |       |        | ly_unde |         |         |
|         |         |       |        | rstandi |         |         |
|         |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | ftn.xdp |         |         |
|         |         |       |        | -on-int |         |         |
|         |         |       |        | erface) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
|         |         |       |        | [       |         |         |
|         |         |       |        | ^\[b\]^ |         |         |
|         |         |       |        | ](#asse |         |         |
|         |         |       |        | mbly_un |         |         |
|         |         |       |        | derstan |         |         |
|         |         |       |        | ding-th |         |         |
|         |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
|         |         |       |        | -and-ma |         |         |
|         |         |       |        | naging- |         |         |
|         |         |       |        | network |         |         |
|         |         |       |        | ing.htm |         |         |
|         |         |       |        | l#ftn.r |         |         |
|         |         |       |        | equires |         |         |
|         |         |       |        | -queues |         |         |
|         |         |       |        | -ge-cpu |         |         |
|         |         |       |        | -index) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `ixgb   | 是    | 否     | 否      | 否      | 否      |
| 10GbE   | evf`{.l |       |        |         |         |         |
| PCI     | iteral} |       |        |         |         |         |
| Express |         |       |        |         |         |         |
| 虚      |         |       |        |         |         |         |
| 拟功能  |         |       |        |         |         |         |
| 以太网  |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| M       | `mlx4   | 是    | 否     | 否      | 否      | 否      |
| ellanox | _en`{.l |       |        |         |         |         |
| Techn   | iteral} |       |        |         |         |         |
| ologies |         |       |        |         |         |         |
| 1/10    |         |       |        |         |         |         |
| /40Gbit |         |       |        |         |         |         |
| E       |         |       |        |         |         |         |
| thernet |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| M       | `mlx5_c | 是    | 是     | yes     | 否      | 是      |
| ellanox | ore`{.l |       |        | [       |         |         |
| 第 5    | iteral} |       |        | ^\[b\]^ |         |         |
| 代      |         |       |        | ](#asse |         |         |
| 网络适  |         |       |        | mbly_un |         |         |
| 配器（C |         |       |        | derstan |         |         |
| onnectX |         |       |        | ding-th |         |         |
| 系列）  |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
|         |         |       |        | -and-ma |         |         |
|         |         |       |        | naging- |         |         |
|         |         |       |        | network |         |         |
|         |         |       |        | ing.htm |         |         |
|         |         |       |        | l#ftn.r |         |         |
|         |         |       |        | equires |         |         |
|         |         |       |        | -queues |         |         |
|         |         |       |        | -ge-cpu |         |         |
|         |         |       |        | -index) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Net     | `       | 是    | 否     | 否      | 是      | 否      |
| ronome® | nfp`{.l |       |        |         |         |         |
| N       | iteral} |       |        |         |         |         |
| FP4000/ |         |       |        |         |         |         |
| NFP6000 |         |       |        |         |         |         |
| NIC     |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| QLogic  | `q      | 是    | 是     | 是      | 否      | 否      |
| QED     | ede`{.l |       |        |         |         |         |
| 25/4    | iteral} |       |        |         |         |         |
| 0/100Gb |         |       |        |         |         |         |
| E       |         |       |        |         |         |         |
| thernet |         |       |        |         |         |         |
| NIC     |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Sol     | `       | 是    | 是     | yes     | 否      | 否      |
| arflare | sfc`{.l |       |        | [       |         |         |
| SFC9000 | iteral} |       |        | ^\[b\]^ |         |         |
| /SFC910 |         |       |        | ](#asse |         |         |
| 0/EF100 |         |       |        | mbly_un |         |         |
| -family |         |       |        | derstan |         |         |
|         |         |       |        | ding-th |         |         |
|         |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
|         |         |       |        | -and-ma |         |         |
|         |         |       |        | naging- |         |         |
|         |         |       |        | network |         |         |
|         |         |       |        | ing.htm |         |         |
|         |         |       |        | l#ftn.r |         |         |
|         |         |       |        | equires |         |         |
|         |         |       |        | -queues |         |         |
|         |         |       |        | -ge-cpu |         |         |
|         |         |       |        | -index) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| STMi    | `stm    | 是    | 是     | 是      | 否      | 是      |
| croelec | mac`{.l |       |        |         |         |         |
| tronics | iteral} |       |        |         |         |         |
| Multi-  |         |       |        |         |         |         |
| Gigabit |         |       |        |         |         |         |
| E       |         |       |        |         |         |         |
| thernet |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Mi      | `hv_net | 是    | 否     | 否      | 否      | 否      |
| crosoft | vsc`{.l |       |        |         |         |         |
| Hyper-V | iteral} |       |        |         |         |         |
| 虚      |         |       |        |         |         |         |
| 拟网络  |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Un      | `       | 是    | 是     | 是      | 否      | 否      |
| iversal | tun`{.l |       |        |         |         |         |
| TUN/TAP | iteral} |       |        |         |         |         |
| 设备    |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| 虚拟    | `v      | 是    | 是     | 是      | 否      | 否      |
| 以太网  | eth`{.l |       |        |         |         |         |
| 对设备  | iteral} |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| QEMU    | `       | 是    | 是     | yes     | 否      | 否      |
| Virtio  | virtio_ |       |        | [^\     |         |         |
| 网络    | net`{.l |       |        | [a\]^]( |         |         |
|         | iteral} |       |        | #assemb |         |         |
|         |         |       |        | ly_unde |         |         |
|         |         |       |        | rstandi |         |         |
|         |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | ftn.xdp |         |         |
|         |         |       |        | -on-int |         |         |
|         |         |       |        | erface) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
|         |         |       |        | [       |         |         |
|         |         |       |        | ^\[b\]^ |         |         |
|         |         |       |        | ](#asse |         |         |
|         |         |       |        | mbly_un |         |         |
|         |         |       |        | derstan |         |         |
|         |         |       |        | ding-th |         |         |
|         |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
