|       |                   | 销 |                | 0 |    |   |              |
|       |                   | 余 |                |   |    |   |              |
|       |                   | 额 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 回 |                |   |    |   |              |
|       |                   | 执 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 52.   | NPS.370.001.01    | U |                 | J |    |   | 授权         |
|       |                   | R |                 | 0 |    |   | 支付协议管理 |
|       |                   | L |                 | 0 |    |   |              |
|       |                   | 认 |                | 4 |    |   |              |
|       |                   | 证 |                |   |    |   |              |
|       |                   | 授 |                |   |    |   |              |
|       |                   | 权 |                |   |    |   |              |
|       |                   | 支 |                |   |    |   |              |
|       |                   | 付 |                |   |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 53.   | NPS.372.001.01    | 授 |                | J |    |   | 授权         |
|       |                   | 权 |                | 0 |    |   | 支付协议管理 |
|       |                   | 支 |                | 0 |    |   |              |
|       |                   | 付 |                | 4 |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 54.   | NPS.374.001.01    | 授 |                | J |    |   | 授权         |
|       |                   | 权 |                | 0 |    |   | 支付协议管理 |
|       |                   | 支 |                | 0 |    |   |              |
|       |                   | 付 |                | 4 |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 55.   | NPS.376.001.01    | U |                 | J |    |   | 账户信息     |
|       |                   | R |                 | 0 |    |   | 查询协议管理 |
|       |                   | L |                 | 0 |    |   |              |
|       |                   | 认 |                | 5 |    |   |              |
|       |                   | 证 |                |   |    |   |              |
|       |                   | 账 |                |   |    |   |              |
|       |                   | 户 |                |   |    |   |              |
|       |                   | 信 |                |   |    |   |              |
|       |                   | 息 |                |   |    |   |              |
|       |                   | 查 |                |   |    |   |              |
|       |                   | 询 |                |   |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 56.   | NPS.378.001.01    | 账 |                | J |    |   | 账户信息     |
|       |                   | 户 |                | 0 |    |   | 查询协议管理 |
|       |                   | 信 |                | 0 |    |   |              |
|       |                   | 息 |                | 5 |    |   |              |
|       |                   | 查 |                |   |    |   |              |
|       |                   | 询 |                |   |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 57.   | NPS.380.001.01    | 账 |                | J |    |   | 账户信息     |
|       |                   | 户 |                | 0 |    |   | 查询协议管理 |
|       |                   | 信 |                | 0 |    |   |              |
|       |                   | 息 |                | 5 |    |   |              |
|       |                   | 查 |                |   |    |   |              |
|       |                   | 询 |                |   |    |   |              |
|       |                   | 协 |                |   |    |   |              |
|       |                   | 议 |                |   |    |   |              |
|       |                   | 管 |                |   |    |   |              |
|       |                   | 理 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 58.   | NPS.382.001.01    | 代 |                | J |    |   | 代收签约     |
|       |                   | 收 |                | 0 |    |   |              |
|       |                   | 签 |                | 0 |    |   |              |
|       |                   | 约 |                | 9 |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 59.   | NPS.384.001.01    | 代 |                | J |    |   | 代收解约     |
|       |                   | 收 |                | 0 |    |   |              |
|       |                   | 解 |                | 1 |    |   |              |
|       |                   | 约 |                | 0 |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 60.   | NPS.386.001.01    | 开 |                | J |    |   | 开           |
|       |                   | 户 |                | 0 |    |   | 户方签约跳转 |
|       |                   | 方 |                | 1 |    |   |              |
|       |                   | 签 |                | 1 |    |   |              |
|       |                   | 约 |                |   |    |   |              |
|       |                   | 跳 |                |   |    |   |              |
|       |                   | 转 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 61.   | NPS.400.001.01    | 网 |                | D |    |   | 网关支付     |
|       |                   | 关 |                | 2 |    |   |              |
|       |                   | 支 |                | 0 |    |   |              |
|       |                   | 付 |                | 3 |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 62.   | NPS.410.001.01    | 交 |                | I |    |   | 交易状态确认 |
|       |                   | 易 |                | 0 |    |   |              |
|       |                   | 状 |                | 0 |    |   |              |
|       |                   | 态 |                | 6 |    |   |              |
|       |                   | 确 |                |   |    |   |              |
|       |                   | 认 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 63.   | NPS.920.001.01    | 文 |                | J |    |   | 其他         |
|       |                   | 件 |                | 9 |    |   |              |
|       |                   | 上 |                | 0 |    |   |              |
|       |                   | 传 |                | 0 |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
