### Table 14: Results for LOGO CV for mAGDs of Single DGAs Grouped by Seed Using SVMs
In total, 150 sets of 30 DGAs were considered.

| Metric | Value |
### Table 20: Classification Accuracy for 5-Fold CV on Successfully Resolved Domains and mAGDs of Arbitrary DGAs Using SVMs

### B. Grid Search Results
In this section, we present the results of our grid search. To reduce the number of grid searches required for single-DGA detection, we performed one grid search per DGA generation scheme as introduced in the taxonomy by Plohmann et al. [14]. All grid searches were conducted on sets of size 20,000. To avoid overfitting, we performed grid searches on 6 independent sets for the multi-DGA detection case. The final parameter selection for multi-DGA detection is based on mathematical constraints of the respective ML algorithm and domain knowledge on the classification problem. The ML algorithm parameters are named according to standard references for SVMs [7] and RFs [6].

#### For Random Forests (RFs)
- **Parameter T**: An integer drawn uniformly at random from [10, 1000], where we considered 64 values for T.
- **Parameter F**: An integer selected from [2, 44], where each possible value is assigned to F.
- **Impurity Criterion i(N)**: Either Gini impurity or entropy impurity.

This results in \(64 \times 43 \times 2 = 5504\) 5-fold CVs in total per data set.

#### For Support Vector Machines (SVMs)
- **Parameter C and γ**: After some initial tests, we fixed the parameter range for C and γ to [2\(^{-16}\), 2\(^3\)] and considered 80 values drawn logarithmically at random for both parameters.
- This results in 80 5-fold CVs for the linear kernel and \(80^2 = 6400\) 5-fold CVs for the RBF kernel per data set.

### Table 24: Best Parameter Choices Depending on the Type of DGA for SVMs
The above parameters are used in all experiments where single DGAs are considered and are applied depending on the DGA’s generation scheme.

| Generation Scheme | DGA | Kernel | C | γ | ACC |
|-------------------|-----|--------|---|---|-----|
| Arithmetic        |     | Linear | 3.4669 | — | 0.9999 |
| Hash              |     | Linear | 0.0052 | — | 1.0 |
| Wordlist          |     | Linear | 0.2289 | — | 0.9999 |
| Permutation       |     | RBF    | 0.0234 | 0.0327 | 1.0 |

### Table 21: Best Parameter Choices for Independent Data Sets of Mixed DGAs for RFs
For the final selection, i(N) is selected by majority vote. F is the arithmetic mean. For T, the maximum is chosen.

| Set # | i(N) | F | T | ACC |
|-------|------|---|---|-----|
| 1     | Entropy | 25 | 17 | 0.9981 |
| 2     | Gini   | 10 | 33 | 0.9993 |
| 3     | Entropy | 22 | 72 | 0.9983 |
| 4     | Gini   | 7  | 161 | 0.9987 |
| 5     | Gini   | 13 | 227 | 0.9984 |
| 6     | Gini   | 31 | 785 | 0.9983 |
| Final | Gini   | 18 | 785 | — |

### Table 22: Best Parameter Choices Depending on the Generation Scheme of the DGA for RFs
The above parameters are used in all experiments where single DGAs are considered and are applied depending on the DGA’s generation scheme.

| Generation Scheme | DGA | i(N) | F | T | ACC |
|-------------------|-----|------|---|---|-----|
| Arithmetic        |     | Gini | 8 | 681 | 0.9999 |
| Hash              |     | Gini | 2 | 388 | 1.0 |
| Wordlist          |     | Gini | 5 | 57 | 0.9999 |
| Permutation       |     | Gini | 2 | 513 | 1.0 |

### Table 23: Best Parameter Choices for Independent Data Sets of Mixed DGAs for SVMs
For the final selection, the kernel is selected by majority vote. C is selected as the median. γ is chosen as the arithmetic mean, only among the RBF results.

| Set # | Kernel | C | γ | ACC |
|-------|--------|---|---|-----|
| 1     | RBF    | 2.9423 | 0.0198 | 0.9992 |
| 2     | Linear | 0.1729 | — | 0.9982 |
| 3     | RBF    | 1.7844 | 0.0102 | 0.9985 |
| 4     | RBF    | 2.9423 | 0.0234 | 0.9982 |
| 5     | RBF    | 4.8517 | 0.0073 | 0.9982 |
| 6     | RBF    | 5.7317 | 0.0751 | 0.9979 |
| Final | RBF    | 0.9160 | 0.0198 | — |
