    I0512 09:28:31.605048   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.605826   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.606277   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.606822   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.607275   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.607747   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.608286   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.608954   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.613493   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.614224   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.614875   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.615406   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.615859   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.616381   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.616824   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.617335   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.617676   14774 etcd_utils.go:96] Deleting all etcd keys
    E0512 09:28:31.867139   14774 errors.go:63] apiserver received an error that is not an unversioned.Status: couldn't get version/kind; json parse error: invalid character '%' after object key:value pair
    I0512 09:28:31.886778   14774 :1] Error getting ResourceLocation: endpoints "a" not found
    W0512 09:28:31.967339   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.967374   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    I0512 09:28:31.993641   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:32.001981   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:32.002016   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:32.066435   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:32.066490   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:32.100571   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    I0512 09:28:32.102160   14774 etcd_utils.go:96] Deleting all etcd keys
    E0512 09:28:32.106532   14774 repair.go:70] unable to persist the updated service IP allocations: serviceipallocations "" not found
    W0512 09:28:32.116640   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:32.116665   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    I0512 09:28:32.140768   14774 etcd_utils.go:96] Deleting all etcd keys
    I0512 09:28:32.177543   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:32.179672   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:32.179704   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:32.215910   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    W0512 09:28:33.827367   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:33.827416   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    I0512 09:28:33.871258   14774 master_utils.go:105] Master http://127.0.0.1:42491
    [restful] 2016/05/12 09:28:33 log.go:30: [restful/swagger] listing is available at https:///swaggerapi/
    [restful] 2016/05/12 09:28:33 log.go:30: [restful/swagger] https:///swaggerui/ is mapped to folder /swagger-ui/
    I0512 09:28:34.147820   14774 master_utils.go:211] Stopping master components
    W0512 09:28:34.148455   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.148491   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.176275   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.176311   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.206385   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.206439   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.261458   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.261494   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.287176   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.287218   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.313256   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.313313   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.342459   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.342502   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.386802   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.386837   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:34.413024   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:34.413065   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    I0512 09:28:34.460105   14774 metrics_test.go:70] Got metric "apiserver_request_count"
    I0512 09:28:34.462672   14774 metrics_test.go:70] Got metric "apiserver_request_latencies"
    I0512 09:28:34.463885   14774 metrics_test.go:70] Got metric "apiserver_request_latencies_summary"
