### 3.15 ALL_SEQUENCES
The `ALL_SEQUENCES` view provides information about all user-defined sequences on which the user has SELECT or UPDATE privileges.

| Name             | Type    | Description                                                                 |
| nullable          | CHARACTER(1)      | Whether or not the column is nullable. Possible values: Y - column is nullable; N - column does not allow null. |
| column_id         | NUMERIC           | Relative position of the column within the table or view.                   |
| data_default      | CHARACTER VARYING | Default value assigned to the column.                                       |

### 3.20 ALL_TAB_PARTITIONS
The `ALL_TAB_PARTITIONS` view provides information about all of the partitions that reside in the database.

| Name                  | Type              | Description                                                                 |
|-----------------------|-------------------|-----------------------------------------------------------------------------|
| table_owner           | TEXT              | The owner of the table in which the partition resides.                      |
| schema_name           | TEXT              | The name of the schema in which the table resides.                          |
| table_name            | TEXT              | The name of the table.                                                      |
| composite             | TEXT              | YES if the table is subpartitioned; NO if the table is not subpartitioned.  |
| partition_name        | TEXT              | The name of the partition.                                                  |
| subpartition_count    | BIGINT            | The number of subpartitions in the partition.                               |
| high_value            | TEXT              | The high partitioning value specified in the CREATE TABLE statement.        |
| high_value_length     | INTEGER           | The length of the partitioning value.                                       |
| partition_position    | INTEGER           | Included for compatibility only; always NULL.                               |
| tablespace_name       | TEXT              | The name of the tablespace in which the partition resides.                  |
| pct_free              | NUMERIC           | Included for compatibility only; always 0.                                  |
| pct_used              | NUMERIC           | Included for compatibility only; always 0.                                  |
| ini_trans             | NUMERIC           | Included for compatibility only; always 0.                                  |
| max_trans             | NUMERIC           | Included for compatibility only; always 0.                                  |
| initial_extent        | NUMERIC           | Included for compatibility only; always NULL.                               |
| next_extent           | NUMERIC           | Included for compatibility only; always NULL.                               |
| min_extent            | NUMERIC           | Included for compatibility only; always 0.                                  |
| max_extent            | NUMERIC           | Included for compatibility only; always 0.                                  |
| pct_increase          | NUMERIC           | Included for compatibility only; always 0.                                  |
| freelists             | NUMERIC           | Included for compatibility only; always NULL.                               |
| freelist_groups       | NUMERIC           | Included for compatibility only; always NULL.                               |
| logging               | CHARACTER VARYING | Included for compatibility only; always 'YES'.                              |
| compression           | CHARACTER VARYING | Included for compatibility only; always 'NONE'.                             |
| num_rows              | NUMERIC           | Same as `pg_class.reltuples`.                                               |
| blocks                | INTEGER           | Same as `pg_class.relpages`.                                                |
| empty_blocks          | NUMERIC           | Included for compatibility only; always NULL.                               |
| avg_space             | NUMERIC           | Included for compatibility only; always NULL.                               |
| chain_cnt             | NUMERIC           | Included for compatibility only; always NULL.                               |
| avg_row_len           | NUMERIC           | Included for compatibility only; always NULL.                               |
| sample_size           | NUMERIC           | Included for compatibility only; always NULL.                               |
| last_analyzed         | TIMESTAMP         | Included for compatibility only; always NULL.                               |
| buffer_pool           | CHARACTER VARYING | Included for compatibility only; always NULL.                               |
| global_stats         | CHARACTER VARYING | Included for compatibility only; always 'YES'.                              |
| user_stats            | CHARACTER VARYING | Included for compatibility only; always 'NO'.                               |
| backing_table         | REGCLASS          | Name of the partition backing table.                                        |

### 3.21 ALL_TAB_SUBPARTITIONS
The `ALL_TAB_SUBPARTITIONS` view provides information about all of the subpartitions that reside in the database.

| Name                  | Type              | Description                                                                 |
|-----------------------|-------------------|-----------------------------------------------------------------------------|
| table_owner           | TEXT              | The owner of the table in which the subpartition resides.                   |
| schema_name           | TEXT              | The name of the schema in which the table resides.                          |
| table_name            | TEXT              | The name of the table.                                                      |
| partition_name        | TEXT              | The name of the partition.                                                  |
| subpartition_name     | TEXT              | The name of the subpartition.                                               |
| high_value            | TEXT              | The high subpartitioning value specified in the CREATE TABLE statement.     |
| high_value_length     | INTEGER           | The length of the subpartitioning value.                                    |
| subpartition_position | INTEGER           | Included for compatibility only; always NULL.                               |
| tablespace_name       | TEXT              | The name of the tablespace in which the subpartition resides.               |
| pct_free              | NUMERIC           | Included for compatibility only; always 0.                                  |
| pct_used              | NUMERIC           | Included for compatibility only; always 0.                                  |
| ini_trans             | NUMERIC           | Included for compatibility only; always 0.                                  |
| max_trans             | NUMERIC           | Included for compatibility only; always 0.                                  |
| initial_extent        | NUMERIC           | Included for compatibility only; always NULL.                               |
| next_extent           | NUMERIC           | Included for compatibility only; always NULL.                               |
| min_extent            | NUMERIC           | Included for compatibility only; always 0.                                  |
| max_extent            | NUMERIC           | Included for compatibility only; always 0.                                  |
| pct_increase          | NUMERIC           | Included for compatibility only; always 0.                                  |
| freelists             | NUMERIC           | Included for compatibility only; always NULL.                               |
| freelist_groups       | NUMERIC           | Included for compatibility only; always NULL.                               |
| logging               | CHARACTER VARYING | Included for compatibility only; always 'YES'.                              |
| compression           | CHARACTER VARYING | Included for compatibility only; always 'NONE'.                             |
| num_rows              | NUMERIC           | Same as `pg_class.reltuples`.                                               |
| blocks                | INTEGER           | Same as `pg_class.relpages`.                                                |
| empty_blocks          | NUMERIC           | Included for compatibility only; always NULL.                               |
| avg_space             | NUMERIC           | Included for compatibility only; always NULL.                               |
| chain_cnt             | NUMERIC           | Included for compatibility only; always NULL.                               |
| avg_row_len           | NUMERIC           | Included for compatibility only; always NULL.                               |
| sample_size           | NUMERIC           | Included for compatibility only; always NULL.                               |
| last_analyzed         | TIMESTAMP         | Included for compatibility only; always NULL.                               |
| buffer_pool           | CHARACTER VARYING | Included for compatibility only; always NULL.                               |
| global_stats         | CHARACTER VARYING | Included for compatibility only; always 'YES'.                              |
| user_stats            | CHARACTER VARYING | Included for compatibility only; always 'NO'.                               |
| backing_table         | REGCLASS          | Name of the subpartition backing table.                                     |

### 3.22 ALL_TABLES
The `ALL_TABLES` view provides information on all user-defined tables.

| Name              | Type              | Description                                                                 |
|-------------------|-------------------|-----------------------------------------------------------------------------|
| owner             | TEXT              | User name of the table's owner.                                             |
| schema_name       | TEXT              | Name of the schema in which the table belongs.                              |
| table_name        | TEXT              | Name of the table.                                                          |
| tablespace_name   | TEXT              | Name of the tablespace in which the table resides if other than the default tablespace. |
| status            | CHARACTER VARYING | Whether or not the state of the table is valid. Currently, included for compatibility only; always set to 'VALID'. |
| temporary         | CHARACTER(1)      | 'Y' if this is a temporary table; 'N' if this is not a temporary table.      |

### 3.23 ALL_TRIGGERS
The `ALL_TRIGGERS` view provides information about the triggers on tables that may be accessed by the current user.

| Name                 | Type    | Description                                                                 |
|----------------------|---------|-----------------------------------------------------------------------------|
| owner                | TEXT    | User name of the trigger's owner.                                           |
| schema_name          | TEXT    | The name of the schema in which the trigger resides.                        |
| trigger_name         | TEXT    | The name of the trigger.                                                    |
| trigger_type         | TEXT    | The type of the trigger. Possible values are: BEFORE ROW, BEFORE STATEMENT, AFTER ROW, AFTER STATEMENT. |
| triggering_event     | TEXT    | The event that fires the trigger.                                           |
| table_owner          | TEXT    | The user name of the owner of the table on which the trigger is defined.    |
| base_object_type     | TEXT    | Included for compatibility only. Value will always be 'TABLE'.              |
| table_name           | TEXT    | The name of the table on which the trigger is defined.                      |
| referencing_name     | TEXT    | Included for compatibility only. Value will always be 'REFERENCING NEW AS NEW OLD AS OLD'. |
| status               | TEXT    | Status indicates if the trigger is enabled ('VALID') or disabled ('NOTVALID'). |
| description          | TEXT    | Included for compatibility only.                                            |
| trigger_body         | TEXT    | The body of the trigger.                                                    |
| action_statement     | TEXT    | The SQL command that executes when the trigger fires.                       |

### 3.24 ALL_TYPES
The `ALL_TYPES` view provides information about the object types available to the current user.

| Name           | Type  | Description                                                                 |
|----------------|-------|-----------------------------------------------------------------------------|
| owner          | TEXT  | The owner of the object type.                                               |
| schema_name    | TEXT  | The name of the schema in which the type is defined.                        |
| type_name      | TEXT  | The name of the type.                                                       |
| type_oid       | OID   | The object identifier (OID) of the type.                                    |
| typecode       | TEXT  | The typecode of the type. Possible values are: OBJECT, COLLECTION, OTHER.   |
| attributes     | INTEGER | The number of attributes in the type.                                       |

### 3.25 ALL_USERS
The `ALL_USERS` view provides information on all user names.

| Name       | Type              | Description                                                                 |
|------------|-------------------|-----------------------------------------------------------------------------|
| username   | TEXT              | Name of the user.                                                           |
| user_id    | OID               | Numeric user id assigned to the user.                                       |
| created    | TIMESTAMP         | Included for compatibility only; always NULL.                               |

### 3.26 ALL_VIEW_COLUMNS
The `ALL_VIEW_COLUMNS` view provides information on all columns in all user-defined views.

| Name              | Type              | Description                                                                 |
|-------------------|-------------------|-----------------------------------------------------------------------------|
| owner             | CHARACTER VARYING | User name of the view's owner.                                              |
| schema_name       | CHARACTER VARYING | Name of the schema in which the view belongs.                               |
| view_name         | CHARACTER VARYING | Name of the view.                                                           |
| column_name       | CHARACTER VARYING | Name of the column.                                                         |
| data_type         | CHARACTER VARYING | Data type of the column.                                                    |
| data_length       | NUMERIC           | Length of text columns.                                                     |
| data_precision    | NUMERIC           | Precision (number of digits) for NUMBER columns.                            |
| data_scale        | NUMERIC           | Scale of NUMBER columns.                                                    |
| nullable          | CHARACTER(1)      | Whether or not the column is nullable. Possible values: Y - column is nullable; N - column does not allow null. |
| column_id         | NUMERIC           | Relative position of the column within the view.                            |
| data_default      | CHARACTER VARYING | Default value assigned to the column.                                       |

### 3.27 ALL_VIEWS
The `ALL_VIEWS` view provides information about all user-defined views.

| Name           | Type    | Description                                                                 |
|----------------|---------|-----------------------------------------------------------------------------|
| owner          | TEXT    | User name of the view's owner.                                              |
| schema_name    | TEXT    | Name of the schema in which the view belongs.                               |
| view_name      | TEXT    | Name of the view.                                                           |
| text           | TEXT    | The SELECT statement that defines the view.                                 |

### 3.28 DBA_ALL_TABLES
The `DBA_ALL_TABLES` view provides information about all tables in the database.

| Name              | Type    | Description                                                                 |
|-------------------|---------|-----------------------------------------------------------------------------|
| owner             | TEXT    | User name of the table's owner.                                             |
| schema_name       | TEXT    | Name of the schema in which the table belongs.                              |
| table_name        | TEXT    | Name of the table.                                                          |
| tablespace_name   | TEXT    | Name of the tablespace in which the table resides if other than the default tablespace. |
| status            | TEXT    | Included for compatibility only; always set to 'VALID'.                     |
| temporary         | TEXT    | 'Y' if the table is temporary; 'N' if the table is permanent.               |

### 3.29 DBA_CONS_COLUMNS
The `DBA_CONS_COLUMNS` view provides information about all columns that are included in constraints that are specified in all tables in the database.

| Name              | Type    | Description                                                                 |
|-------------------|---------|-----------------------------------------------------------------------------|
| owner             | TEXT    | User name of the constraint's owner.                                        |
| schema_name       | TEXT    | Name of the schema in which the constraint belongs.                         |
| constraint_name   | TEXT    | The name of the constraint.                                                 |
| table_name        | TEXT    | The name of the table to which the constraint belongs.                      |
| column_name       | TEXT    | The name of the column referenced in the constraint.                        |
| position          | SMALLINT| The position of the column within the object definition.                    |
| constraint_def    | TEXT    | The definition of the constraint.                                           |

### 3.30 DBA_CONSTRAINTS
The `DBA_CONSTRAINTS` view provides information about all constraints on tables in the database.

| Name                | Type    | Description                                                                 |
|---------------------|---------|-----------------------------------------------------------------------------|
| owner               | TEXT    | User name of the constraint's owner.                                        |
| schema_name         | TEXT    | Name of the schema in which the constraint belongs.                         |
| constraint_name     | TEXT    | The name of the constraint.                                                 |
| constraint_type     | TEXT    | The constraint type. Possible values are: C - check constraint, F - foreign key constraint, P - primary key constraint, U - unique key constraint, R - referential integrity constraint, V - constraint on a view, O - with read-only, on a view. |
| table_name          | TEXT    | Name of the table to which the constraint belongs.                          |
| search_condition    | TEXT    | Search condition that applies to a check constraint.                        |
| r_owner             | TEXT    | Owner of a table referenced by a referential constraint.                    |
| r_constraint_name   | TEXT    | Name of the constraint definition for a referenced table.                   |
| delete_rule         | TEXT    | The delete rule for a referential constraint. Possible values are: C - cascade, R - restrict, N - no action. |
| deferrable          | BOOLEAN | Specified if the constraint is deferrable (T or F).                         |
| deferred            | BOOLEAN | Specifies if the constraint has been deferred (T or F).                     |
| index_owner         | TEXT    | User name of the index owner.                                               |
| index_name          | TEXT    | The name of the index.                                                      |
| constraint_def      | TEXT    | The definition of the constraint.                                           |

### 3.31 DBA_DB_LINKS
The `DBA_DB_LINKS` view provides information about all database links in the database.

| Name           | Type              | Description                                                                 |
|----------------|-------------------|-----------------------------------------------------------------------------|
| owner          | TEXT              | User name of the database link's owner.                                     |
| db_link        | TEXT              | The name of the database link.                                              |
| type           | CHARACTER VARYING | Type of remote server. Value will be either 'REDWOOD' or 'EDB'.             |
| username       | TEXT              | User name of the user logging in.                                           |
| host           | TEXT              | Name or IP address of the remote server.                                    |

---

**Copyright © 2007 - 2018 EnterpriseDB Corporation. All rights reserved.**
