### 1.3.6.1.4.1.2011.5.2 hwtacacsClientCounter3
- **OID**: 1.3.6.1.4.1.2011.5.2
- **节点名称**: hwtacacsClientCounter3
- **数据类型**: Counter32
- **最大访问权限**: Read-Only
- **含义**: 客户端接收到的错误计费报文数。
- **实现规格**: 与MIB文件定义一致。

### 1.3.6.1.4.1.2011.5.2 hwtacacsClientAcctPendingPackets
- **OID**: 1.3.6.1.4.1.2011.5.2
- **节点名称**: hwtacacsClientAcctPendingPackets
- **数据类型**: Counter32
- **最大访问权限**: Read-Only
- **含义**: 超时时间段内服务器未响应的计费请求报文数。
- **实现规格**: 与MIB文件定义一致。

### 39.4 MIB Table 详细描述
**文档版本**: 06 (2017-09-12)  
**华为专有和保密信息**: 446  
**版权所有**: © 华为技术有限公司  
**CloudEngine 12800系列交换机**  
**MIB参考**: 39 HUAWEI-HWTACACS-MIB

### 39.4.1 hwtacacsTemplateTable 详细描述
该表的索引是hwtacacsClientTemplateIndex。

| OID | 节点名称 | 数据类型 | 最大访问权限 | 含义 | 实现规格 |
### 39.4.2 hwtacacsClientAuthenServerTable 详细描述
该表的索引是hwtacacsClientAuthenTemplateIndex和hwtacacsClientAuthenServerIndex。

| OID | 节点名称 | 数据类型 | 最大访问权限 | 含义 | 实现规格 |
| --- | --- | --- | --- | --- | --- |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.1 | hwtacacsClientAuthenTemplateIndex | Unsigned32 (0..127) | Not-Accessible | 认证服务器模板的唯一标识。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.2 | hwtacacsClientAuthenServerIndex | Unsigned32 (0..127) | Not-Accessible | 客户端与之通信的认证服务器的唯一标识。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.3 | hwtacacsClientAuthenServerAddress | IpAddress | Read-Create | 认证服务器的IP地址。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.4 | hwtacacsClientAuthenServerPort | Integer32 (0..65535) | Read-Create | 客户端发送请求给认证服务器的TCP端口号。缺省情况下，TCP端口号为49。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.5 | hwtacacsClientAuthenServerType | Integer32 (0..1) | Read-Create | 认证服务器的类型，包括以下类型：0：主用认证服务器；1：备用认证服务器。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.6 | hwtacacsClientAuthenServerState | Integer32 (0..1) | Read-Only | 客户端接收到的认证服务器的状态，包括以下状态：0：UP；1：DOWN。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.7 | hwtacacsClientAuthenServerMode | Integer32 (0..1) | Read-Create | 认证服务器的操作模式，包括以下模式：0：NonMux；1：Mux。默认模式为0。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.8 | hwtacacsClientAuthenRoundTripTime | TimeTicks | Read-Only | 最近一次认证请求和应答之间的时间间隔。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.9 | hwtacacsClientAuthenAccessReqPackets | Counter32 | Read-Only | 认证服务器接收的请求包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.10 | hwtacacsClientAuthenAccessChngPassRequests | Counter32 | Read-Only | 认证服务器接收的请求更改密码的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.11 | hwtacacsClientAuthenAccessSendPassPackets | Counter32 | Read-Only | 认证服务器的请求发送密码的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.12 | hwtacacsClientAuthenAccessSendAuthenPackets | Counter32 | Read-Only | 认证服务器的请求发送认证的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.13 | hwtacacsClientAuthenStartPackets | Counter32 | Read-Only | 认证服务器的请求注册的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.14 | hwtacacsClientAuthenContinuePackets | Counter32 | Read-Only | 认证服务器的连接包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.15 | hwtacacsClientAuthenContinueAbortPackets | Counter32 | Read-Only | 认证服务器的连接中断包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.16 | hwtacacsClientAuthenReplyPackets | Counter32 | Read-Only | 认证服务器的响应包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.17 | hwtacacsClientAuthenReplyPassPackets | Counter32 | Read-Only | 认证服务器的响应通过的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.18 | hwtacacsClientAuthenReplyFailPackets | Counter32 | Read-Only | 认证服务器的响应失败的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.19 | hwtacacsClientAuthenReplyGetDataPackets | Counter32 | Read-Only | 认证服务器的数据包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.20 | hwtacacsClientAuthenReplyGetUserPackets | Counter32 | Read-Only | 认证服务器的用户包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.21 | hwtacacsClientAuthenReplyGetPassPackets | Counter32 | Read-Only | 认证服务器的密码包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.22 | hwtacacsClientAuthenReplyErrorPackets | Counter32 | Read-Only | 认证服务器的响应错误的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.23 | hwtacacsClientAuthenReplyRestartPackets | Counter32 | Read-Only | 认证服务器的重启包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.24 | hwtacacsClientAuthenReplyFollowPackets | Counter32 | Read-Only | 认证服务器的跟随包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.25 | hwtacacsClientAuthenPendingRequests | Gauge32 | Read-Only | 发往服务器的未得到响应但又未超时的请求包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.26 | hwtacacsClientAuthenTimeouts | Counter32 | Read-Only | 客户端连接服务器的认证超时次数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.27 | hwtacacsClientAuthenUnknownTypePackets | Counter32 | Read-Only | 客户端从服务器侦听端口接收到的未知类型的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.28 | hwtacacsClientAuthenDroppedPackets | Counter32 | Read-Only | 客户端从服务器侦听端口接收到的但因某种原因丢失的包数。默认的VPN实例名为_public_。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.29 | hwtacacsClientAuthenVPNName | OCTET STRING (SIZE (0..32)) | Read-Only | 认证服务器的VPN实例名。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.15.1.30 | hwtacacsClientAuthenRowStatus | RowStatus | Read-Create | 表示表项状态。若该状态为active，表示hwtacacsClientAuthenServerEntry表中的值可以被修改。 | 与MIB文件定义一致。 |

### 39.4.3 hwtacacsClientAuthorServerTable 详细描述
该表的索引是hwtacacsClientAuthorTemplateIndex和hwtacacsClientAuthorServerIndex。

| OID | 节点名称 | 数据类型 | 最大访问权限 | 含义 | 实现规格 |
| --- | --- | --- | --- | --- | --- |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.1 | hwtacacsClientAuthorTemplateIndex | Unsigned32 (0..127) | Not-Accessible | HWTACACS服务器模板的唯一标识。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.2 | hwtacacsClientAuthorServerIndex | Unsigned32 (0..127) | Not-Accessible | 客户端与之通信的授权服务器的唯一标识。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.3 | hwtacacsClientAuthorServerAddress | IpAddress | Read-Create | 授权服务器的IP地址。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.4 | hwtacacsClientAuthorServerPort | Integer32 (1..65535) | Read-Create | 客户端发送请求给授权服务器的TCP端口号。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.5 | hwtacacsClientAuthorServerType | Integer32 (0..1) | Read-Create | 授权服务器的类型。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.6 | hwtacacsClientAuthorServerState | Integer32 (0..1) | Read-Only | 客户端接收到的授权服务器的状态。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.7 | hwtacacsClientAuthorServerMode | Integer32 (0..1) | Read-Create | 服务器的操作模式。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.8 | hwtacacsClientAuthorRoundTripTime | TimeTicks | Read-Only | 客户端与服务器通信的轮询间隔。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.9 | hwtacacsClientAuthorRequestPackets | Counter32 | Read-Only | 接收的请求包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.10 | hwtacacsClientAuthorResponseAcceptPackets | Counter32 | Read-Only | 授权服务器的响应通过的包数。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.16.1.11 | hwtacacsClientAuthorResponseRejectPackets | Counter32 | Read-Only | 授权服务器的响应失败的包数。 | 与MIB文件定义一致。 |

### 创建、修改、删除和读取约束
- **创建约束**: 无
- **修改约束**: 无
- **删除约束**: 无
- **读取约束**: 无

**文档版本**: 06 (2017-09-12)  
**华为专有和保密信息**: 452  
**版权所有**: © 华为技术有限公司  
**CloudEngine 12800系列交换机**  
**MIB参考**: 39 HUAWEI-HWTACACS-MIB
