以下是优化后的文本，使其更加清晰、连贯和专业：

| 操作系统/平台 | 战术 | 技术 | 详细描述 | 监控建议 |
| Linux, macOS, Windows, Office 365, Azure AD | 发现 | 账户发现 | APT3（G0022）使用了一个可以获取本地和全局组用户、超级用户和管理员信息的工具。 | Azure活动日志、Office 365账户日志、API监控、进程监控、进程命令行参数 |
| Linux, macOS, Windows | 防御规避, 执行 | 脚本 | APT3（G0022）在受害系统上使用PowerShell下载并执行负载。 | 进程监控、文件监控、进程命令行参数 |
| Windows, Linux, macOS | 凭证访问 | 凭证转储 | APT3（G0022）使用了一个注入lsass.exe并通过“dig”参数触发的工具来转储凭证，并且还使用了可以从浏览器中提取密码的工具。 | API监控、进程监控、PowerShell日志、进程命令行参数 |
| Windows | 执行, 持久化, 权限提升 | 计划任务 | APT3（G0022）下载器通过创建以下计划任务来实现持久化：schtasks /create /tn "mysc" /tr C:\Users\Public\test.exe /sc ONLOGON /ru "System"。 | 文件监控、进程监控、进程命令行参数、Windows事件日志 |
| Linux, macOS, Windows | 执行 | 命令行接口 | APT3（G0022）下载器使用Windows命令“cmd.exe” /C whoami。该组织还使用了一个可以在远程计算机上执行命令的工具。 | 进程监控、进程命令行参数 |
| Windows | 执行 | PowerShell | APT3（G0022）在受害系统上使用PowerShell下载并执行负载。 | PowerShell日志、已加载的DLL、DLL监控、Windows注册表、文件监控、进程监控、进程命令行参数 |
| Linux, macOS, Windows | 命令与控制 | 不常用的端口 | APT3（G0022）下载器通过TCP端口1913和TCP端口81与两个不同的IP地址建立SOCKS5连接。 | Netflow/Enclave Netflow、进程网络使用情况、进程监控 |
| Windows, Linux, macOS | 命令与控制 | 标准非应用层协议 | APT3（G0022）下载器通过SOCKS5连接进行初始C2通信。 | 主机网络接口、Netflow/Enclave Netflow、网络入侵检测系统、网络协议分析、数据包捕获、进程网络使用情况 |
| Linux, macOS, Windows | 命令与控制 | 多阶段通道 | APT3（G0022）下载器首先通过TCP端口1913与192.157.198[.]103建立SOCKS5连接；一旦服务器响应得到验证，它再请求与192.184.60[.]229的TCP端口81建立连接。 | Netflow/Enclave Netflow、网络设备日志、网络协议分析、数据包捕获、进程网络使用情况 |
| Linux, macOS, Windows | 发现 | 系统所有者/用户发现 | APT3（G0022）下载器使用Windows命令“cmd.exe” /C whoami来验证其是否以“System”的特权运行。 | 文件监控、进程监控、进程命令行参数 |

这样优化后的表格更加清晰地展示了每个条目的关键信息，并且提供了更明确的监控建议。
