以下是优化后的文本，使其更加清晰、连贯和专业：

---

### SSH 认证失败日志

以下日志记录了从 IP 地址 183.62.140.253 对 `root` 用户进行多次 SSH 认证尝试失败的情况。每次认证失败后，连接都被断开。

#### 事件详情

- **日期时间**：2023年12月10日
- **服务器**：LabSZ
- **IP 地址**：183.62.140.253
- **用户**：root

| 序号 | 时间       | 进程ID | 日志消息                                                                                         |
| 1396 | 10:58:33   | 25127  | root 用户从 183.62.140.253 端口 51538 ssh2 认证失败                                              |
| 1397 | 10:58:33   | 25127  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1398 | 10:58:33   | 25129  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1399 | 10:58:35   | 25129  | root 用户从 183.62.140.253 端口 51965 ssh2 认证失败                                              |
| 1400 | 10:58:35   | 25129  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1401 | 10:58:35   | 25131  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1402 | 10:58:37   | 25131  | root 用户从 183.62.140.253 端口 52316 ssh2 认证失败                                              |
| 1403 | 10:58:37   | 25131  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1404 | 10:58:37   | 25134  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1405 | 10:58:39   | 25134  | root 用户从 183.62.140.253 端口 52590 ssh2 认证失败                                              |
| 1406 | 10:58:39   | 25134  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1407 | 10:58:39   | 25136  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1408 | 10:58:41   | 25136  | root 用户从 183.62.140.253 端口 53021 ssh2 认证失败                                              |
| 1409 | 10:58:41   | 25136  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1410 | 10:58:41   | 25138  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1411 | 10:58:43   | 25138  | root 用户从 183.62.140.253 端口 53440 ssh2 认证失败                                              |
| 1412 | 10:58:43   | 25138  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1413 | 10:58:43   | 25140  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1414 | 10:58:46   | 25140  | root 用户从 183.62.140.253 端口 53891 ssh2 认证失败                                              |
| 1415 | 10:58:46   | 25140  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1416 | 10:58:46   | 25143  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1417 | 10:58:47   | 25143  | root 用户从 183.62.140.253 端口 54339 ssh2 认证失败                                              |
| 1418 | 10:58:47   | 25143  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1419 | 10:58:48   | 25145  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1420 | 10:58:49   | 25145  | root 用户从 183.62.140.253 端口 54699 ssh2 认证失败                                              |
| 1421 | 10:58:49   | 25145  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1422 | 10:58:50   | 25147  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1423 | 10:58:52   | 25147  | root 用户从 183.62.140.253 端口 55069 ssh2 认证失败                                              |
| 1424 | 10:58:52   | 25147  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1425 | 10:58:52   | 25149  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1426 | 10:58:54   | 25149  | root 用户从 183.62.140.253 端口 55577 ssh2 认证失败                                              |
| 1427 | 10:58:54   | 25149  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1428 | 10:58:54   | 25151  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1429 | 10:58:56   | 25151  | root 用户从 183.62.140.253 端口 55956 ssh2 认证失败                                              |

---

请注意，这些日志显示了多次对 `root` 用户的 SSH 认证尝试失败，并且每次尝试失败后，连接都被断开。建议检查并加强服务器的安全措施，以防止潜在的攻击。
