日志名称,日志信息,日志级别,日志含义
ARP/4/ARP_LEARN_STRICT_CHECK,"ARP/4/ARP_LEARN_STRICT_CHECK: The received ARP packet was not in response to the request packet that the device sent. (Interface=[IfIndex], SourceIP=[SourceIP], SourceMAC=[SourceMAC], VLAN=[VLAN])",Warnings,ARP/4/ARP_LEARN_STRICT_CHECK
ARP/4/ARP_PKT_CHECK,"ARP/4/ARP_PKT_CHECK: Invalid packet. (SourceInterface=[InterfaceName], SourceIP=[IpAddress], SourceMAC=[MacAddress], VLAN=[PeVlan], INNER-VLAN=[CeVlan])",Warnings,ARP/4/ARP_PKT_CHECK
ARP/4/ARP_SEC_SPEED_LIMIT,"ARP/4/ARP_SEC_SPEED_LIMIT: Packet speed exceeded the configured speed limit. (IfIndex=[IfIndex], SuppressValue=[SupValue], CurrentValue=[CurValue], SuppressType=[SupType], SourceIP=[SrcIp], DestinationIP=[DstIp], VpnInstance name=[VpnName])",Warnings,ARP/4/ARP_SEC_SPEED_LIMIT
ARP/4/ARP_SPEED_LIMIT,"ARP/4/ARP_SPEED_LIMIT: Packet speed exceeded the configured speed limit. (IfIndex=[IfIndex], SuppressValue=[SupValue], CurrentValue=[CurValue], SuppressType=[SupType], SourceIP=[SrcIp], DestinationIP=[DstIp], VpnInstance name=[VpnName])",Warnings,ARP/4/ARP_SPEED_LIMIT
ARP/4/ARP_VLAN_SPEED_LMT,"ARP/4/ARP_VLAN_SPEED_LMT: The VLAN's ARP packet speed exceeded the configured speed limit value. (SuppressValue=[SpeedLmtValue], Vlan=[VlanId])",Warnings,ARP/4/ARP_VLAN_SPEED_LMT
ARP/4/hwEthernetARPLimitExceed_active,"ARP/4/hwEthernetARPLimitExceed_active: The number of ARP entries learned on the interface exceeded the threshold. (Interface name=[InterfaceName], Maximum number of ARP entries=[LimitNumber], Number of learned ARP entries=[LearnedNumber])",Warnings,接口上实际学习到的动态ARP表项数量超过告警阈值时，设备产生告警。
ARP/4/hwEthernetARPLimitExceed_clear,"ARP/4/hwEthernetARPLimitExceed_clear: The number of ARP entries learned on the interface fell below the threshold. (Interface name=[InterfaceName], Maximum number of ARP entries=[LimitNumber], Number of learned ARP entries =[LearnedNumber], Reason for clearing the alarm=[RecoverReason])",Warnings,接口下学习到的ARP表项小于阈值。
BFD/4/BfdSessReachLimit,"BFD/4/BfdSessReachLimit: The session number in all the IO boards has reached the limit, the new session can not be created. (TotalSessionLimit=[TotalSessionLimit])",Warnings,BFD/4/BfdSessReachLimit
BFD/4/hwBfdSessDown,"BFD/4/hwBfdSessDown: Session changes to DOWN. (Index=[Index], ConfigurationName=[ConfigurationName], PeerIp=[PeerIp], BindIfIndex=[BindIfIndex], BindIfName=[BindIfName], Diagnosis=[Diagnosis], BindVrfIndex=[BindVrfIndex], BindVpnName=[BindVpnName], SessionType=[SessionType], DefaultIp=[DefaultIp], BindType=[BindType], StaticLspName=[StaticLspName], PwSecondary=[PwSecondary], NextHop=[NextHop], VcId=[VcId], VsiName=[VsiName], VsiPeerAddress=[VsiPeerAddress], DiscrAuto=[DiscrAuto], PeerIpv6=[PeerIpv6], Ipv6NextHop=[Ipv6NextHop])",Warnings,BFD/4/hwBfdSessDown
BFD/4/hwBfdSessUp,"BFD/4/hwBfdSessUp: Session changes to UP. (Index=[Index], ConfigurationName=[ConfigurationName], PeerIp=[PeerIp], BindIfIndex=[BindIfIndex], BindIfName=[BindIfName], Diagnosis=[Diagnosis], BindVrfIndex=[BindVrfIndex], BindVpnName=[BindVpnName], SessionType=[SessionType], DefaultIp=[DefaultIp], BindType=[BindType], StaticLspName=[StaticLspName], PwSecondary=[PwSecondary], NextHop=[NextHop], VcId=[VcId], VsiName=[VsiName], VsiPeerAddress=[VsiPeerAddress], DiscrAuto=[DiscrAuto], PeerIpv6=[PeerIpv6], Ipv6NextHop=[Ipv6NextHop])",Warnings,BFD/4/hwBfdSessUp
BFD/4/STACHG_DWNTOUP,"BFD/4/STACHG_DWNTOUP: BFD session changed from Down to Up. (SlotNumber=[SlotNumber], Discriminator=[Discriminator], Applications=[Applications], BindInterfaceName=[BindInterfaceName], ProcessPST=[ProcessPST])",Warnings,BFD/4/STACHG_DWNTOUP
BFD/4/STACHG_DWNTOUP_INWTR,"BFD/4/STACHG_DWNTOUP_INWTR: BFD session changed from Down to Up in WTR. (SlotNumber=[SlotNumber], Discriminator=[Discriminator], Applications=[Applications], BindInterfaceName=[BindInterfaceName], ProcessPST=[ProcessPST])",Warnings,BFD/4/STACHG_DWNTOUP_INWTR
BFD/4/STACHG_TODWN,"BFD/4/STACHG_TODWN: BFD session changed to Down. (SlotNumber=[SlotNumber], Discriminator=[Discriminator], Diagnostic=[Diagnostic], Applications=[Applications], ProcessPST=[ProcessPST], BindInterfaceName=[BindInterfaceName], InterfacePhysicalState=[InterfacePhysicalState], InterfaceProtocolState=[InterfaceProtocolState], TunnelName=[TunnelName], DownReason=[DownReason], NpDownTime=[NpDownTime], PeerIp=[PeerIp])",Warnings,BFD/4/STACHG_TODWN
BFD/4/STACHG_TOUP,"BFD/4/STACHG_TOUP: BFD session changed to Up. (SlotNumber=[SlotNumber], Discriminator=[Discriminator], FormerStatus=[FormerStatus], Applications=[Applications], BindInterfaceName=[BindInterfaceName], ProcessPST=[ProcessPST], TunnelName=[TunnelName], PeerIp=[PeerIp])",Warnings,BFD/4/STACHG_TOUP
BFD/5/DELSESS,"BFD/5/DELSESS: The BFD session was deleted. (Discriminator=[Discriminator], Result=[Result], Applications=[Applications], BindIFName=[BindIFName], SourceIp=[SourceIp], PeerIp=[PeerIp])",Notifications,BFD/5/DELSESS
BFD/6/CRTSESS,"BFD/6/CRTSESS: The BFD session has been created successfully. (Discriminator=[Discriminator], ConfigurationName=[ConfigurationName], Applications=[Applications], PeerIp=[PeerIp], SessionType=[SessionType], BindIFName=[BindIFName], BindVpnName=[BindVpnName], SourceIp=[SourceIp])",Informational,BFD/6/CRTSESS
BFD/7/BFD_RX_ZERO,"BFD/7/BFD_RX_ZERO: BFD session receives a message with the Required Min RX Interval of 0 for the first time.(LocalDiscriminitor=[LocalDiscriminitor], RemoteDiscriminitor=[RemoteDiscriminitor])",Debug,BFD/7/BFD_RX_ZERO
BGP/2/bgpBackwardTransition_active,"BGP/2/bgpBackwardTransition_active: The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=[PeerIpv4Ipv6Addr], BgpPeerLastError=[PeerLastError], BgpPeerState=[PeerState], LocalIfName=[LocalIfName], Reason=[Reason])",Critical,BGP状态机的状态值从高值状态变为低值状态并且前一个状态是Openconfirm状态或Established状态。
BGP/2/bgpBackwardTransition_clear,"BGP/2/bgpBackwardTransition_clear: The BGP FSM enters the Established state. (BgpPeerRemoteAddr=[PeerIpv4Ipv6Addr], BgpPeerLastError=[PeerLastError], BgpPeerState=[PeerState], LocalIfName=[LocalIfName], Reason=[Reason])",Critical,BGP对等体连接建立。
BGP/2/BGP_RIB_EXCEPTION_DISCARD_ROUTE,BGP/2/BGP_RIB_EXCEPTION_DISCARD_ROUTE: Affect BGP services because the system memory usage exceeded the upper limit.(AddressFamily=[AddressFamily]),Critical,BGP/2/BGP_RIB_EXCEPTION_DISCARD_ROUTE
