 POWER_MONITOR_RECOVERED,Power monitor unit [INT32] recovered.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] power monitor unit   [INT32] recovered.（分布式设备－IRF模式）,$1：电源监控模块ID,5,DEV/5/POWER_MONITOR_RECOVERED: Power   monitor unit 1 recovered.,电源监控模块插入后，状态从Failed或者Absent状态转换为OK,无
 TEMPERATURE_NORMAL,Temperature changed to normal on [STRING]   [STRING] sensor [STRING] [INT32]. Current temperature is [INT32] degrees   centigrade.,$1：不显示该字段（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：形式为chassis xx，xx表示设备在IRF中的成员编号（分布式设备－IRF模式）   $2：形式为slot xx，表示设备（集中式设备）   $2：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）（分布式设备－IRF模式）   $2：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $3：传感器类型   $4：传感器ID   $5：传感器当前的温度，单位为摄氏度,5,DEV/5/TEMPERATURE_NORMAL: Temperature   changed to normal on sensor inflow 1.（集中式设备）   DEV/5/TEMPERATURE_NORMAL: Temperature   changed to normal on slot 2 sensor inflow 1.（分布式设备－独立运行模式）（集中式IRF设备）,传感器温度指示正常（大于低温告警门限，小于一般级高温告警门限）,无
 TEMPERATURE_SHUTDOWN,Temperature is greater than the   high-temperature shutdown threshold on [STRING] [STRING] sensor [STRING]   [INT32]. Current temperature is [INT32] degrees centigrade.,$1：不显示该字段（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：形式为chassis xx，xx表示设备在IRF中的成员编号（分布式设备－IRF模式）   $2：形式为slot xx，表示设备（集中式设备）   $2：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）（分布式设备－IRF模式）   $2：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $3：传感器类型   $4：传感器ID   $5：传感器当前的温度，单位为摄氏度,2,DEV/2/TEMPERATURE_SHUTDOWN: Temperature   is greater than the high-temperature shutdown threshold on sensor inflow 1.   The slot will be powered off automatically.（集中式设备）   DEV/2/TEMPERATURE_SHUTDOWN: Temperature   is greater than the high-temperature shutdown threshold on slot 2 sensor   inflow 1. The slot will be powered off automatically.（分布式设备－独立运行模式）（集中式IRF设备）,传感器温度高过了关断级高温告警门限，设备将自动关闭。环境温度太高或者风扇异常,1.检查环境温度是否过高，保持设备环境通风正常   2.display fan命令检查风扇是否不在或故障，以及检查风扇实际是否运转。如果风扇不在位，安装风扇；如果风扇故障，更换风扇
 TEMPERATURE_WARNING,Temperature is greater than the   high-temperature warning threshold on [STRING] [STRING] sensor [STRING]   [INT32]. Current temperature is [INT32] degrees centigrade.,$1：不显示该字段（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：形式为chassis xx，xx表示设备在IRF中的成员编号（分布式设备－IRF模式）   $2：形式为slot xx，表示设备（集中式设备）   $2：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）（分布式设备－IRF模式）   $2：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $3：传感器类型   $4：传感器ID   $5：传感器当前的温度，单位为摄氏度,4,DEV/4/TEMPERATURE_WARNING: Temperature is   greater than the high-temperature warning threshold on sensor inflow 1.（集中式设备）   DEV/4/TEMPERATURE_WARNING: Temperature is   greater than the high-temperature warning threshold on slot 2 sensor inflow   1.（分布式设备－独立运行模式）（集中式IRF设备）,传感器温度高过了一般级高温告警门限。环境温度太高或者风扇异常,1.检查环境温度是否过高，保持设备环境通风正常   2.display fan命令检查风扇是否不在或故障，以及检查风扇实际是否运转。如果风扇不在位，安装风扇；如果风扇故障，更换风扇
 VCHK_VERSION_INCOMPATIBLE,Software version of [STRING] is   incompatible with that of the MPU.,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）,1,DEV/1/VCHK_VERSION_INCOMPATIBLE: Software   version of slot 2 is incompatible with that of the MPU.（分布式设备－独立运行模式）（集中式IRF设备）,PEX在启动过程中，检测到自己的启动软件包和父设备上运行的软件包版本不兼容，PEX会打印该信息并重启,请设置与父设备当前版本兼容的软件包作为该PEX的下次启动软件包/加载软件包
 DHCP_NORESOURCES,Failed to apply filtering rules for DHCP   packets because hardware resources are insufficient.,无,3,DHCP/3/DHCP_NORESOURCES: Failed to apply   filtering rules for DHCP packets because hardware resources are insufficient.,配置DHCP功能需要针对DHCP报文下发报文过滤规则。由于设备硬件资源不足，导致设置DHCP报文过滤规则失败,如果设备业务占用硬件资源过多，可能会导致资源不足，需要释放一些资源，重新配置DHCP功能
 DHCP_NOTSUPPORTED,Failed to apply filtering rules for DHCP   packets because some rules are not supported.,无,3,DHCP/3/DHCP_NOTSUPPORTED: Failed to apply   filtering rules for DHCP packets because some rules are not supported.,配置DHCP功能需要针对DHCP报文下发DHCP报文过滤规则。由于设备不支持某些报文过滤规则，导致设置DHCP报文过滤规则失败,无
 DHCPR_SERVERCHANGE,Switched to the server at [IPADDR] (VPN   name: xxx) because the current server did not respond.   Switched to the DHCP server at [IPADDR] (Public   network) because the current DHCP server did not respond.,$1：切换到下一个DHCP服务器的IP地址   $2：切换到下一个DHCP服务器的VPN信息   $3：切换到下一个DHCP服务器，该服务器处于公网中,3,DHCPR/3/DHCPR_SERVERCHANGE: -MDC=1;   Switched to the server at 2.2.2.2 ( VPN name: 1   ) because the current server did not respond.,因为DHCP中继无法从当前的DHCP服务器得到应答，所以DHCP中继切换到下一台指定VPN内的DHCP服务器申请IP地址,无需处理
 DHCPR_SWITCHMASTER,Switched to the master DHCP server at   [IPADDR].,$1：主用DHCP服务器的IP地址,3,DHCPR/3/DHCPR_SWITCHMASTER: -MDC=1;   Switched to the master DHCP server   at 2.2.2.2.,DHCP中继可以配置延迟回切时间，如果当时生效的为备用服务器，在经过延迟时间，DHCP中继会切换到主用DHCP服务器来执行申请IP地址的操作,无需处理
 DHCPS_ALLOCATE_IP,"DHCP server received a DHCP client’s   request packet on interface [STRING], and allocated an IP address   [IPADDR](lease [UINT32] seconds) for the DHCP client(MAC [MAC]) from [STRING]   pool.",$1：DHCPv4服务器所在接口的接口名   $2：分配给DHCPv4客户端的IPv4地址   $3：分配给DHCPv4客户端的IPv4地址租约时长   $4：DHCPv4客户端的MAC地址   $5：DHCPv4服务器地址池名,5,"DHCPS/5/DHCPS_ALLOCATE_IP: DHCP server   received a DHCP client’s request packet on interface GigabitEthernet1/0/1,   and allocated an IP address 1.0.0.91(lease 86400 seconds) for the DHCP   client(MAC 0000-0000-905a) from p1 pool.",DHCPv4服务器为DHCPv4客户端分配一个IPv4地址租约,无
 DHCPS_CONFLICT_IP,A conflict IP [IPADDR] from [STRING] pool   was detected by DHCP server on interface [STRING].,$1：冲突的IPv4地址   $2：DHCPv4服务器地址池名   $3：DHCPv4服务器所在接口的接口名,5,DHCPS/5/DHCPS_CONFLICT_IP: A conflict IP   100.1.1.1 from p1 pool was detected by DHCP server on interface GigabitEthernet1/0/1.,DHCPv4服务器从地址池中删除一个冲突地址,无
