### Table 55: Enterprise-Specific MIBs Supported by Junos OS Evolved (Continued)

| **Enterprise-Specific MIB** | **Description** | **Supported and Unsupported Tables and Objects** | **Platform** |
|-----------------------------|-----------------|-------------------------------------------------|--------------|
| **Source Class Usage (SCU) MIB** | Provides support for monitoring SCU and DCU counters. | No exceptions. | PTX10001-36, PTX10004, PTX10008, PTX10016 |
| **TWAMP MIB (jnxTwampMib)** | Monitors network performance using Two-Way Active Measurement Protocol. | Supported tables: <br> - jnxTwampClientResultsSampleTable <br> - jnxTwampClientResultsSummaryTable <br> - jnxTwampClientResultsCalculatedTable <br> - jnxTwampClientHistorySampleTable <br> - jnxTwampClientHistorySummaryTable <br> - jnxTwampClientHistoryCalculatedTable <br> - jnxTwampClientControlConnectionTable <br> - jnxTwampClientTestSessionsTable <br> <br> Supported traps: <br> - jnxTwampClientControlConnectionClosed <br> - jnxTwampClientTestIterationFinished <br> - pingProbeFailed <br> - pingTestFailed <br> - pingTestCompleted <br> - jnxPingRttThresholdExceeded <br> - jnxPingRttJitterThresholdExceeded <br> - jnxPingEgressThresholdExceeded <br> - jnxPingEgressJitterThresholdExceeded <br> - jnxPingIngressThresholdExceeded <br> - jnxPingIngressJitterThresholdExceeded <br> - jnxPingMaxRttThresholdExceeded | PTX10001-36, PTX10003, PTX10004, PTX10008 |
| **Timing MIB (jnxTimingNotfnsMIB)** | Defines Synchronous Ethernet (SyncE) objects, faults, and events. | Supported traps: <br> - jnxTimingFaultLOSSet <br> - jnxTimingFaultLOSClear <br> - jnxTimingFaultEFDSet <br> - jnxTimingFaultEFDClear <br> - jnxTimingFaultLOESMCSet <br> - jnxTimingFaultLOESMCClear <br> - jnxTimingFaultQLFailSet <br> - jnxTimingFaultQLFailClear <br> - jnxTimingFaultLTISet <br> - jnxTimingFaultLTIClear <br> - jnxTimingFaultPriSrcFailed <br> - jnxTimingFaultSecSrcFailed <br> - jnxTimingEventPriSrcRecovered <br> - jnxTimingEventSecSrcRecovered <br> - jnxTimingEventPriRefChanged <br> - jnxTimingEventSecRefChanged <br> - jnxTimingEventQLChangedRx <br> - jnxTimingEventQLChangedTx <br> - jnxTimingEventDpllStatus <br> - jnxTimingEventSynceDpllStatus <br> <br> Supported objects and tables: <br> - jnxClksyncIfIndex <br> - jnxClksyncIntfName <br> - jnxClksyncQualityCode <br> - jnxClksyncQualityCodeStr <br> - jnxClksyncDpllState <br> - jnxClksyncDpllStateStr <br> - jnxClksyncSynceLockedIfIndex <br> - jnxClksyncSynceLockedIntfName <br> - jnxClksyncSynceQualityTable | PTX10008 |
| **VPN MIB** | Provides monitoring for Layer 3 VPNs, Layer 2 VPNs, and virtual private LAN service (VPLS). | Unsupported objects: <br> - jnxVpnActiveVpns <br> - jnxVpnConfiguredVpns | PTX10003 |

### Table 56: Enterprise-Specific MIBs Supported by Junos OS

| **Enterprise-Specific MIB** | **Description** | **Platforms** |
| **Configuration Management MIB** | Provides notification for configuration changes as SNMP traps. Each trap contains the time at which the configuration change was committed, the name of the user who made the change, and the method by which the change was made. History of the last 32 configuration changes is kept in jnxCmChgEventTable. | All platforms |
| **Destination Class Usage MIB** | Provides support for monitoring packet counts based on the ingress and egress points for traffic transiting your networks. Ingress points are identified by the input interface. Egress points are identified by destination prefixes grouped into one or more sets, known as destination classes. One counter is managed per interface per destination class, up to a maximum of 16 counters per interface. | EX Series, M Series, SRX Series, T Series, vSRX Virtual Firewall |
| **DHCP MIB** | Provides SNMP support (get and trap) for DHCP local server and relay configurations. It also provides support for bindings and leases tables, and for statistics. | M Series, MX Series, T Series |
| **DHCPv6 MIB** | Provides SNMP support (get and trap) for DHCPv6 local server and relay configurations. It also provides support for bindings and leases tables, and for statistics. | M Series, MX Series, T Series |
| **Digital Optical Monitoring MIB** | Provides support for the SNMP Get request for statistics and SNMP Trap notifications for alarms. | EX Series, M Series, MX Series, PTX Series, T Series |
| **DNS Objects MIB** | Provides support for monitoring DNS proxy queries, requests, responses, and failures. | SRX Series, vSRX Virtual Firewall |
| **Dynamic Flow Capture MIB** | Provides support for monitoring the operational status of dynamic flow capture (DFC) PICs. | M Series, T Series |
| **Ethernet MAC MIB** | Monitors media access control (MAC) statistics on Gigabit Ethernet intelligent queuing (IQ) interfaces. It collects MAC statistics; for example, inoctets, inframes, outoctets, and outframes on each source MAC address and virtual LAN (VLAN) ID for each Ethernet port. | EX Series, M Series, MX Series, QFX Series, SRX300, SRX320, SRX340, SRX550, SRX1500, T Series |
| **Event MIB** | Defines a generic trap that can be generated using an op script or event policy. This MIB provides the ability to specify a system log string and raise a trap if that system log string is found. | ACX Series, EX Series, M Series, MX Series, PTX Series, QFabric system, QFX Series, SRX1500, SRX300, SRX320, SRX340, SRX550, T Series |
| **Experimental MIB** | Contains object identifiers for experimental MIBs. | ACX Series, M Series, MX Series, T Series |
| **EX Series MAC Notification MIB** | Contains Juniper Networks' implementation of enterprise-specific MIB for Ethernet Mac Stats for EX Series. | EX Series |
| **EX Series SMI MIB** | Contains the Structure of Management Information for Juniper Networks EX Series platforms. | EX Series |
| **Firewall MIB** | Provides support for monitoring firewall filter counters. Routers must have the Internet Processor II ASIC to perform firewall monitoring. | ACX Series, EX Series, M Series, MX Series, PTX Series, QFabric system, QFX Series, SRX300, SRX320, SRX340, SRX550, SRX1500, T Series |
| **Flow Collection Services MIB** | Provides statistics on files, records, memory, FTP, and error states of a monitoring services interface. It also provides SNMP traps for unavailable destinations, unsuccessful file transfers, flow overloading, and memory overloading. | M Series, T Series |
| **GRE Keepalive Monitoring MIB** | Provides support for monitoring generic routing encapsulation (GRE) keepalive status. This MIB also provides an SNMP trap when GRE keepalive status changes. | SRX Series, vSRX Virtual Firewall |
| **Host Resources MIB** | Extends the hrStorageTable object, providing a measure of the usage of each file system on the router in percentage format. Previously, the objects in the hrStorageTable measure the usage in allocation units—hrStorageUsed and hrStorageAllocationUnits—only. Using the percentage measurement, you can monitor and apply thresholds on usage. | ACX Series, EX Series, M Series, MX Series, QFX Series, SRX300, SRX320, SRX340, SRX550, SRX1500, T Series |
| **Interface Accounting Forwarding Class MIB** | Extends the Juniper Enterprise Interface MIB and provides support for monitoring statistics data for interface accounting and IETF standardization. | M Series, MX Series, SRX Series, vSRX Virtual Firewall |
| **Interface MIB** | Extends the standard ifTable (RFC 2863) with additional statistics and Juniper Networks enterprise-specific chassis information. | ACX Series, EX Series, M Series, MX Series, PTX Series, QFabric system, QFX Series, SRX300, SRX320, SRX340, SRX550, SRX1500, T Series |
| **IP Forward MIB** | Extends the standard IP Forwarding Table MIB (RFC 4292) to include CIDR forwarding information. | All platforms |
| **IPsec Generic Flow Monitoring Object MIB** | Based on jnx-ipsec-monitor-mib, this MIB provides support for monitoring IPsec and IPsec VPN management objects. | SRX Series, vSRX Virtual Firewall |
| **IPsec Monitoring MIB** | Provides operational and statistical information related to the IPsec and IKE tunnels on Juniper Networks routers. | M Series, SRX Series, T Series |
| **IPsec VPN Objects MIB** | Provides support for monitoring IPsec and IPsec VPN management objects for Juniper products. This MIB is an extension of jnx-ipsec-flow-mon.mib. | SRX Series, MX Series with USF |
| **IPv4 MIB** | Provides additional Internet Protocol version 4 (IPv4) address information, supporting the assignment of identical IPv4 addresses to separate interfaces. | All platforms |
| **IPv6 and ICMPv6 MIB** | Provides IPv6 and Internet Control Message Protocol version 6 (ICMPv6) statistics. | M Series, MX Series, PTX Series, SRX Series, T Series, vSRX Virtual Firewall |
| **jnxASICExternalMemTraps** | Provides information on ASIC external memory errors. | QFX10002-36Q, QFX10002-60C, QFX10002-72Q, QFX10008, QFX10016, PTX1000, PTX10002-60C, PTX10008, PTX10016 |
| **jnxASICExternalMemOKTraps** | Provides information on ASIC external memory errors. | QFX10002-36Q, QFX10002-60C, QFX10002-72Q, QFX10008, QFX10016, PTX1000, PTX10002-60C, PTX10008, PTX10016 |
| **jnxHmcFatal** | Provides information when the specified HMC on a specific FPC has failed. | QFX10002-36Q, QFX10002-60C, QFX10002-72Q, QFX10008, QFX10016, PTX1000, PTX10002-60C, PTX10008, PTX10016 |

This table provides a comprehensive overview of the enterprise-specific MIBs supported by Junos OS, along with their descriptions, supported and unsupported tables and objects, and the platforms they are available on.
