以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 8月网络安全资讯概览

#### 8.1
  - [链接](http://blog.nsfocus.net/%e7%ad%89%e4%bf%9d2-0%e6%a0%87%e5%87%86%e8%a6%81%e6%b1%82%e4%b8%8b%e4%ba%91%e8%ae%a1%e7%ae%97%e5%ae%89%e5%85%a8%e4%b8%8e%e9%a3%8e%e9%99%a9%e8%af%84%e4%bc%b0%e6%8e%a2%e7%a9%b6/)

#### 8.17
- **基于DNS隐蔽信道的攻击与检测**
  - [链接](https://www.freebuf.com/articles/database/210250.html)

#### 8.18
- **Paypal企业账户子账户未授权转账漏洞（$10K）**
  - [链接](https://www.freebuf.com/vuls/210669.html)
- **Shade活跃，中国可能成为下一个受害者**
  - [链接](https://www.freebuf.com/articles/system/210577.html)

#### 8.19
- **利用ICMP进行命令控制和隧道传输**
  - [链接](https://www.freebuf.com/sectool/210450.html)

#### 8.20
- **从ATT&CK看威胁情报的发展和应用趋势**
  - [链接](https://www.sec-un.org/%e4%bb%8eattck%e7%9c%8b%e5%a8%81%e8%83%81%e6%83%85%e6%8a%a5%e7%9a%84%e5%8f%91%e5%b1%95%e5%92%8c%e5%ba%94%e7%94%a8%e8%b6%8b%e5%8a%bf/)

#### 8.21
- **全程带阻：记一次授权网络攻防演练（上）**
  - [链接](https://www.freebuf.com/vuls/211842.html)

#### 8.22
- **激光窃听检测与防护方法**
  - [链接](https://www.secrss.com/articles/12992)

#### 8.26
- **“暗度陈仓”病毒分析报告**
  - [链接](https://www.freebuf.com/articles/network/210551.html)

#### 8.27
- **QEMU虚拟机逃逸漏洞分析与利用（CVE-2019-14378）**
  - [链接](https://www.anquanke.com/post/id/184949)
- **摩诃草团伙利用公用平台分发C&C配置攻击活动揭露**
  - [链接](https://www.anquanke.com/post/id/185147)
- **美团安全分享APT检测设备的扩展研究**
  - [链接](https://www.anquanke.com/post/id/185101)
- **Instagram用户面临新型钓鱼网络威胁**
  - [链接](http://hackernews.cc/archives/27139)

#### 8.28
- **基于知识图谱的自动化渗透设计与实现**
  - [链接](https://www.anquanke.com/post/id/185135)
- **ARP欺骗常见姿势及多机ARP欺骗**
  - [链接](https://www.freebuf.com/articles/network/207238.html)
- **金山毒霸背后的黑产推波助澜**
  - [链接](https://www.secpulse.com/archives/111435.html)
- **下载量超过一亿的应用含有恶意模块**
  - [链接](https://www.solidot.org/story?sid=61879)
- **利用SSH隧道反弹Shell**
  - [链接](https://paper.seebug.org/1022/)

#### 8.29
- **KCon 2019议题PPT公开**
  - [链接](https://paper.seebug.org/1023/)
- **Objection：运行时移动设备漏洞利用工具**
  - [链接](https://www.freebuf.com/sectool/211869.html)
- **如何获取PowerShell命令的历史记录**
  - [链接](https://www.freebuf.com/articles/network/210932.html)
- **某游戏厂商FPS游戏CRC检测的对抗与防护**
  - [链接](https://www.freebuf.com/articles/system/210304.html)
- **Android欺诈警告：150万用户被迫点击广告**
  - [链接](https://www.forbes.com/sites/thomasbrewster/2019/08/29/another-android-fraud-warning-15-million-users-are-being-forced-to-click-app-ads/)

#### 8.30
- **勒索软件攻击影响美国数百家牙科诊所**
  - [链接](http://hackernews.cc/archives/27184)
- **针对区块链数字加密币交易平台的定向攻击**
  - [链接](https://paper.seebug.org/1027/)
- **使用Google进行批量SQL注入扫描**
  - [链接](https://www.freebuf.com/articles/web/210651.html)

#### 8.31
- **移动勒索软件再次出现**
  - [链接](https://www.freebuf.com/articles/terminal/210081.html)

### 9月网络安全资讯概览

#### 9.2
- **某单位APT攻击样本分析**
  - [链接](https://www.freebuf.com/articles/security-management/211330.html)
- **Gorgon APT组织再做文章：DropBox到NJRat的曲折历程**
  - [链接](https://www.anquanke.com/post/id/185566)
- **实战化ATT&CK™**
  - [链接](https://www.anquanke.com/post/id/185492)

#### 9.3
- **WannaMine挖矿木马再活跃，14万台Linux系统受攻击**
  - [链接](https://www.freebuf.com/articles/network/212166.html)
- **Kaspersky发现流行Android应用中隐藏恶意软件**
  - [链接](https://www.bankinfosecurity.com/kaspersky-malware-found-hiding-in-popular-android-app-a-13008)
- **HiddenEye：带有高级功能的现代钓鱼工具**
  - [链接](https://www.freebuf.com/sectool/212130.html)
- **默安科技云舒：十五年后，重谈安全开发体系**
  - [链接](https://www.freebuf.com/articles/es/213118.html)

#### 9.5
- **日活百万级病毒“DropperNecro”分析报告**
  - [链接](https://www.freebuf.com/articles/terminal/213324.html)
- **Dwarf：基于Pyqt5和Frida的逆向分析调试工具**
  - [链接](https://www.freebuf.com/sectool/212123.html)
- **浅谈ARP欺骗的实现与防御**
  - [链接](https://www.freebuf.com/articles/network/210852.html)
- **如何搭建威胁情报库**
  - [链接](https://www.freebuf.com/articles/network/210451.html)

#### 9.6
- **针对现代Android智能手机的高级SMS钓鱼攻击**
  - [链接](https://research.checkpoint.com/advanced-sms-phishing-attacks-against-modern-android-based-smartphones/)
- **针对Android的高级SMS钓鱼技术研究**
  - [链接](https://www.anquanke.com/post/id/185912)
- **某APT组织利用鱼叉邮件渗透多个行业窃取敏感数据**
  - [链接](https://www.secpulse.com/archives/111999.html)

#### 9.7
- **信息窃取木马分析报告**
  - [链接](https://www.freebuf.com/articles/network/211875.html)

#### 9.8
- **TWINT：Twitter信息爬取工具**
  - [链接](https://www.freebuf.com/sectool/212601.html)

#### 9.9
- **地下黑客论坛最流行的恶意软件和黑客工具揭秘**
  - [链接](https://www.freebuf.com/articles/system/213765.html)
- **黑客通过伪造PayPal网站传播勒索软件**
  - [链接](http://hackernews.cc/archives/27284)

#### 9.10
- **Donot APT组织（肚脑虫）伪装克什米尔新闻APP的攻击活动分析**
  - [链接](https://www.anquanke.com/post/id/186254)
- **GandCrab v2.0勒索病毒分析学习**
  - [链接](https://www.secpulse.com/archives/112170.html)
- **移动基带安全研究系列之一：概念和系统篇**
  - [链接](https://www.freebuf.com/articles/terminal/213807.html)
- **电力行业的安全检查评估方法**
  - [链接](https://www.freebuf.com/articles/ics-articles/212503.html)

#### 9.11
- **境外APT组织“响尾蛇”对中国发起攻击事件报告**
  - [链接](https://www.freebuf.com/articles/paper/213799.html)

#### 9.12
- **2019上半年企业安全总结**
  - [链接](https://www.freebuf.com/articles/es/211633.html)
- **继续聊聊梦里的那点事儿（下）**
  - [链接](https://www.freebuf.com/articles/web/214076.html)

#### 9.13
- **APT34泄露工具分析：HighShell和HyperShell**
  - [链接](https://www.freebuf.com/sectool/210860.html)

---

希望这能帮助您更好地整理和呈现这些重要的网络安全资讯。
