### Deterministic Finite Automaton for Signature Detection

The deterministic finite automaton (DFA) depicted below is designed to match the following signatures: "h.dllhel32hkernQhounthickChGetTf", "hws2", "Qhsoc", "Qhsockf", and "toQhsend".

#### DFA States

  - 'o': 44
  - 't': 43

- **State 22:**
  - '.': 2
  - 'Q': 36
  - 'h': 1
  - 'i': 23
  - 't': 43
  - 'w': 33

- **State 23:**
  - 'Q': 36
  - 'c': 24
  - 'h': 1
  - 't': 43

- **State 24:**
  - 'Q': 36
  - 'h': 1
  - 'k': 25
  - 't': 43

- **State 25:**
  - 'C': 26
  - 'Q': 36
  - 'h': 1
  - 't': 43

- **State 26:**
  - 'Q': 36
  - 'h': 27
  - 't': 43

- **State 27:**
  - '.': 2
  - 'G': 28
  - 'Q': 36
  - 'h': 1
  - 't': 43
  - 'w': 33

- **State 28:**
  - 'Q': 36
  - 'e': 29
  - 'h': 1
  - 't': 43

- **State 29:**
  - 'Q': 36
  - 'h': 1
  - 't': 30

- **State 30:**
  - 'Q': 36
  - 'T': 31
  - 'h': 1
  - 'o': 44
  - 't': 43

- **State 31:**
  - 'Q': 36
  - 'f': 32
  - 'h': 1
  - 't': 43

- **State 33:**
  - 'Q': 36
  - 'h': 1
  - 's': 34
  - 't': 43

- **State 34:**
  - '2': 35
  - 'Q': 36
  - 'h': 1
  - 't': 43

- **State 36:**
  - 'Q': 36
  - 'h': 37
  - 't': 43

- **State 37:**
  - '.': 2
  - 'Q': 36
  - 'h': 1
  - 's': 38
  - 't': 43
  - 'w': 33

- **State 38:**
  - 'Q': 36
  - 'h': 1
  - 'o': 39
  - 't': 43

- **State 39:**
  - 'Q': 36
  - 'c': 40
  - 'h': 1
  - 't': 43

- **State 40:**
  - 'Q': 36
  - 'h': 1
  - 'k': 41
  - 't': 43

- **State 41:**
  - 'Q': 36
  - 'f': 42
  - 'h': 1
  - 't': 43

- **State 43:**
  - 'Q': 36
  - 'h': 1
  - 'o': 44
  - 't': 43

- **State 44:**
  - 'Q': 45
  - 'h': 1
  - 't': 43

- **State 45:**
  - 'Q': 36
  - 'h': 46
  - 't': 43

- **State 46:**
  - '.': 2
  - 'Q': 36
  - 'h': 1
  - 's': 47
  - 't': 43
  - 'w': 33

- **State 47:**
  - 'Q': 36
  - 'e': 48
  - 'h': 1
  - 'o': 39
  - 't': 43

- **State 48:**
  - 'Q': 36
  - 'h': 1
  - 'n': 49
  - 't': 43

- **State 49:**
  - 'Q': 36
  - 'd': 50
  - 'h': 1
  - 't': 43

- **State 50:**
  - 'Q': 36
  - 'h': 1
  - 't': 43

#### Matches

Matches are found in the following states:
- State 32: "h.dllhel32hkernQhounthickChGetTf"
- State 35: "hws2"
- State 40: "Qhsoc"
- State 42: "Qhsockf"
- State 50: "toQhsend"

### Observations

1. **Algorithm Simplicity**: The pattern-matching algorithm is straightforward, consisting of a comparison, state transition, and an action upon a match. This simplicity minimizes the required instruction memory.

2. **DFA Size**: Even for a small set of patterns, the DFA is relatively large, with 51 states for 5 partially overlapping patterns. For longer scans, the memory footprint can grow significantly. Recent research has explored methods to reduce this footprint, but at the cost of performance.

3. **Scalability**: The Aho-Corasick algorithm scales well with increasing numbers of patterns and pattern lengths. Performance is largely unaffected by these factors, except for the increased frequency of actions when more matches occur.

4. **Parallelism**: Parallel processing can be achieved by assigning different packets to different processors. Splitting the pattern set among processors for the same packet offers little benefit.

5. **Interrupt Handling**: When a traffic scan is interrupted, only the current state number needs to be stored to resume later, without the need for per-pattern information.

### Hardware Implementation

**CardGuard** is implemented on a single Intel IXP1200 Network Processing Unit (NPU) board. The IXP1200 operates at 232 MHz and is mounted on a Radisys ENP2506 board with 8 MB of SRAM and 256 MB of SDRAM. The board features two Gigabit Ethernet ports, and packet reception and transmission are managed by the IXP1200.

The IXP1200 chip includes a StrongARM processor running embedded Linux and six independent RISC microengines. Each microengine has a 1K instruction store and 128 general-purpose registers, along with special-purpose registers for SRAM and SDRAM access. The registers are partitioned into four hardware contexts or threads, which share the instruction store but have their own program counters, allowing zero-overhead context switching.

The IXP1200 has 4 KB of on-chip scratch memory, with approximate access times of 12-14 cycles for scratch, 16-20 cycles for SRAM, and 30-40 cycles for SDRAM. Instruction store and registers can be accessed within a single clock cycle. The network processor is connected to the network interfaces via a high-speed proprietary bus (the IX bus).

A newer version of the IXP architecture, the IXP2800, supports up to 16 microengines (with 8 threads each), 16 KB of scratch memory, and operates at 1.4 GHz, highlighting the potential for further advancements in this technology.
