# G0096: APT41
## Description
APT41 is a threat group known for conducting both Chinese state-sponsored espionage and financially motivated activities. Active since at least 2012, APT41 has targeted various industries, including healthcare, telecommunications, technology, and video gaming, across 14 countries. (Citation: FireEye APT41 Aug 2019)

## Tactics, Techniques, and Procedures (TTPs)
The following table outlines the TTPs associated with APT41:

| Platform | Tactic | Technique | Description | Data Sources |
| Linux, macOS, Windows | Defense Evasion | [Indicator Removal on Host](https://attack.mitre.org/techniques/T1070/) | APT41 attempted to remove evidence of some of its activity by clearing Windows security and system events. | File monitoring, Process monitoring, Process command-line parameters, API monitoring, Windows event logs |
| Windows | Persistence | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | APT41 created and modified startup files for persistence. | Windows Registry, File monitoring |
| Linux, macOS, Windows | Discovery | [System Owner/User Discovery](https://attack.mitre.org/techniques/T1033/) | APT41 used the WMIEXEC utility to execute `whoami` commands on remote machines. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Execution | [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047/) | APT41 used WMI in several ways, including for execution of commands via WMIEXEC and for persistence via PowerSploit. | Authentication logs, Netflow/Enclave netflow, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | Defense Evasion, Persistence, Privilege Escalation, Initial Access | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | APT41 used compromised credentials to log on to other systems. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Linux, macOS, Windows | Collection, Credential Access | [Input Capture](https://attack.mitre.org/techniques/T1056/) | APT41 used a keylogger called GEARSHIFT on a target system. | Windows Registry, Kernel drivers, Process monitoring, API monitoring |
| Linux, Windows, macOS | Initial Access | [Supply Chain Compromise](https://attack.mitre.org/techniques/T1195/) | APT41 gained access to production environments where they could inject malicious code into legitimate, signed files and widely distribute them to end users. | Web proxy, File monitoring |
| Linux, macOS, Windows | Command and Control | [Domain Generation Algorithms](https://attack.mitre.org/techniques/T1483/) | APT41 used DGA to change their C2 servers monthly. | Process use of network, Packet capture, Network device logs, Netflow/Enclave netflow, DNS records |
| Linux, macOS, Windows | Command and Control, Defense Evasion | [Connection Proxy](https://attack.mitre.org/techniques/T1090/) | APT41 used a tool called CLASSFON to covertly proxy network communications. | Process use of network, Process monitoring, Netflow/Enclave netflow, Packet capture |
| Windows | Persistence, Initial Access | [External Remote Services](https://attack.mitre.org/techniques/T1133/) | APT41 compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service. | Authentication logs |
| Windows, macOS, Linux | Initial Access | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | APT41 sent spearphishing emails with attachments such as compiled HTML (.chm) files to initially compromise their victims. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows | Defense Evasion | [Masquerading](https://attack.mitre.org/techniques/T1036/) | APT41 attempted to masquerade their files as popular anti-virus software. | File monitoring, Process monitoring, Binary file metadata |
| Windows | Execution | [PowerShell](https://attack.mitre.org/techniques/T1086/) | APT41 leveraged PowerShell to deploy malware families in victims’ environments. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Windows | Persistence, Privilege Escalation | [Accessibility Features](https://attack.mitre.org/techniques/T1015/) | APT41 leveraged sticky keys to establish persistence. | Windows Registry, File monitoring, Process monitoring |
| Windows, Linux, macOS | Credential Access | [Credential Dumping](https://attack.mitre.org/techniques/T1003/) | APT41 used the Windows Credential Editor to dump password hashes from memory and authenticate other user accounts. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Windows | Lateral Movement | [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076/) | APT41 used RDP for lateral movement. | Authentication logs, Netflow/Enclave netflow, Process monitoring |
| Linux, Windows, macOS, AWS, GCP, Azure | Discovery | [Network Service Scanning](https://attack.mitre.org/techniques/T1046/) | APT41 used a malware variant called WIDETONE to conduct port scans on specified subnets. | Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process use of network |
| Linux, macOS, Windows, Office 365, Azure AD, SaaS | Credential Access | [Brute Force](https://attack.mitre.org/techniques/T1110/) | APT41 performed password brute-force attacks on the local admin account. | Office 365 account logs, Authentication logs |
| Linux, Windows | Persistence | [Bootkit](https://attack.mitre.org/techniques/T1067/) | APT41 deployed Master Boot Record bootkits on Windows systems to hide their malware and maintain persistence on victim systems. | API monitoring, MBR, VBR |
| Linux, macOS, Windows | Defense Evasion | [Rootkit](https://attack.mitre.org/techniques/T1014/) | APT41 deployed rootkits on Linux systems. | BIOS, MBR, System calls |
| macOS, Windows | Defense Evasion | [Code Signing](https://attack.mitre.org/techniques/T1116/) | APT41 leveraged code-signing certificates to sign malware when targeting both gaming and non-gaming organizations. | Binary file metadata |

This table provides a comprehensive overview of the tactics, techniques, and procedures employed by APT41, along with the relevant data sources for detection and mitigation.
