66.249.64.199 - - [12/Jun/2017:06:54:02 +0800] "GET /docs/import/logparse/ HTTP/1.1" 200 10427 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:22 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:22 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:22 +0800] "GET /assets/img/rzy/homepage/banner1.jpg HTTP/1.1" 200 144890 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.066 -
60.12.4.135 - - [12/Jun/2017:07:02:22 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:23 +0800] "GET /assets/img/rzy/homepage/highlight.png HTTP/1.1" 200 106736 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:23 +0800] "GET /assets/img/rzy/homepage/banner2.jpg HTTP/1.1" 200 536561 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.758 -
60.12.4.135 - - [12/Jun/2017:07:02:23 +0800] "GET /assets/img/rzy/homepage/highlight2.png HTTP/1.1" 200 38037 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.199 -
60.12.4.135 - - [12/Jun/2017:07:02:23 +0800] "GET /assets/img/rzy/homepage/banner3.jpg HTTP/1.1" 200 264078 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.606 -
60.12.4.135 - - [12/Jun/2017:07:02:25 +0800] "GET /assets/img/rzy/customer-logos-2x.png HTTP/1.1" 200 759601 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 1.889 -
60.12.4.135 - - [12/Jun/2017:07:02:25 +0800] "GET /assets/img/rzy/homepage/desc-2x.png HTTP/1.1" 200 1413667 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 2.560 -
60.12.4.135 - - [12/Jun/2017:07:02:26 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:26 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:26 +0800] "GET /assets/img/rzy/homepage/banner1.jpg HTTP/1.1" 200 144890 "http://www.rizhiyi.com/" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:26 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:26 +0800] "GET /assets/img/rzy/homepage/highlight.png HTTP/1.1" 200 106736 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.000 -
60.12.4.135 - - [12/Jun/2017:07:02:27 +0800] "GET /assets/img/rzy/homepage/banner3.jpg HTTP/1.1" 200 264078 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.348 -
60.12.4.135 - - [12/Jun/2017:07:02:27 +0800] "GET /assets/img/rzy/homepage/highlight2.png HTTP/1.1" 200 38037 "http://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 0.267 -
60.12.4.135 - - [12/Jun/2017:07:02:27 +0800] "GET / HTTP/1.0" 200 26504 "-" "Mozilla/5.0 (Linux; Android 6.0; NEM-AL10 Build/HONORNEM-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 Aphone Browser (2.0.5)" "-" 5.000 -
