To prepare an initial version of your test script, manipulate your application in a standard web browser. While a comprehensive tutorial on JMeter is beyond the scope of this document, it is relatively straightforward to learn, and detailed instructions are available on the JMeter website. With a bit of effort, you can create a robust test script within a few hours.

Our primary focus here is on automating these performance tests. There are several methods to integrate JMeter tests into your Jenkins build process. Although there is no official JMeter plugin for Maven in the Maven repositories at the time of writing, an Ant plugin is available. The simplest approach is to write an Ant script to run your performance tests, which can be called directly or, if you are using a Maven project and want to run JMeter through Maven, use the Maven Ant integration to invoke the Ant script from within Maven. A basic Ant script running JMeter tests is shown below:

```xml
<target name="run-jmeter-tests">
    <jmeter jmeterhome="${tools.dir}/jmeter"
            resultlog="${jmeter.results.file}">
        <testplan file="${jmeter.test.plan}"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_errors" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_all_threads" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_name" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_label" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_number" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_code" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_failure_message" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sent_bytes" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_url" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sampler_data" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_latency" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_connect_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_idle_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_timestamp" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_thread_counts" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_sample_count" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_assertion_results" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_subresults" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_success" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_elapsed_time" value="true"/>
        <property name="jmeter.save.saveservice.print_group_by_response_data_on_error" value="true"/>
        <property name="jmeter.save.saveservice.print_group
