# Network Ports and Services Overview

**Authors:**

## Table of Contents
1. [Ports and Services](#ports-and-services)
2. [Links](#links)

## Ports and Services

The following table provides a comprehensive list of common network ports, their associated protocols, services, and relevant commands for testing and interaction.

| **Port Number** | **Protocol** | **Service & Application** | **Commands** |
| 80              | TCP          | HTTP, Malware             | -            |
| 81              | TCP          | HTTP, Malware             | -            |
| 82              | TCP          | HTTP, Malware             | -            |
| 83              | TCP          | HTTP                      | -            |
| 84              | TCP          | HTTP                      | -            |
| 88              | TCP          | Kerberos                  | `use auxiliary/admin/kerberos/ms14_068_kerberos_checksum` |
| 102             | TCP          | Siemens S7                | -            |
| 110             | TCP          | POP3                      | -            |
| 111             | TCP          | RPC                       | `rpcinfo -p <target>`<br>`msf > use auxiliary/scanner/nfs/nfsmount` |
| 119             | TCP          | NNTP                      | -            |
| 123             | TCP/UDP      | NTP                       | `ntpdc -n -c monlist <target>`<br>`nmap -sU -p 123 -Pn -n --script ntp-info <target>`<br>`nmap -sU -p 123 -Pn -n --script ntp-monlist <target>`<br>`msf > use auxiliary/scanner/ntp/ntp_readvar` |
| 137             | TCP          | NetBIOS                   | `nbtscan -A <target>` |
| 143             | TCP          | IMAP                      | -            |
| 161             | UDP          | SNMP                      | `snmpcheck -p 161 -c public -t <target>`<br>`snmpwalk -v1 -c public <target>`<br>`msf > use auxiliary/scanner/snmp/snmp_enum` |
| 175             | TCP          | IBM Network Job Entry     | -            |
| 179             | TCP          | BGP                       | -            |
| 195             | TCP          | TA14-353a                 | -            |
| 311             | TCP          | OS X Server Manager       | -            |
| 389             | TCP          | LDAP                      | `ldap://<target>/dc=com` |
| 443             | TCP          | HTTPS                     | `openssl s_client -host www.yahoo.com -port 443`<br>`sslscan www.yahoo.com`<br>`tlssled www.yahoo.com 443`<br>`nmap --script sslv2 www.yahoo.com`<br>`nmap --script ssl-cert www.yahoo.com`<br>`nmap --script ssl-date www.yahoo.com`<br>`nmap --script ssl-enum-ciphers www.yahoo.com`<br>`nmap --script ssl-google-cert-catalog www.yahoo.com`<br>`msf > use auxiliary/pro/web_ssl_scan`<br>`msf > use auxiliary/scanner/ssl/openssl_heartbleed`<br>`msf > use auxiliary/server/openssl_heartbeat_client_memory` |
| 445             | TCP          | Microsoft-DS Active Directory, Windows Shares | `smbclient -U root -L <target>`<br>`smbclient -U root //<target>/tmp`<br>`rpcclient -U "" <target>`<br>`msf > use auxiliary/admin/smb/samba_symlink_traversal` |
| 465             | TCP          | SMTPS                     | -            |
| 500             | UDP          | IKE                       | -            |
| 502             | TCP          | Modbus                    | -            |
| 503             | TCP          | Modbus                    | -            |
| 512             | TCP          | -                         | -            |
| 513             | TCP          | -                         | -            |
| 514             | TCP          | -                         | -            |
| 515             | TCP          | Line Printer Daemon       | -            |
| 520             | TCP          | RIP                       | -            |
| 523             | TCP          | IBM DB2                   | -            |
| 554             | TCP          | RTSP                      | -            |
| 587             | TCP          | SMTP Mail Submission      | -            |
| 623             | TCP          | IPMI                      | -            |
| 626             | TCP          | OS X Serialnumbered       | -            |
| 631             | TCP          | CUPS Service Error        | -            |
| 636             | TCP          | LDAPS                     | -            |
| 771             | TCP          | Realport                  | -            |
| 789             | TCP          | Redlion Crimson3          | -            |
| 873             | TCP          | Rsync                     | `rsync -a user@host::tools`<br>`nmap -p 873 --script rsync-brute --script-args 'rsync-brute.module=www' <target>`<br>`nmap -p 873 --script rsync-list-modules <target>`<br>`msf > use auxiliary/scanner/rsync/modules_list` |
| 902             | TCP          | VMware Authentication      | -            |
| 992             | TCP          | Telnet (Secure)           | -            |
| 993             | TCP          | IMAPs                     | -            |
| 995             | TCP          | POP3s                     | -            |
| 1023            | TCP          | Telnet                    | -            |
| 1025            | TCP          | Kamstrup                  | -            |
| 1099            | TCP          | Remote Method Invocation  | `use exploit/multi/misc/java_rmi_server` |
| 1194            | TCP          | OpenVPN                   | -            |
| 1200            | TCP          | Codesys                   | -            |
| 1234            | UDP          | UdpXy                     | -            |
| 1202            | TCP          | Linknat                   | -            |
| 1434            | UDP          | MS-SQL Monitor            | -            |
| 1604            | -            | Citrix, Malware           | -            |
| 1723            | TCP          | PPTP                      | `thc-pptp-bruter -v -u <username> -n 4 <target>`<br>`showmount --exports <target>`<br>`mount -t nfs <target>:/ /mnt/nfs/` |
| 2121            | TCP          | FTP                       | `msf > use auxiliary/scanner/ftp/ftp_login` |
| 2082            | TCP          | cPanel                    | -            |
| 2083            | TCP          | cPanel                    | -            |
| 2086            | -            | WHM                       | -            |
| 2087            | -            | WHM                       | -            |
| 2123            | -            | GTPv1                     | -            |
| 2152            | -            | GTPv1                     | -            |
| 2182            | -            | Apache Zookeeper          | -            |
| 2222            | TCP          | SSH, PLC5, EtherNet/IP    | -            |
| 2323            | TCP          | Telnet                    | -            |
| 2332            | TCP          | Sierra Wireless (Telnet)  | -            |
| 2375            | -            | Docker                    | -            |
| 2376            | -            | Docker                    | -            |
| 2404            | -            | IEC-104                   | -            |
| 2455            | -            | CoDeSys                   | -            |
| 2480            | -            | OrientDB                  | -            |
| 2628            | -            | Dictionary                | -            |
| 3000            | -            | ntop                      | -            |
| 3128            | TCP          | Squid                     | -            |
| 3299            | TCP          | SAP                       | `msf > use auxiliary/scanner/sap/sap_router_portscanner` |
| 3306            | TCP          | MySQL                     | `msf > use auxiliary/scanner/mysql/mysql_login`<br>`nmap --script mysql-brute <target>`<br>`nmap --script mysql-databases <target>`<br>`nmap -p 3306 --script mysql-dump-hashes <target> --script-args='username=<username>,password=<password>'`<br>`nmap -p 3306 --script mysql-enum <target>`<br>`nmap -p 3306 --script mysql-users <target>`<br>`nmap -p 3306 --script mysql-query --script-args='query="<query>"[,username=<username>,password=<password>] <target>'` |
| 3310            | TCP          | ClamAV                    | -            |
| 3386            | -            | GTPv1                     | -            |
| 3388            | -            | RDP                       | -            |
| 3389            | -            | RDP                       | -            |
| 3541            | -            | PBX GUI                   | -            |
| 3542            | -            | PBX GUI                   | -            |
| 3632            | TCP          | DistCCD                   | `msf > use exploit/unix/misc/distcc_exec` |
| 3689            | -            | DACP                      | -            |
| 3780            | -            | Metasploit                | -            |
| 3787            | -            | Ventrilo                  | -            |
| 4022            | -            | UdpXy                     | -            |
| 4369            | TCP          | Erlang Port Mapper Daemon | `nmap -p 4369 --script epmd-info <target>` |
| 4440            | TCP          | Rundeck                   | -            |
| 4500            | -            | IKE NAT-T (VPN)           | -            |
| 4567            | -            | Modem Web Interface       | -            |
| 4070            | -            | VertX/Edge Door Controller | -            |
| 4800            | -            | Noxa Nport                | -            |
| 4911            | -            | Niagara Fox with SSL      | -            |
| 4949            | -            | Munin                     | -            |
| 5006            | -            | MELSEC-Q                  | -            |
| 5007            | -            | MELSEC-Q                  | -            |
| 5008            | -            | NetMobility               | -            |
| 5009            | -            | Apple Airport Administrator | -            |
| 5038            | TCP          | Asterisk Call Manager     | `http://code.google.com/p/sipvicious/`<br>`$ ncat -v <target> 5038`<br>`Ncat: Version 6.47 ( http://nmap.org/ncat )`<br>`Ncat: Connected to <target>:5038.`<br>`Asterisk Call Manager/1.1`<br>`action: login`<br>`username: admin`<br>`secret: amp111`<br>`Response: Success`<br>`Message: Authentication accepted`<br>`action: command`<br>`command: core show help` |
| 5432            | TCP          | PostgreSQL                | -            |
| 5060            | UDP          | SIP                       | `msf > use auxiliary/scanner/sip/options` |
| 5222            | -            | XMPP                      | -            |
| 5269            | -            | XMPP Server to Server     | -            |
| 5353            | -            | mDNS                      | -            |
| 5357            | -            | Microsoft-HTTP API/2.0    | -            |
| 5432            | -            | PostgreSQL                | -            |
| 5555            | TCP          | HP Data Protector         | `msf > use exploit/windows/misc/hp_dataprotector_cmd_exec` |
| 5577            | -            | Flux LED                  | -            |
| 5601            | TCP          | Kibana                    | -            |
| 5632            | -            | PCAnywhere                | -            |
| 5672            | -            | RabbitMQ                  | -            |
| 5900            | TCP          | VNC                       | `msf > use auxiliary/scanner/vnc/vnc_none_auth`<br>`msf > use auxiliary/scanner/vnc/vnc_login`<br>`msf > use exploit/multi/vnc/vnc_keyboard_exec`<br>`nmap --script vnc-brute -p 5900`<br>`nmap --script vnc-info -p 5900` |
| 5901            | -            | VNC                       | -            |
| 5938            | -            | TeamViewer                | -            |
| 5984            | -            | CouchDB                   | -            |
| 5985            | TCP          | WinRM                     | `msf > use exploit/windows/winrm/winrm_script_exec`<br>`msf > use auxiliary/scanner/winrm/winrm_auth_methods`<br>`msf > use auxiliary/scanner/winrm/winrm_cmd`<br>`msf > use auxiliary/scanner/winrm/winrm_login`<br>`msf > use auxiliary/scanner/winrm/winrm_wql` |
| 6000            | TCP          | X11                       | `xwd -root -screen -silent -display <target>:0 > out.xwd`<br>`convert out.xwd out.png` |
| 6379            | TCP          | Redis                     | `redis-cli -h 127.0.0.1 -p 6379`<br>`msf > use auxiliary/scanner/redis/file_upload`<br>`msf > use auxiliary/scanner/redis/redis_login`<br>`msf > use auxiliary/scanner/redis/redis_server` |
| 6380            | TCP          | Redis                     | -            |
| 6082            | TCP          | Varnish                   | -            |
| 6667            | TCP          | IRCd Backdoor             | `msf > use exploit/unix/irc/unreal_ircd_3281_backdoor` |
| 6881            | -            | BitTorrent                | -            |
| 6969            | -            | TFTP, BitTorrent          | -            |
| 7001            | TCP          | WebLogic                  | -            |
| 8080            | TCP          | Jenkins                   | `println "cmd.exe /c dir".execute().text`<br>`msf > use auxiliary/scanner/http/jenkins_enum`<br>`msf > use exploit/multi/http/jenkins_script_console` |
| 8083            | TCP          | VestaCP                   | -            |
| 8089            | TCP          | JBoss                     | -            |
| 8101            | TCP          | Apache Karaf              | -            |
| 8180            | TCP          | Apache Tomcat             | `msf > use exploit/multi/http/tomcat_mgr_deploy` |
| 8443            | TCP          | HTTPS                     | -            |
| 8554            | TCP          | RTSP                      | -            |
| 8649            | TCP          | Ganglia                   | -            |
| 9009            | TCP          | Julia                     | -            |
| 9151            | TCP          | Tor Control               | -            |
| 9160            | -            | Apache Cassandra          | -            |
| 9200            | TCP          | Elasticsearch             | `msf > use exploit/multi/elasticsearch/search_groovy_script` |
| 9418            | TCP          | Git                       | -            |
| 10000           | TCP          | Virtualmin/Webmin         | -            |
| 11211           | TCP          | Memcache                  | `msf > use auxiliary/gather/memcached_extractor`<br>`$ nc <target> 11211`<br>`stats\r\n` |
| 13579           | -            | Media Player Classic Web Interface | -            |
| 15672           | TCP          | RabbitMQ                  | `http login - guest/guest` |
| 17185           | -            | VxWorks WDBRPC            | -            |
| 18083           | TCP          | VBox Server               | -            |
| 27017           | TCP          | MongoDB                   | `msf > use auxiliary/scanner/mongodb/mongodb_login`<br>`$ mongo <host>:<port>/<database>`<br>`MongoDB shell version: 2.6.12`<br>`> help` |
| 28017           | TCP          | MongoDB                   | -            |
| 37777           | -            | Dahua DVR                 | -            |
| 44818           | -            | EtherNet/IP               | -            |
| 49153           | -            | WeMo Link                 | -            |
| 50000           | TCP          | SAP                       | -            |
| 50030           | TCP          | Hadoop                    | -            |
| 50070           | TCP          | Hadoop                    | -            |
| 51106           | -            | Deluge (HTTP)             | -            |
| 54138           | -            | Toshiba PoS               | -            |
| 55553           | -            | Metasploit                | -            |
| 55554           | -            | Metasploit                | -            |
| 62078           | -            | Apple iDevice             | -            |
| 64738           | -            | Mumble                    | -            |

## Links

1. [RFC Editor Search](http://www.rfc-editor.org/search/rfc_search.php)
2. [PacketLife.net](http://packetlife.net/)
3. [Shodan Book](https://www.leanpub.com/shodan)
