 VOLT_HIGH,[STRING]: Voltage is high.,$1：端口类型和编号,5,OPTMOD/5/VOLT_HIGH: GigabitEthernet1/0/13:   Voltage is high.,光模块电压超过上限,1.display   transceive diagnosis interface命令查看电压是否已经超过高告警门限   2.display   transceive alarm interface命令查看当前是否确实有电压高告警   3.如果确实超过门限了，模块有问题，更换模块
 OSPF_RTRID_CONFLICT_INTRA,OSPF [UINT16] Received newer   self-originated router-LSAs. Possible conflict of router ID [STRING] in area   [STRING].,$1：OSPF进程ID   $2：路由器ID   $3：OSPF区域ID,6,OSPF/6/OSPF_RTRID_CONFLICT_INTRA: OSPF 1   Received newer self-originated router-LSAs. Possible conflict of router ID   11.11.11.11 in area 0.0.0.1.,同一OSPF区域内非直连的两台设备可能配置了相同的路由器ID,修改其中一台设备的路由器ID，并使用reset ospf process命令使新的路由器ID生效
 OSPF_VLINKID_CHG,"OSPF [UINT32] Router ID changed, reconfigure   Vlink on peer",$1：OSPF进程ID,5,"OSPF/5/OSPF_VLINKID_CHG:OSPF 1 Router ID changed,   reconfigure Vlink on peer",新的OSPF路由器ID生效。需要根据新的路由器ID检查并修改对端路由器的虚连接配置,根据新的路由器ID检查并修改对端路由器的虚连接配置
 OSPFV3_LAST_NBR_DOWN,OSPFv3 [UINT32] Last neighbor down event:   Router ID: [STRING] Local interface ID: [UINT32] Remote interface   ID: [UINT32] Reason: [STRING].,$1：OSPFv3进程ID   $2：路由器ID   $3：本地接口ID   $4：对端接口ID   $5：原因,6,OSPFV3/6/OSPFV3_LAST_NBR_DOWN: OSPFv3 1 Last   neighbor down event: Router ID: 2.2.2.2 Local interface ID: 1111 Remote   interface ID: 2222 Reason: Dead Interval timer expired.,最近一次OSPFv3邻居down事件,检查OSPFV3邻居down事件的原因，根据具体原因进行处理：   ·如果是配置相关命令导致邻居down，如接口参数变化等，请检查配置是否正确   ·如果是超时邻居down，检查网络状况或者配置的超时时间是否合理   ·如果是BFD检测导致的邻居down，检查网络状况或者BFD检测时间配置是否合理   ·如果是接口状态变化导致的邻居down，检查网络连接情况
 OSPFV3_MEM_ALERT,OSPFV3 Process received system memory   alert [STRING] event.,$1：内存告警类型,5,OSPFV3/5/OSPFV3_MEM_ALERT: OSPFV3 Process   received system memory alert start event.,OSPFv3模块收到内存告警信息,当超过各级内存门限时，检查系统内存占用情况，对占用内存较多的模块进行调整，尽量释放可用内存
 OSPFV3_NBR_CHG,OSPFv3 [UINT32] Neighbor [STRING] ([STRING])   received [STRING] and its state from [STRING] to [STRING].,$1：OSPFv3进程ID   $2：邻居路由器ID   $3：接口名称   $4：邻居事件   $5：旧邻接状态   $6：新邻接状态,5,OSPFV3/5/OSPFV3_NBR_CHG: OSPFv3 1 Neighbor   2.2.2.2 (Vlan100) received 1-Way and its state from Full to Init.,接口OSPFv3邻接状态改变,当某接口与邻居邻接状态从Full变为其他状态时，检查OSPFv3配置正确性和网络连通性
 OSPFV3_RT_LMT,OSPFv3 [UINT32] route limit reached.,$1：OSPFv3进程ID,5,OSPFV3/5/OSPFV3_RT_LMT:OSPFv3 1 route   limit reached.,OSPFv3进程的路由数达到了上限值,检查是否受到攻击或者减少网络路由数
 PBB_JOINAGG_WARNING,"Because the aggregate interface [STRING]   has been configured with PBB, assigning the interface [STRING] that does not   support PBB to the aggregation group will cause incorrect processing.",$1：聚合组名称   $2：接口名称,4,"PBB/4/PBB_JOINAGG_WARNING: Because the   aggregate interface Bridge-Aggregation1 has been configured with PBB,   assigning the interface Ten-GigabitEthernet9/0/30 that does not support PBB   to the aggregation group will cause incorrect processing.",将不支持PBB的接口加入已经配置了PBB的聚合组会引发处理错误，配置为PBB实例上行口的聚合组的成员端口都需支持PBB,将该接口从聚合组中删除
 PBR_HARDWARE_ERROR,Failed to update policy [STRING] due to   [STRING].,$1：策略名   $2：硬件处理失败的原因，包括以下三种类型：   ·硬件资源不足   ·系统不支持该操作   ·硬件资源不足且系统不支持,4,PBR/4/PBR_HARDWARE_ERROR: Failed to   update policy aaa due to insufficient hardware resources and not supported   operations.,更新单播策略路由配置失败,根据失败原因修改策略中的配置
 PCE_PCEP_SESSION_CHG,"Session ([STRING], [STRING]) is [STRING].",$1：会话对端IP地址   $2：会话所在VPN实例名称，如果无法获取则显示为unknown   $3：会话的状态变更，up或者down，如果状态变更为down，则一并显示会话down的原因,5,"PCE/5/PCE_PCEP_SESSION_CHG:    Session (22.22.22.2, public instance) is   up.   PCE/5/PCE_PCEP_SESSION_CHG:    Session (22.22.22.2, public instance) is   down (dead timer expired).",显示会话的状态变化以及会话down的原因   down 的原因可能包括：   ·TCP connection down：TCP连接断开   ·received a close message：收到关闭消息   ·reception of a malformed PCEP message：收到非法消息   ·internal error：内部错误   ·memory in critical state：内存不足   ·dead timer expired：会话超时   ·process deactivated：PCE进程去激活   ·remote peer unavailable/untriggered：对等体失效   ·reception of an unacceptable number of   unrecognized PCEP messages：收到超过限制的未知消息   ·reception of an unacceptable number of unknown   requests/replies：收到超过限制的未知计算请求/计算应答   ·PCE address changed：PCE地址变化   ·initialization failed：初始化失败,如果会话的状态变更为up，不需要进行其它操作   如果会话的状态变更为down，请根据提示原因检查网络环境或者配置
 PEX_AUTOCONFIG_BAGG_ASSIGNMEMBER,[STRING] was assigned to [STRING].,$1：物理接口名称   $2：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_BAGG_ASSIGNMEMBER: GigabitEthernet   1/2/0/1 was assigned to Bridge-Aggregation10.,父设备运行IRF3.1系统自动配置功能时，自动将连接PEX的物理接口添加到作为级联接口的聚合组中,不需要处理
