  pid  | relation |   locktype    | database | relation | page | tuple | virtualxid | transactionid | classid | objid | objsubid | virtualtransaction |  pid  |       mode       | granted | fastpath   
 57451 | p185     | relation      |    13285 |  1922162 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p65      | relation      |    13285 |  1921202 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p192     | relation      |    13285 |  1922218 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p236     | relation      |    13285 |  1922570 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p137     | relation      |    13285 |  1921778 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p252     | relation      |    13285 |  1922698 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p218     | relation      |    13285 |  1922426 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p179     | relation      |    13285 |  1922114 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p129     | relation      |    13285 |  1921714 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p158     | relation      |    13285 |  1921946 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p213     | relation      |    13285 |  1922386 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p208     | relation      |    13285 |  1922346 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p59      | relation      |    13285 |  1921154 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p15      | relation      |    13285 |  1920802 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p234     | relation      |    13285 |  1922554 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p28      | relation      |    13285 |  1920906 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p24      | relation      |    13285 |  1920874 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p27      | relation      |    13285 |  1920898 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p123     | relation      |    13285 |  1921666 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p202     | relation      |    13285 |  1922298 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p102     | relation      |    13285 |  1921498 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p60      | relation      |    13285 |  1921162 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p173     | relation      |    13285 |  1922066 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p186     | relation      |    13285 |  1922170 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p33      | relation      |    13285 |  1920946 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p88      | relation      |    13285 |  1921386 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p39      | relation      |    13285 |  1920994 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p82      | relation      |    13285 |  1921338 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p81      | relation      |    13285 |  1921330 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
