### Table 39: Standard SNMPv2 Traps Supported on QFX Series Standalone Switches and QFX Series Virtual Chassis

| Defined in | Trap Name | SNMP Trap OID | System Syslog Tag | Logging Severity Level |
| mib-jnx-chassis | jnxFanFailure | 1.3.6.1.4.1.2636.4.1.2 | CHASSISD_SNMP_TRAP | Critical |
| mib-jnx-chassis | jnxOverTemperature | 1.3.6.1.4.1.2636.4.1.3 | CHASSISD_SNMP_TRAP | Critical |
| mib-jnx-chassis | jnxFruRemoval | 1.3.6.1.4.1.2636.4.1.5 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruInsertion | 1.3.6.1.4.1.2636.4.1.6 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruPowerOff | 1.3.6.1.4.1.2636.4.1.7 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruPowerOn | 1.3.6.1.4.1.2636.4.1.8 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruFailed | 1.3.6.1.4.1.2636.4.1.9 | CHASSISD_SNMP_TRAP | Warning |
| mib-jnx-chassis | jnxFruOffline | 1.3.6.1.4.1.2636.4.1.10 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruOnline | 1.3.6.1.4.1.2636.4.1.11 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxFruCheck | 1.3.6.1.4.1.2636.4.1.12 | CHASSISD_SNMP_TRAP | Notice |
| mib-jnx-chassis | jnxPowerSupplyOK | 1.3.6.1.4.1.2636.4.2.1 | CHASSISD_SNMP_TRAP | Critical |
| mib-jnx-chassis | jnxFanOK | 1.3.6.1.4.1.2636.4.2.2 | CHASSISD_SNMP_TRAP | Critical |
| mib-jnx-chassis | jnxTemperatureOK | 1.3.6.1.4.1.2636.4.2.3 | CHASSISD_SNMP_TRAP | Alert |

#### Configuration Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-cfgmgmt | jnxCmCfgChange | 1.3.6.1.4.1.2636.4.5.0.1 | - | - |
| mib-jnx-cfgmgmt | jnxCmRescueChange | 1.3.6.1.4.1.2636.4.5.0.2 | - | - |

#### Remote Operations Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-ping | jnxPingRttThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.1 | - | - |
| mib-jnx-ping | jnxPingRttStdDevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.2 | - | - |
| mib-jnx-ping | jnxPingRttJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.3 | - | - |
| mib-jnx-ping | jnxPingEgressThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.4 | - | - |
| mib-jnx-ping | jnxPingEgressStdDevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.5 | - | - |
| mib-jnx-ping | jnxPingEgressJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.6 | - | - |
| mib-jnx-ping | jnxPingIngressThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.7 | - | - |
| mib-jnx-ping | jnxPingIngressStddevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.8 | - | - |
| mib-jnx-ping | jnxPingIngressJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.9 | - | - |

### RMON Alarms
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-rmon | jnxRmonAlarmGetFailure | 1.3.6.1.4.1.2636.4.3.0.1 | - | - |
| mib-jnx-rmon | jnxRmonGetOk | 1.3.6.1.4.1.2636.4.3.0.2 | - | - |

### SNMP Traps Supported on QFabric Systems
QFabric systems support standard SNMPv2 traps and Juniper Networks enterprise-specific SNMPv2 traps.
**Note:** QFabric systems do not support SNMPv1 traps.

For more information, see:
- Table 41 on page 483 for standard SNMPv2 traps
- Table 42 on page 483 for Juniper Networks enterprise-specific SNMPv2 traps

### Table 41: Standard SNMPv2 Traps Supported on QFabric Systems

| Defined in | Trap Name | SNMP Trap OID | System Syslog Tag | Logging Severity Level |
|------------|-----------|---------------|-------------------|------------------------|
| RFC 2863   | linkDown | 1.3.6.1.6.3.1.1.5.3 | SNMP_TRAP_LINK_DOWN | Warning |
| RFC 2863   | linkUp | 1.3.6.1.6.3.1.1.5.4 | SNMP_TRAP_LINK_UP | Info |
| RFC 1907   | coldStart | 1.3.6.1.6.3.1.1.5.1 | SNMPD_TRAP_COLD_START | Critical |
| RFC 1907   | warmStart | 1.3.6.1.6.3.1.1.5.2 | SNMPD_TRAP_WARM_START | Error |
| RFC 1907   | authenticationFailure | 1.3.6.1.6.3.1.1.5.5 | SNMPD_TRAP_GEN_FAILURE | Notice |

### Table 42: Enterprise-Specific SNMPv2 Traps Supported on QFabric Systems

#### Fabric Chassis (Alarm Conditions) Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-fabric-chassis | jnxFabricPowerSupplyFailure | 1.3.6.1.4.1.2636.4.19.1 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricFanFailure | 1.3.6.1.4.1.2636.4.19.2 | - | Critical |
| mib-jnx-fabric-chassis | jnxFabricOverTemperature | 1.3.6.1.4.1.2636.4.19.3 | - | Alert |
| mib-jnx-fabric-chassis | jnxFabricRedundancySwitchOver | 1.3.6.1.4.1.2636.4.19.4 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruRemoval | 1.3.6.1.4.1.2636.4.19.5 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruInsertion | 1.3.6.1.4.1.2636.4.19.6 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruPowerOff | 1.3.6.1.4.1.2636.4.19.7 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruPowerOn | 1.3.6.1.4.1.2636.4.19.8 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruFailed | 1.3.6.1.4.1.2636.4.19.9 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricFruOffline | 1.3.6.1.4.1.2636.4.19.10 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruOnline | 1.3.6.1.4.1.2636.4.19.11 | - | Notice |
| mib-jnx-fabric-chassis | jnxFabricFruCheck | 1.3.6.1.4.1.2636.4.19.12 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricFEBSwitchOver | 1.3.6.1.4.1.2636.4.19.13 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricHardDiskFailed | 1.3.6.1.4.1.2636.4.19.14 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricHardDiskMissing | 1.3.6.1.4.1.2636.4.19.15 | - | Warning |
| mib-jnx-fabric-chassis | jnxFabricBootFromBackup | 1.3.6.1.4.1.2636.4.19.16 | - | Warning |

#### Fabric Chassis (Alarm Cleared Conditions) Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-fabric-chassis | jnxFabricPowerSupplyOK | 1.3.6.1.4.1.2636.4.20.1 | - | Critical |
| mib-jnx-fabric-chassis | jnxFabricFanOK | 1.3.6.1.4.1.2636.4.20.2 | - | Critical |
| mib-jnx-fabric-chassis | jnxFabricTemperatureOK | 1.3.6.1.4.1.2636.4.20.3 | - | Alert |
| mib-jnx-fabric-chassis | jnxFabricFruOK | 1.3.6.1.4.1.2636.4.20.4 | - | - |

#### QFabric MIB Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-qf-smi | jnxQFabricDownloadIssued | 1.3.6.1.4.1.2636.3.42.1.0.1 | - | - |
| mib-jnx-qf-smi | jnxQFabricDownloadFailed | 1.3.6.1.4.1.2636.3.42.1.0.2 | - | - |
| mib-jnx-qf-smi | jnxQFabricDownloadSucceeded | 1.3.6.1.4.1.2636.3.42.1.0.3 | - | - |
| mib-jnx-qf-smi | jnxQFabricUpgradeIssued | 1.3.6.1.4.1.2636.3.42.1.0.4 | - | - |
| mib-jnx-qf-smi | jnxQFabricUpgradeFailed | 1.3.6.1.4.1.2636.3.42.1.0.5 | - | - |
| mib-jnx-qf-smi | jnxQFabricUpgradeSucceeded | 1.3.6.1.4.1.2636.3.42.1.0.6 | - | - |

#### Configuration Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-cfgmgmt | jnxCmCfgChange | 1.3.6.1.4.1.2636.4.5.0.1 | - | - |
| mib-jnx-cfgmgmt | jnxCmRescueChange | 1.3.6.1.4.1.2636.4.5.0.2 | - | - |

#### Remote Operations Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-ping | jnxPingRttThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.1 | - | - |
| mib-jnx-ping | jnxPingRttStdDevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.2 | - | - |
| mib-jnx-ping | jnxPingRttJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.3 | - | - |
| mib-jnx-ping | jnxPingEgressThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.4 | - | - |
| mib-jnx-ping | jnxPingEgressStdDevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.5 | - | - |
| mib-jnx-ping | jnxPingEgressJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.6 | - | - |
| mib-jnx-ping | jnxPingIngressThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.7 | - | - |
| mib-jnx-ping | jnxPingIngressStddevThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.8 | - | - |
| mib-jnx-ping | jnxPingIngressJitterThresholdExceeded | 1.3.6.1.4.1.2636.4.9.0.9 | - | - |

### SEE ALSO
- SNMP MIB Explorer
- Understanding the Implementation of SNMP on the QFabric System
- SNMP MIBs Support
- Standard SNMP Traps Supported by Junos OS

### IN THIS SECTION
- Standard SNMP Version 1 Traps | 488
- Standard SNMP Version 2 Traps | 492

This topic provides the list of standard SNMPv1 and SNMPv2 traps supported by devices running Junos OS. For more information about traps, see SNMP MIB Explorer.

Starting in Junos OS Release 20.1, after a graceful routing engine switchover (GRES), the new primary Routing Engine sends a single warmStart notification. The primary Routing Engine sends a coldStart notification when the device comes up. The primary Routing Engine also sends warmStart notifications for subsequent restarts of the SNMP daemon. After GRES, the new primary Routing Engine sends a single warmStart notification, and the backup Routing Engine does not send any notification.

### Table 43: Standard Supported SNMP Version 1 Traps

| Defined in | Trap Name | Enterprise ID | Generic Trap Number | Specific Trap Number | System Logging Severity Level | Syslog Tag | Supported On |
|------------|-----------|---------------|---------------------|----------------------|-------------------------------|------------|--------------|
| RFC 1215   | authenticationFailure | 1.3.6.1.4.1.2636 | 4 | 0 | Notice | SNMPD_TRAP_GEN_FAILURE | All devices running Junos OS |
| RFC 1215   | coldStart | 1.3.6.1.4.1.2636 | 0 | 0 | Critical | SNMPD_TRAP_COLD_START | All devices running Junos OS |
| RFC 1215   | warmStart | 1.3.6.1.4.1.2636 | 1 | 0 | Error | SNMPD_TRAP_WARM_START | All devices running Junos OS |
| RFC 1215   | linkDown | 1.3.6.1.4.1.2636 | 2 | 0 | Warning | SNMP_TRAP_LINK_DOWN | All devices running Junos OS |
| RFC 1215   | linkUp | 1.3.6.1.4.1.2636 | 3 | 0 | Info | SNMP_TRAP_LINK_UP | All devices running Junos OS |
| RFC 2925  | pingProbeFailed | 1.3.6.1.2.1.80.0 | 6 | 1 | Info | SNMP_TRAP_PING_PROBE_FAILED | All devices running Junos OS |
| RFC 2925  | pingTestFailed | 1.3.6.1.2.1.80.0 | 6 | 2 | Info | SNMP_TRAP_PING_TEST_FAILED | All devices running Junos OS |
| RFC 2925  | pingTestCompleted | 1.3.6.1.2.1.80.0 | 6 | 3 | Info | SNMP_TRAP_PING_TEST_COMPLETED | All devices running Junos OS |
| RFC 2819a | fallingAlarm | 1.3.6.1.2.1.16 | 6 | 2 | - | - | All devices running Junos OS |
| RFC 2819a | risingAlarm | 1.3.6.1.2.1.16 | 6 | 1 | - | - | All devices running Junos OS |
| BGP MIB   | bgpEstablished | 1.3.6.1.2.1.15.7 | 6 | 1 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
| BGP MIB   | bgpBackwardTransition | 1.3.6.1.2.1.15.7 | 6 | 2 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
| OSPF TRAP MIB | ospfVirtIfStateChange | 1.3.6.1.2.1.14.16.2 | 6 | 1 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
| OSPF TRAP MIB | ospfNbrStateChange | 1.3.6.1.2.1.14.16.2 | 6 | 2 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
| OSPF TRAP MIB | ospfVirtNbrStateChan | 1.3.6.1.2.1.14.16.2 | 6 | 3 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
| OSPF TRAP MIB | ospfIfConfigError | 1.3.6.1.2.1.14.16.2 | 6 | 4 | - | - | M, T, MX, J, EX, SRX Series Firewalls |
